t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260220.899764111,13,h1lnttw2gef6,Sibyl,1,a6yrdk,36,9657,1,0,0,612,True,2
260220.906633634,13,h1lnttw2gef6,Sibyl,1,a6yrdk,12,35909,1,0,0,612,True,1
260220.91453841,13,h1lnttw2gef6,Sibyl,1,a6yrdk,88,8393,1,0,0,612,True,0
260222.018718799,13,h1lnttw2gef6,Sibyl,1,a6yrdk,18,25634,1,0,0,612,True,3
260222.02597122,13,h1lnttw2gef6,Sibyl,1,a6yrdk,37,32088,1,0,0,612,True,2
260222.033167824,13,h1lnttw2gef6,Sibyl,1,a6yrdk,80,41325,1,0,0,612,True,1
260222.040760578,13,h1lnttw2gef6,Sibyl,1,a6yrdk,76,64646,1,0,0,612,True,0
260222.986327693,13,h1lnttw2gef6,Sibyl,1,a6yrdk,49,50767,1,0,0,612,True,0
260223.805883957,13,h1lnttw2gef6,Sibyl,1,a6yrdk,78,21374,1,0,0,612,True,1
260223.81369733,13,h1lnttw2gef6,Sibyl,1,a6yrdk,83,21174,1,0,0,612,True,0
260406.899746177,13,h1lnttw2gef6,Sibyl,16,a6yrdk,12,35909,2,0,0,100,True,0
260416.25619404,13,h1lnttw2gef6,Sibyl,16,a6yrdk,89,509,1,0,0,612,True,1
260416.265731105,13,h1lnttw2gef6,Sibyl,16,a6yrdk,7,65184,1,0,0,612,True,0
260418.369301923,13,h1lnttw2gef6,Sibyl,17,a6yrdk,12,608,1,0,0,612,True,0
260420.300263364,13,h1lnttw2gef6,Sibyl,17,a6yrdk,74,15608,1,0,0,612,True,2
260420.30749152,13,h1lnttw2gef6,Sibyl,17,a6yrdk,68,60839,1,0,0,612,True,1
260420.31499685,13,h1lnttw2gef6,Sibyl,17,a6yrdk,71,48635,1,0,0,612,True,0
260425.957688245,13,h1lnttw2gef6,Sibyl,17,a6yrdk,94,748,1,0,0,612,True,0
260426.856275619,13,h1lnttw2gef6,Sibyl,17,a6yrdk,44,52414,1,0,0,612,True,2
260426.8750314,13,h1lnttw2gef6,Sibyl,17,a6yrdk,5,45991,1,0,0,612,True,1
260426.883313546,13,h1lnttw2gef6,Sibyl,17,a6yrdk,50,45704,2,0,0,100,True,0
260428.309968422,13,h1lnttw2gef6,Sibyl,18,a6yrdk,89,46741,2,0,0,100,True,1
260428.317614326,13,h1lnttw2gef6,Sibyl,18,a6yrdk,71,1025,1,0,0,612,True,0
260431.988160387,13,h1lnttw2gef6,Sibyl,18,a6yrdk,45,51457,1,0,0,612,True,1
260431.997392193,13,h1lnttw2gef6,Sibyl,18,a6yrdk,23,26889,2,0,0,100,True,0
260434.837942487,13,h1lnttw2gef6,Sibyl,18,a6yrdk,71,45875,1,0,0,612,True,1
260434.846047644,13,h1lnttw2gef6,Sibyl,18,a6yrdk,60,55465,1,0,0,612,True,0
