t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260225.334168426,13,j4g4l9egxzua,Brian,1,1xerd1,25,18656,1,0,0,612,True,0
260226.781936467,13,j4g4l9egxzua,Brian,1,1xerd1,82,25681,1,0,0,612,True,0
260228.142966332,13,j4g4l9egxzua,Brian,1,1xerd1,54,21996,1,0,0,612,True,3
260228.150026144,13,j4g4l9egxzua,Brian,1,1xerd1,48,4280,1,0,0,612,True,2
260228.157906503,13,j4g4l9egxzua,Brian,1,1xerd1,69,9271,1,0,0,612,True,1
260228.166900583,13,j4g4l9egxzua,Brian,1,1xerd1,47,41793,1,0,0,612,True,0
260230.28482305,13,j4g4l9egxzua,Brian,1,1xerd1,88,15261,1,0,0,612,True,0
260232.854039207,13,j4g4l9egxzua,Brian,2,1xerd1,78,14677,1,0,0,612,True,2
260232.862253442,13,j4g4l9egxzua,Brian,2,1xerd1,7,11876,1,0,0,612,True,1
260232.869848763,13,j4g4l9egxzua,Brian,2,1xerd1,12,44186,1,0,0,612,True,0
260234.506715976,13,j4g4l9egxzua,Brian,2,gc12nw,31,3621,1,0,0,612,True,4
260234.514270226,13,j4g4l9egxzua,Brian,2,gc12nw,48,23838,1,0,0,612,True,3
260234.521709258,13,j4g4l9egxzua,Brian,2,gc12nw,25,28888,1,0,0,612,True,2
260234.529250328,13,j4g4l9egxzua,Brian,2,gc12nw,58,36344,1,0,0,612,True,1
260234.536616496,13,j4g4l9egxzua,Brian,2,gc12nw,57,36214,1,0,0,612,True,0
260235.879490187,13,j4g4l9egxzua,Brian,2,gc12nw,66,42382,1,0,0,612,True,2
260235.889090163,13,j4g4l9egxzua,Brian,2,gc12nw,9,17724,1,0,0,612,True,1
260235.908647762,13,j4g4l9egxzua,Brian,2,gc12nw,50,15424,1,0,0,612,True,0
260239.953259829,13,j4g4l9egxzua,Brian,2,1xerd1,8,9162,1,0,0,612,True,4
260239.96213327,13,j4g4l9egxzua,Brian,2,1xerd1,73,45542,1,0,0,612,True,3
260239.970677,13,j4g4l9egxzua,Brian,2,1xerd1,15,55005,1,0,0,612,True,2
260239.979544952,13,j4g4l9egxzua,Brian,2,1xerd1,89,40982,1,0,0,612,True,1
260239.987129697,13,j4g4l9egxzua,Brian,2,1xerd1,43,49254,1,0,0,612,True,0
260268.365638143,13,j4g4l9egxzua,Brian,5,1xerd1,1,11249,1,0,0,612,True,3
260268.373305849,13,j4g4l9egxzua,Brian,5,1xerd1,68,50285,1,0,0,612,True,2
260268.385293447,13,j4g4l9egxzua,Brian,5,1xerd1,28,22095,1,0,0,612,True,1
260268.402780395,13,j4g4l9egxzua,Brian,5,1xerd1,60,64919,1,0,0,612,True,0
260281.426295149,13,j4g4l9egxzua,Brian,5,1xerd1,81,48221,1,0,0,612,True,3
260281.435724085,13,j4g4l9egxzua,Brian,5,1xerd1,33,49543,1,0,0,612,True,2
260281.453974577,13,j4g4l9egxzua,Brian,5,gc12nw,67,33869,1,0,0,612,True,1
260281.466866056,13,j4g4l9egxzua,Brian,5,gc12nw,37,58972,1,0,0,612,True,0
260288.363806322,13,j4g4l9egxzua,Brian,6,1xerd1,74,50694,2,0,0,100,True,10
260288.372715305,13,j4g4l9egxzua,Brian,6,1xerd1,48,4280,2,0,0,100,True,9
260288.380647362,13,j4g4l9egxzua,Brian,6,1xerd1,83,50774,2,0,0,100,True,8
260288.39327754,13,j4g4l9egxzua,Brian,6,1xerd1,17,49739,2,0,0,100,True,7
260288.400867863,13,j4g4l9egxzua,Brian,6,1xerd1,64,12041,2,0,0,100,True,6
260288.418455762,13,j4g4l9egxzua,Brian,6,1xerd1,69,9271,2,0,0,100,True,5
260288.433567904,13,j4g4l9egxzua,Brian,6,1xerd1,91,31348,2,0,0,100,True,4
260288.444516763,13,j4g4l9egxzua,Brian,6,1xerd1,97,32843,2,0,0,100,True,3
260288.452289953,13,j4g4l9egxzua,Brian,6,1xerd1,30,27955,1,0,0,612,True,2
260288.460797109,13,j4g4l9egxzua,Brian,6,gc12nw,46,13996,1,0,0,612,True,1
260288.471307279,13,j4g4l9egxzua,Brian,6,1xerd1,79,14258,1,0,0,612,True,0
260295.168433863,13,j4g4l9egxzua,Brian,6,gc12nw,43,2802,2,0,0,100,True,12
260295.176056198,13,j4g4l9egxzua,Brian,6,1xerd1,6,42645,2,0,0,100,True,11
260295.183721789,13,j4g4l9egxzua,Brian,6,1xerd1,50,14187,2,0,0,100,True,10
260295.19202702,13,j4g4l9egxzua,Brian,6,gc12nw,56,23479,2,0,0,100,True,9
260295.203507636,13,j4g4l9egxzua,Brian,6,1xerd1,70,55291,2,0,0,100,True,8
260295.215245125,13,j4g4l9egxzua,Brian,6,1xerd1,84,40220,2,0,0,100,True,7
260295.22419794,13,j4g4l9egxzua,Brian,6,1xerd1,43,14488,1,0,0,612,True,6
260295.233251174,13,j4g4l9egxzua,Brian,6,gc12nw,2,24211,1,0,0,612,True,5
260295.241239942,13,j4g4l9egxzua,Brian,6,1xerd1,29,62965,1,0,0,612,True,4
260295.24905978,13,j4g4l9egxzua,Brian,6,1xerd1,77,51779,1,0,0,612,True,3
260295.256771095,13,j4g4l9egxzua,Brian,6,1xerd1,28,52030,1,0,0,612,True,2
260295.269004694,13,j4g4l9egxzua,Brian,6,gc12nw,79,47036,1,0,0,612,True,1
260295.276581746,13,j4g4l9egxzua,Brian,6,gc12nw,83,55563,1,0,0,612,True,0
