t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260220.498940593,13,kz0tyr7a557m,Magdalen,1,1xerd1,67,11125,1,0,0,612,True,3
260220.506407887,13,kz0tyr7a557m,Magdalen,1,1xerd1,41,59713,1,0,0,612,True,2
260220.513434088,13,kz0tyr7a557m,Magdalen,1,a6yrdk,79,48569,1,0,0,612,True,1
260220.521145165,13,kz0tyr7a557m,Magdalen,1,1xerd1,23,36737,1,0,0,612,True,0
260221.560144718,13,kz0tyr7a557m,Magdalen,1,1xerd1,26,39051,1,0,0,612,True,3
260221.578592061,13,kz0tyr7a557m,Magdalen,1,1xerd1,75,41730,1,0,0,612,True,2
260221.591754882,13,kz0tyr7a557m,Magdalen,1,a6yrdk,67,9567,1,0,0,612,True,1
260221.599169462,13,kz0tyr7a557m,Magdalen,1,a6yrdk,96,34316,1,0,0,612,True,0
260222.676701851,13,kz0tyr7a557m,Magdalen,1,1xerd1,76,57723,1,0,0,612,True,3
260222.684069326,13,kz0tyr7a557m,Magdalen,1,1xerd1,85,54916,1,0,0,612,True,2
260222.69146241,13,kz0tyr7a557m,Magdalen,1,1xerd1,71,36974,1,0,0,612,True,1
260222.699100871,13,kz0tyr7a557m,Magdalen,1,a6yrdk,21,60780,1,0,0,612,True,0
260223.600572873,13,kz0tyr7a557m,Magdalen,1,1xerd1,78,14677,1,0,0,612,True,0
260224.288171907,13,kz0tyr7a557m,Magdalen,1,a6yrdk,34,22533,1,0,0,612,True,2
260224.29539384,13,kz0tyr7a557m,Magdalen,1,1xerd1,59,38216,1,0,0,612,True,1
260224.302724634,13,kz0tyr7a557m,Magdalen,1,a6yrdk,56,25009,1,0,0,612,True,0
260224.767458857,13,kz0tyr7a557m,Magdalen,1,a6yrdk,26,55526,1,0,0,612,True,1
260224.774490155,13,kz0tyr7a557m,Magdalen,1,1xerd1,11,6170,1,0,0,612,True,0
260232.43726387,13,kz0tyr7a557m,Magdalen,2,1xerd1,73,45542,1,0,0,612,True,6
260232.44445318,13,kz0tyr7a557m,Magdalen,2,1xerd1,30,48059,1,0,0,612,True,5
260232.451672694,13,kz0tyr7a557m,Magdalen,2,1xerd1,29,26154,1,0,0,612,True,4
260232.458874783,13,kz0tyr7a557m,Magdalen,2,1xerd1,45,13017,1,0,0,612,True,3
260232.466702185,13,kz0tyr7a557m,Magdalen,2,1xerd1,15,55005,1,0,0,612,True,2
260232.474377631,13,kz0tyr7a557m,Magdalen,2,1xerd1,58,14778,1,0,0,612,True,1
260232.481966885,13,kz0tyr7a557m,Magdalen,2,1xerd1,49,47183,1,0,0,612,True,0
260234.157857486,13,kz0tyr7a557m,Magdalen,2,1xerd1,61,32952,1,0,0,612,True,1
260234.165931519,13,kz0tyr7a557m,Magdalen,2,1xerd1,1,11249,1,0,0,612,True,0
260235.51229388,13,kz0tyr7a557m,Magdalen,2,1xerd1,28,22095,1,0,0,612,True,0
260237.045579593,13,kz0tyr7a557m,Magdalen,2,1xerd1,44,20585,1,0,0,612,True,0
260243.156330496,13,kz0tyr7a557m,Magdalen,3,1xerd1,96,5597,1,0,0,612,True,1
260243.164142969,13,kz0tyr7a557m,Magdalen,3,1xerd1,47,386,1,0,0,612,True,0
260250.82657422,13,kz0tyr7a557m,Magdalen,3,1xerd1,36,59252,1,0,0,612,True,0
260256.278530542,13,kz0tyr7a557m,Magdalen,4,1xerd1,83,60794,1,0,0,612,True,0
260261.957480089,13,kz0tyr7a557m,Magdalen,4,1xerd1,81,48221,1,0,0,612,True,0
