t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260225.304013507,13,lv3u3cqtu5vg,Sherie,1,j2khg7,97,31273,1,0,0,612,True,0
260226.673276713,13,lv3u3cqtu5vg,Sherie,1,j2khg7,19,62516,1,0,0,612,True,4
260226.680600329,13,lv3u3cqtu5vg,Sherie,1,j2khg7,17,20737,1,0,0,612,True,3
260226.687546313,13,lv3u3cqtu5vg,Sherie,1,j2khg7,88,20729,1,0,0,612,True,2
260226.69485671,13,lv3u3cqtu5vg,Sherie,1,j2khg7,35,48681,1,0,0,612,True,1
260226.701996165,13,lv3u3cqtu5vg,Sherie,1,j2khg7,40,50297,1,0,0,612,True,0
260230.224216187,13,lv3u3cqtu5vg,Sherie,1,j2khg7,50,31240,1,0,0,612,True,0
260232.717788626,13,lv3u3cqtu5vg,Sherie,2,j2khg7,87,49706,1,0,0,612,True,2
260232.725335197,13,lv3u3cqtu5vg,Sherie,2,j2khg7,6,50900,1,0,0,612,True,1
260232.732905376,13,lv3u3cqtu5vg,Sherie,2,j2khg7,48,4346,1,0,0,612,True,0
260235.671968778,13,lv3u3cqtu5vg,Sherie,2,j2khg7,59,26823,1,0,0,612,True,1
260235.690307268,13,lv3u3cqtu5vg,Sherie,2,j2khg7,83,26987,1,0,0,612,True,0
260237.211900122,13,lv3u3cqtu5vg,Sherie,2,j2khg7,63,58589,1,0,0,612,True,1
260237.220106023,13,lv3u3cqtu5vg,Sherie,2,j2khg7,12,40300,1,0,0,612,True,0
260239.710361084,13,lv3u3cqtu5vg,Sherie,2,j2khg7,18,40442,1,0,0,612,True,2
260239.718106808,13,lv3u3cqtu5vg,Sherie,2,j2khg7,90,34530,1,0,0,612,True,1
260239.727198884,13,lv3u3cqtu5vg,Sherie,2,j2khg7,77,6485,1,0,0,612,True,0
260247.373549612,13,lv3u3cqtu5vg,Sherie,3,j2khg7,46,42048,1,0,0,612,True,1
260247.38353741,13,lv3u3cqtu5vg,Sherie,3,j2khg7,13,1129,1,0,0,612,True,0
260281.53205976,13,lv3u3cqtu5vg,Sherie,5,j2khg7,95,37515,1,0,0,612,True,0
260288.969037331,13,lv3u3cqtu5vg,Sherie,6,j2khg7,52,29872,2,0,0,100,True,1
260288.976697869,13,lv3u3cqtu5vg,Sherie,6,j2khg7,82,46821,2,0,0,100,True,0
260295.474648144,13,lv3u3cqtu5vg,Sherie,6,j2khg7,73,62783,2,0,0,100,True,6
260295.495741305,13,lv3u3cqtu5vg,Sherie,6,j2khg7,86,52874,2,0,0,100,True,5
260295.513325451,13,lv3u3cqtu5vg,Sherie,6,j2khg7,63,58589,2,0,0,100,True,4
260295.530770388,13,lv3u3cqtu5vg,Sherie,6,j2khg7,58,10607,2,0,0,100,True,3
260295.549986632,13,lv3u3cqtu5vg,Sherie,6,j2khg7,18,40442,2,0,0,100,True,2
260295.557232667,13,lv3u3cqtu5vg,Sherie,6,j2khg7,85,30940,2,0,0,100,True,1
260295.576832435,13,lv3u3cqtu5vg,Sherie,6,j2khg7,43,34009,1,0,0,612,True,0
260302.892952972,13,lv3u3cqtu5vg,Sherie,7,j2khg7,75,6247,2,0,0,100,True,0
260306.370629395,13,lv3u3cqtu5vg,Sherie,7,j2khg7,53,33123,2,0,0,100,True,1
260306.378018185,13,lv3u3cqtu5vg,Sherie,7,j2khg7,3,48958,2,0,0,100,True,0
260310.209960192,13,lv3u3cqtu5vg,Sherie,7,j2khg7,45,16230,1,0,0,612,True,5
260310.220842797,13,lv3u3cqtu5vg,Sherie,7,j2khg7,35,48681,2,0,0,100,True,4
260310.232769551,13,lv3u3cqtu5vg,Sherie,7,j2khg7,55,39104,2,0,0,100,True,3
260310.241913261,13,lv3u3cqtu5vg,Sherie,7,j2khg7,64,51598,2,0,0,100,True,2
260310.250287237,13,lv3u3cqtu5vg,Sherie,7,j2khg7,50,31240,2,0,0,100,True,1
260310.258028363,13,lv3u3cqtu5vg,Sherie,7,j2khg7,91,23394,1,0,0,612,True,0
260313.439900921,13,lv3u3cqtu5vg,Sherie,8,j2khg7,41,44776,1,0,0,612,True,0
260316.661770609,13,lv3u3cqtu5vg,Sherie,8,j2khg7,16,51021,2,0,0,100,True,0
260322.821222925,13,lv3u3cqtu5vg,Sherie,8,j2khg7,57,42246,2,0,0,100,True,0
260326.117858288,13,lv3u3cqtu5vg,Sherie,9,j2khg7,60,56832,2,0,0,100,True,1
260326.125620275,13,lv3u3cqtu5vg,Sherie,9,j2khg7,47,64373,2,0,0,100,True,0
260335.955122089,13,lv3u3cqtu5vg,Sherie,10,j2khg7,94,14696,2,0,0,100,True,1
260335.979007123,13,lv3u3cqtu5vg,Sherie,10,j2khg7,96,34510,2,0,0,100,True,0
260339.893886058,13,lv3u3cqtu5vg,Sherie,10,j2khg7,80,39730,2,0,0,100,True,0
260342.313849024,13,lv3u3cqtu5vg,Sherie,10,j2khg7,90,57805,2,0,0,100,True,2
260342.321836768,13,lv3u3cqtu5vg,Sherie,10,j2khg7,45,16230,2,0,0,100,True,1
260342.329171516,13,lv3u3cqtu5vg,Sherie,10,j2khg7,91,23394,2,0,0,100,True,0
260348.080305809,13,lv3u3cqtu5vg,Sherie,11,j2khg7,44,17862,2,0,0,100,True,0
260349.811872339,13,lv3u3cqtu5vg,Sherie,11,j2khg7,49,6108,2,0,0,100,True,2
260349.819164568,13,lv3u3cqtu5vg,Sherie,11,j2khg7,95,37515,2,0,0,100,True,1
260349.826914546,13,lv3u3cqtu5vg,Sherie,11,j2khg7,99,46767,2,0,0,100,True,0
260359.028257677,13,lv3u3cqtu5vg,Sherie,12,j2khg7,37,48574,1,0,0,612,True,1
260359.036034964,13,lv3u3cqtu5vg,Sherie,12,j2khg7,6,43632,1,0,0,612,True,0
260361.471783055,13,lv3u3cqtu5vg,Sherie,12,j2khg7,46,4182,1,0,0,612,True,0
260364.353446498,13,lv3u3cqtu5vg,Sherie,12,j2khg7,6,43426,1,0,0,612,True,2
260364.360775761,13,lv3u3cqtu5vg,Sherie,12,j2khg7,38,7441,1,0,0,612,True,1
260364.368729017,13,lv3u3cqtu5vg,Sherie,12,j2khg7,24,55169,1,0,0,612,True,0
260366.224529984,13,lv3u3cqtu5vg,Sherie,12,j2khg7,6,57170,1,0,0,612,True,0
260369.941570662,13,lv3u3cqtu5vg,Sherie,13,j2khg7,79,24410,1,0,0,612,True,0
260372.348730623,13,lv3u3cqtu5vg,Sherie,13,j2khg7,37,8633,1,0,0,612,True,0
260374.967691328,13,lv3u3cqtu5vg,Sherie,13,j2khg7,37,21625,1,0,0,612,True,0
260377.332735713,13,lv3u3cqtu5vg,Sherie,13,j2khg7,37,3849,1,0,0,612,True,2
260377.340441607,13,lv3u3cqtu5vg,Sherie,13,j2khg7,79,58150,1,0,0,612,True,1
260377.348201108,13,lv3u3cqtu5vg,Sherie,13,j2khg7,24,14460,1,0,0,612,True,0
260387.077276379,13,lv3u3cqtu5vg,Sherie,14,j2khg7,46,4182,2,0,0,100,True,1
260387.085376159,13,lv3u3cqtu5vg,Sherie,14,j2khg7,79,3165,2,0,0,100,True,0
260388.961726226,13,lv3u3cqtu5vg,Sherie,14,j2khg7,37,33222,1,0,0,612,True,1
260388.969178422,13,lv3u3cqtu5vg,Sherie,14,j2khg7,6,9433,1,0,0,612,True,0
260410.66647468,13,lv3u3cqtu5vg,Sherie,16,j2khg7,83,55608,2,0,0,100,True,2
260410.674212247,13,lv3u3cqtu5vg,Sherie,16,j2khg7,79,61556,2,0,0,100,True,1
260410.682497513,13,lv3u3cqtu5vg,Sherie,16,j2khg7,79,12278,2,0,0,100,True,0
260420.292654276,13,lv3u3cqtu5vg,Sherie,17,j2khg7,37,33222,2,0,0,100,True,0
260424.681474245,13,lv3u3cqtu5vg,Sherie,17,j2khg7,6,6096,2,0,0,100,True,0
260443.249777774,13,lv3u3cqtu5vg,Sherie,19,j2khg7,38,40676,2,0,0,100,True,1
260443.257813585,13,lv3u3cqtu5vg,Sherie,19,j2khg7,6,23098,2,0,0,100,True,0
