t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260258.25423748,13,n6bep7fkatrw,Janis,4,g1y6tj,66,61371,1,0,612,0,True,0
260258.269680276,13,n6bep7fkatrw,Janis,4,g1y6tj,66,61371,2,100,0,0,True,0
260264.299226,13,n6bep7fkatrw,Janis,4,g1y6tj,20,19343,1,0,612,0,True,4
260264.306473596,13,n6bep7fkatrw,Janis,4,g1y6tj,20,19343,2,100,0,0,True,4
260264.314201762,13,n6bep7fkatrw,Janis,4,g1y6tj,50,50493,1,0,612,0,True,3
260264.321790723,13,n6bep7fkatrw,Janis,4,g1y6tj,50,50493,2,100,0,0,True,3
260264.3299261,13,n6bep7fkatrw,Janis,4,g1y6tj,12,195,1,0,612,0,True,2
260264.337710659,13,n6bep7fkatrw,Janis,4,g1y6tj,12,195,2,100,0,0,True,2
260264.348135059,13,n6bep7fkatrw,Janis,4,g1y6tj,70,32268,1,0,612,0,True,1
260264.355825498,13,n6bep7fkatrw,Janis,4,g1y6tj,70,32268,2,100,0,0,True,1
260264.364351208,13,n6bep7fkatrw,Janis,4,g1y6tj,89,35073,1,0,612,0,True,0
260264.373480865,13,n6bep7fkatrw,Janis,4,g1y6tj,89,35073,2,100,0,0,True,0
260271.966630131,13,n6bep7fkatrw,Janis,5,g1y6tj,65,25725,1,0,612,0,True,7
260271.978853676,13,n6bep7fkatrw,Janis,5,g1y6tj,65,25725,2,100,0,0,True,7
260271.986354729,13,n6bep7fkatrw,Janis,5,g1y6tj,73,26787,1,0,612,0,True,6
260272.019988717,13,n6bep7fkatrw,Janis,5,g1y6tj,73,26787,2,100,0,0,True,6
260272.029362337,13,n6bep7fkatrw,Janis,5,g1y6tj,7,62823,1,0,612,0,True,5
260272.038653649,13,n6bep7fkatrw,Janis,5,g1y6tj,7,62823,2,100,0,0,True,5
260272.046313106,13,n6bep7fkatrw,Janis,5,g1y6tj,80,34801,1,0,612,0,True,4
260272.05530131,13,n6bep7fkatrw,Janis,5,g1y6tj,80,34801,2,100,0,0,True,4
