t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260244.391415751,13,p5rc1i1h55ao,Evelyne,2,v6gf3g,12,46213,1,0,612,0,True,0
260244.398315058,13,p5rc1i1h55ao,Evelyne,2,v6gf3g,12,46213,2,100,0,0,True,0
260260.595560824,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,81,62336,1,0,612,0,True,3
260260.604115934,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,81,62336,2,100,0,0,True,3
260260.612074016,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,16,9588,1,0,612,0,True,2
260260.62102315,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,16,9588,2,100,0,0,True,2
260260.629346225,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,52,47408,1,0,612,0,True,1
260260.63797454,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,52,47408,2,100,0,0,True,1
260260.646122077,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,7,33508,1,0,612,0,True,0
260260.6540278,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,7,33508,2,100,0,0,True,0
260273.590063884,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,51,28541,1,0,612,0,True,0
260273.614143704,13,p5rc1i1h55ao,Evelyne,4,v6gf3g,51,28541,2,100,0,0,True,0
260310.870205248,13,p5rc1i1h55ao,Evelyne,7,v6gf3g,87,6228,1,0,612,0,True,1
260310.877723605,13,p5rc1i1h55ao,Evelyne,7,v6gf3g,87,6228,2,100,0,0,True,1
260310.885016162,13,p5rc1i1h55ao,Evelyne,7,v6gf3g,38,51019,1,0,612,0,True,0
260310.892137979,13,p5rc1i1h55ao,Evelyne,7,v6gf3g,38,51019,2,100,0,0,True,0
260323.102419059,13,p5rc1i1h55ao,Evelyne,8,v6gf3g,72,57786,1,0,612,0,True,0
260323.109975893,13,p5rc1i1h55ao,Evelyne,8,v6gf3g,72,57786,2,100,0,0,True,0
260329.446065753,13,p5rc1i1h55ao,Evelyne,9,v6gf3g,79,56246,1,0,612,0,True,0
260329.454321134,13,p5rc1i1h55ao,Evelyne,9,v6gf3g,79,56246,2,100,0,0,True,0
260332.323307502,13,p5rc1i1h55ao,Evelyne,9,v6gf3g,46,49656,1,0,612,0,True,0
260332.330897343,13,p5rc1i1h55ao,Evelyne,9,v6gf3g,46,49656,2,100,0,0,True,0
260363.423350811,13,p5rc1i1h55ao,Evelyne,12,v6gf3g,64,54376,1,0,612,0,True,0
260363.435299266,13,p5rc1i1h55ao,Evelyne,12,v6gf3g,64,54376,2,100,0,0,True,0
260385.556761781,13,p5rc1i1h55ao,Evelyne,14,v6gf3g,80,38617,1,0,612,0,True,0
260385.563931738,13,p5rc1i1h55ao,Evelyne,14,v6gf3g,80,38617,2,100,0,0,True,0
260387.958940433,13,p5rc1i1h55ao,Evelyne,14,v6gf3g,82,1020,1,0,612,0,True,0
260387.966610083,13,p5rc1i1h55ao,Evelyne,14,v6gf3g,82,1020,2,100,0,0,True,0
260394.96571299,13,p5rc1i1h55ao,Evelyne,14,v6gf3g,30,6311,1,0,612,0,True,1
260394.973452617,13,p5rc1i1h55ao,Evelyne,14,v6gf3g,30,6311,2,100,0,0,True,1
260394.98106734,13,p5rc1i1h55ao,Evelyne,14,v6gf3g,27,23157,1,0,612,0,True,0
260394.988703374,13,p5rc1i1h55ao,Evelyne,14,v6gf3g,27,23157,2,100,0,0,True,0
260401.85236326,13,p5rc1i1h55ao,Evelyne,15,v6gf3g,78,60758,1,0,612,0,True,0
260401.859746537,13,p5rc1i1h55ao,Evelyne,15,v6gf3g,78,60758,2,100,0,0,True,0
260404.754495674,13,p5rc1i1h55ao,Evelyne,15,v6gf3g,30,36170,1,0,612,0,True,1
260404.762215148,13,p5rc1i1h55ao,Evelyne,15,v6gf3g,30,36170,2,100,0,0,True,1
260404.769897168,13,p5rc1i1h55ao,Evelyne,15,v6gf3g,75,18648,1,0,612,0,True,0
260404.777326616,13,p5rc1i1h55ao,Evelyne,15,v6gf3g,75,18648,2,100,0,0,True,0
260419.025099346,13,p5rc1i1h55ao,Evelyne,17,v6gf3g,30,27391,1,0,612,0,True,1
260419.032926932,13,p5rc1i1h55ao,Evelyne,17,v6gf3g,30,27391,2,100,0,0,True,1
260419.040558813,13,p5rc1i1h55ao,Evelyne,17,v6gf3g,75,16910,1,0,612,0,True,0
260419.048072918,13,p5rc1i1h55ao,Evelyne,17,v6gf3g,75,16910,2,100,0,0,True,0
260432.356061265,13,p5rc1i1h55ao,Evelyne,18,v6gf3g,29,26503,1,0,612,0,True,1
260432.369063774,13,p5rc1i1h55ao,Evelyne,18,v6gf3g,29,26503,2,100,0,0,True,1
260432.376769839,13,p5rc1i1h55ao,Evelyne,18,v6gf3g,29,16182,1,0,612,0,True,0
260432.386340199,13,p5rc1i1h55ao,Evelyne,18,v6gf3g,29,16182,2,100,0,0,True,0
