t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260219.90849526,13,sdcl1pizs8e8,Georgene,1,j2khg7,97,31273,1,0,0,612,True,0
260220.432204074,13,sdcl1pizs8e8,Georgene,1,j2khg7,19,62516,1,0,0,612,True,1
260220.439530235,13,sdcl1pizs8e8,Georgene,1,j2khg7,17,20737,1,0,0,612,True,0
260221.529039509,13,sdcl1pizs8e8,Georgene,1,j2khg7,23,15768,1,0,0,612,True,1
260221.536337956,13,sdcl1pizs8e8,Georgene,1,j2khg7,64,51598,1,0,0,612,True,0
260222.628598201,13,sdcl1pizs8e8,Georgene,1,j2khg7,21,8605,1,0,0,612,True,1
260222.635780366,13,sdcl1pizs8e8,Georgene,1,j2khg7,55,39104,1,0,0,612,True,0
260223.532527548,13,sdcl1pizs8e8,Georgene,1,j2khg7,95,24261,1,0,0,612,True,2
260223.54003679,13,sdcl1pizs8e8,Georgene,1,j2khg7,53,33123,1,0,0,612,True,1
260223.547572455,13,sdcl1pizs8e8,Georgene,1,j2khg7,74,5800,1,0,0,612,True,0
260224.25180616,13,sdcl1pizs8e8,Georgene,1,j2khg7,87,49706,1,0,0,612,True,1
260224.25913879,13,sdcl1pizs8e8,Georgene,1,j2khg7,6,50900,1,0,0,612,True,0
260226.42910729,13,sdcl1pizs8e8,Georgene,1,j2khg7,79,58662,1,0,0,612,True,0
260227.736938992,13,sdcl1pizs8e8,Georgene,1,j2khg7,59,26823,1,0,0,612,True,1
260227.744736675,13,sdcl1pizs8e8,Georgene,1,j2khg7,38,18683,1,0,0,612,True,0
260229.957883281,13,sdcl1pizs8e8,Georgene,2,j2khg7,63,58589,1,0,0,612,True,0
260232.304075369,13,sdcl1pizs8e8,Georgene,2,j2khg7,90,34530,1,0,0,612,True,5
260232.312134805,13,sdcl1pizs8e8,Georgene,2,j2khg7,77,6485,1,0,0,612,True,4
260232.319843237,13,sdcl1pizs8e8,Georgene,2,j2khg7,75,6247,1,0,0,612,True,3
260232.327669311,13,sdcl1pizs8e8,Georgene,2,j2khg7,91,20539,1,0,0,612,True,2
260232.335383894,13,sdcl1pizs8e8,Georgene,2,j2khg7,65,59864,1,0,0,612,True,1
260232.342819938,13,sdcl1pizs8e8,Georgene,2,j2khg7,1,6555,1,0,0,612,True,0
