t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260219.966525542,13,vdjlwu9f0xev,Magaly,1,my2elp,26,11863,1,0,0,612,True,1
260219.973230935,13,vdjlwu9f0xev,Magaly,1,my2elp,87,27362,1,0,0,612,True,0
260220.922350123,13,vdjlwu9f0xev,Magaly,1,my2elp,79,21684,1,0,0,612,True,3
260220.930115035,13,vdjlwu9f0xev,Magaly,1,my2elp,53,49433,1,0,0,612,True,2
260220.937805519,13,vdjlwu9f0xev,Magaly,1,my2elp,7,6103,1,0,0,612,True,1
260220.945640036,13,vdjlwu9f0xev,Magaly,1,my2elp,74,53358,1,0,0,612,True,0
260222.99354287,13,vdjlwu9f0xev,Magaly,1,my2elp,88,14645,1,0,0,612,True,3
260223.009036337,13,vdjlwu9f0xev,Magaly,1,my2elp,72,56718,1,0,0,612,True,2
260223.016599303,13,vdjlwu9f0xev,Magaly,1,my2elp,35,61405,1,0,0,612,True,1
260223.024287747,13,vdjlwu9f0xev,Magaly,1,my2elp,58,32308,1,0,0,612,True,0
260223.821289184,13,vdjlwu9f0xev,Magaly,1,my2elp,45,45981,1,0,0,612,True,1
260223.828970488,13,vdjlwu9f0xev,Magaly,1,my2elp,75,60428,1,0,0,612,True,0
260224.423567477,13,vdjlwu9f0xev,Magaly,1,my2elp,46,58449,1,0,0,612,True,0
260224.865504921,13,vdjlwu9f0xev,Magaly,1,my2elp,34,28221,1,0,0,612,True,1
260224.87298278,13,vdjlwu9f0xev,Magaly,1,my2elp,17,47713,1,0,0,612,True,0
260225.341333402,13,vdjlwu9f0xev,Magaly,1,my2elp,33,5813,1,0,0,612,True,2
260225.349666757,13,vdjlwu9f0xev,Magaly,1,my2elp,91,1775,1,0,0,612,True,1
260225.357155458,13,vdjlwu9f0xev,Magaly,1,my2elp,27,15305,1,0,0,612,True,0
260226.803456911,13,vdjlwu9f0xev,Magaly,1,my2elp,90,36301,1,0,0,612,True,2
260226.810593879,13,vdjlwu9f0xev,Magaly,1,my2elp,82,62718,1,0,0,612,True,1
260226.817762706,13,vdjlwu9f0xev,Magaly,1,my2elp,16,46087,1,0,0,612,True,0
260228.196166145,13,vdjlwu9f0xev,Magaly,1,my2elp,12,1956,1,0,0,612,True,0
260230.346840606,13,vdjlwu9f0xev,Magaly,1,my2elp,11,18215,1,0,0,612,True,1
260230.353440248,13,vdjlwu9f0xev,Magaly,1,my2elp,60,54790,1,0,0,612,True,0
260232.94766739,13,vdjlwu9f0xev,Magaly,2,my2elp,93,7292,1,0,0,612,True,9
260232.954897511,13,vdjlwu9f0xev,Magaly,2,my2elp,0,56505,1,0,0,612,True,8
260232.962171037,13,vdjlwu9f0xev,Magaly,2,my2elp,43,8207,1,0,0,612,True,7
260232.969217499,13,vdjlwu9f0xev,Magaly,2,my2elp,97,33072,1,0,0,612,True,6
260232.976630664,13,vdjlwu9f0xev,Magaly,2,my2elp,15,22460,1,0,0,612,True,5
260232.983825997,13,vdjlwu9f0xev,Magaly,2,my2elp,92,39694,1,0,0,612,True,4
260232.991163684,13,vdjlwu9f0xev,Magaly,2,my2elp,77,64221,1,0,0,612,True,3
260232.998704236,13,vdjlwu9f0xev,Magaly,2,my2elp,95,50086,1,0,0,612,True,2
260233.006218899,13,vdjlwu9f0xev,Magaly,2,my2elp,73,27932,1,0,0,612,True,1
260233.013765606,13,vdjlwu9f0xev,Magaly,2,my2elp,5,42106,1,0,0,612,True,0
260234.705418418,13,vdjlwu9f0xev,Magaly,2,my2elp,18,41323,1,0,0,612,True,1
260234.712666462,13,vdjlwu9f0xev,Magaly,2,my2elp,30,59935,1,0,0,612,True,0
260236.129998458,13,vdjlwu9f0xev,Magaly,2,my2elp,29,42785,1,0,0,612,True,2
260236.137515768,13,vdjlwu9f0xev,Magaly,2,my2elp,13,41495,1,0,0,612,True,1
260236.154173495,13,vdjlwu9f0xev,Magaly,2,my2elp,23,25216,1,0,0,612,True,0
260237.450842215,13,vdjlwu9f0xev,Magaly,2,my2elp,0,10911,1,0,0,612,True,0
260240.139911067,13,vdjlwu9f0xev,Magaly,2,my2elp,99,10331,1,0,0,612,True,0
260243.987871752,13,vdjlwu9f0xev,Magaly,2,my2elp,96,56628,1,0,0,612,True,2
260244.000362984,13,vdjlwu9f0xev,Magaly,2,my2elp,95,28830,1,0,0,612,True,1
260244.010819048,13,vdjlwu9f0xev,Magaly,2,my2elp,94,15157,1,0,0,612,True,0
260247.910053896,13,vdjlwu9f0xev,Magaly,3,my2elp,92,49666,1,0,0,612,True,2
260247.921328585,13,vdjlwu9f0xev,Magaly,3,my2elp,90,9600,1,0,0,612,True,1
260247.930255714,13,vdjlwu9f0xev,Magaly,3,my2elp,44,46918,1,0,0,612,True,0
260263.247395941,13,vdjlwu9f0xev,Magaly,4,my2elp,80,20338,1,0,0,612,True,0
260270.253543545,13,vdjlwu9f0xev,Magaly,4,my2elp,30,51203,1,0,0,612,True,0
260277.935729531,13,vdjlwu9f0xev,Magaly,5,my2elp,20,19012,2,0,0,100,True,1
260277.963673279,13,vdjlwu9f0xev,Magaly,5,my2elp,29,33047,1,0,0,612,True,0
260285.82791547,13,vdjlwu9f0xev,Magaly,5,my2elp,27,30594,1,0,0,612,True,0
260292.175909995,13,vdjlwu9f0xev,Magaly,6,my2elp,26,11863,2,0,0,100,True,1
260292.18367816,13,vdjlwu9f0xev,Magaly,6,my2elp,46,58449,2,0,0,100,True,0
260299.930455411,13,vdjlwu9f0xev,Magaly,6,my2elp,22,20486,2,0,0,100,True,1
260299.93827634,13,vdjlwu9f0xev,Magaly,6,my2elp,58,32308,2,0,0,100,True,0
260304.545531711,13,vdjlwu9f0xev,Magaly,7,my2elp,71,58402,2,0,0,100,True,4
260304.553882045,13,vdjlwu9f0xev,Magaly,7,my2elp,50,40871,2,0,0,100,True,3
260304.561845426,13,vdjlwu9f0xev,Magaly,7,my2elp,79,21684,2,0,0,100,True,2
260304.569827313,13,vdjlwu9f0xev,Magaly,7,my2elp,3,11100,2,0,0,100,True,1
260304.577548395,13,vdjlwu9f0xev,Magaly,7,my2elp,70,38965,2,0,0,100,True,0
260309.00863559,13,vdjlwu9f0xev,Magaly,7,my2elp,71,37942,1,0,0,612,True,1
260309.016141447,13,vdjlwu9f0xev,Magaly,7,my2elp,73,37629,1,0,0,612,True,0
260312.85734038,13,vdjlwu9f0xev,Magaly,7,my2elp,95,50086,2,0,0,100,True,1
260312.865052143,13,vdjlwu9f0xev,Magaly,7,my2elp,2,37156,2,0,0,100,True,0
260315.762995174,13,vdjlwu9f0xev,Magaly,8,my2elp,83,42285,2,0,0,100,True,4
260315.777763597,13,vdjlwu9f0xev,Magaly,8,my2elp,59,39191,2,0,0,100,True,3
260315.790109174,13,vdjlwu9f0xev,Magaly,8,my2elp,28,15245,2,0,0,100,True,2
260315.801301137,13,vdjlwu9f0xev,Magaly,8,my2elp,89,26267,2,0,0,100,True,1
260315.809092137,13,vdjlwu9f0xev,Magaly,8,my2elp,76,60535,2,0,0,100,True,0
260319.407111743,13,vdjlwu9f0xev,Magaly,8,my2elp,88,1712,2,0,0,100,True,0
260328.263186029,13,vdjlwu9f0xev,Magaly,9,my2elp,80,2112,2,0,0,100,True,2
260328.271115229,13,vdjlwu9f0xev,Magaly,9,my2elp,85,55511,2,0,0,100,True,1
260328.278997008,13,vdjlwu9f0xev,Magaly,9,my2elp,86,2288,2,0,0,100,True,0
260331.266597531,13,vdjlwu9f0xev,Magaly,9,my2elp,43,10652,2,0,0,100,True,0
260337.251740581,13,vdjlwu9f0xev,Magaly,9,my2elp,79,37270,2,0,0,100,True,0
260339.392575358,13,vdjlwu9f0xev,Magaly,10,my2elp,29,33047,2,0,0,100,True,1
260339.399876254,13,vdjlwu9f0xev,Magaly,10,my2elp,37,21632,2,0,0,100,True,0
260341.857979697,13,vdjlwu9f0xev,Magaly,10,my2elp,41,11044,2,0,0,100,True,2
260341.865826428,13,vdjlwu9f0xev,Magaly,10,my2elp,38,45775,2,0,0,100,True,1
260341.873573156,13,vdjlwu9f0xev,Magaly,10,my2elp,92,49666,2,0,0,100,True,0
260352.261656132,13,vdjlwu9f0xev,Magaly,11,my2elp,75,54278,2,0,0,100,True,0
260369.50502721,13,vdjlwu9f0xev,Magaly,12,my2elp,67,50712,1,0,0,612,True,1
260369.512947261,13,vdjlwu9f0xev,Magaly,12,my2elp,66,56617,1,0,0,612,True,0
260372.123171405,13,vdjlwu9f0xev,Magaly,13,my2elp,64,22827,1,0,0,612,True,0
260374.591095842,13,vdjlwu9f0xev,Magaly,13,my2elp,10,53945,1,0,0,612,True,1
260374.598804781,13,vdjlwu9f0xev,Magaly,13,my2elp,17,28538,1,0,0,612,True,0
260377.069224919,13,vdjlwu9f0xev,Magaly,13,my2elp,11,32194,1,0,0,612,True,4
260377.077684184,13,vdjlwu9f0xev,Magaly,13,my2elp,12,19144,1,0,0,612,True,3
260377.085060885,13,vdjlwu9f0xev,Magaly,13,my2elp,13,61280,1,0,0,612,True,2
260377.092823793,13,vdjlwu9f0xev,Magaly,13,my2elp,66,32060,1,0,0,612,True,1
260377.100642703,13,vdjlwu9f0xev,Magaly,13,my2elp,65,62089,1,0,0,612,True,0
260379.25684234,13,vdjlwu9f0xev,Magaly,13,my2elp,61,2998,1,0,0,612,True,0
260417.390032408,13,vdjlwu9f0xev,Magaly,17,my2elp,10,8411,1,0,0,612,True,1
260417.398241556,13,vdjlwu9f0xev,Magaly,17,my2elp,94,10315,1,0,0,612,True,0
260420.734159868,13,vdjlwu9f0xev,Magaly,17,my2elp,54,56091,2,0,0,100,True,0
260436.59756775,13,vdjlwu9f0xev,Magaly,18,my2elp,48,13457,1,0,0,612,True,2
260436.604862053,13,vdjlwu9f0xev,Magaly,18,my2elp,47,40070,1,0,0,612,True,1
