t,experiment_id,user,current_round
260208.306837476,13,Britany,0
260218.861872625,13,Britany,1
260230.84792597,13,Britany,2
260241.789203048,13,Britany,3
260253.790080342,13,Britany,4
260267.548954466,13,Britany,5
260283.120358537,13,Britany,6
260298.155339144,13,Britany,7
260311.813580006,13,Britany,8
260324.385098306,13,Britany,9
260334.874495058,13,Britany,10
260345.863893818,13,Britany,11
260357.65800168,13,Britany,12
260368.782891113,13,Britany,13
260379.770172423,13,Britany,14
260390.927490653,13,Britany,15
260403.104646067,13,Britany,16
260414.079120206,13,Britany,17
260425.280292016,13,Britany,18
260436.96424098,13,Britany,19
260448.669049966,13,Britany,20
260459.128362881,13,Britany,21
