t,experiment_id,user,current_round
260207.71493988,13,Delaine,0
260218.164971164,13,Delaine,1
260229.098290391,13,Delaine,2
260241.348874797,13,Delaine,3
260253.248096401,13,Delaine,4
260266.757283677,13,Delaine,5
260282.435442099,13,Delaine,6
260297.476121775,13,Delaine,7
260307.894007971,13,Delaine,8
260318.240894971,13,Delaine,9
260330.588145758,13,Delaine,10
260341.290409273,13,Delaine,11
260351.804991228,13,Delaine,12
260363.233181784,13,Delaine,13
260373.853463809,13,Delaine,14
260386.346456912,13,Delaine,15
260397.509559382,13,Delaine,16
260408.803832764,13,Delaine,17
260420.918305988,13,Delaine,18
260432.794494144,13,Delaine,19
260443.386650185,13,Delaine,20
260453.836347603,13,Delaine,21
