t,experiment_id,user,current_round
260208.565451574,13,Elinor,0
260219.080921606,13,Elinor,1
260231.063245049,13,Elinor,2
260242.010019842,13,Elinor,3
260254.089835954,13,Elinor,4
260267.805102927,13,Elinor,5
260283.419638399,13,Elinor,6
260298.597801924,13,Elinor,7
260312.052243769,13,Elinor,8
260324.62782757,13,Elinor,9
260336.9648572,13,Elinor,10
260347.484976702,13,Elinor,11
260357.886061756,13,Elinor,12
260369.01995092,13,Elinor,13
260379.998877751,13,Elinor,14
260391.164354526,13,Elinor,15
260403.312404643,13,Elinor,16
260414.304074379,13,Elinor,17
260425.489655923,13,Elinor,18
260437.20213558,13,Elinor,19
260448.865228682,13,Elinor,20
260459.394314501,13,Elinor,21
