t,experiment_id,user,current_round
260207.622548118,13,Jessica,0
260217.721969183,13,Jessica,1
260228.924244287,13,Jessica,2
260241.226085948,13,Jessica,3
260253.140578998,13,Jessica,4
260266.565036976,13,Jessica,5
260282.244317412,13,Jessica,6
260297.355241539,13,Jessica,7
260307.809686918,13,Jessica,8
260318.09539693,13,Jessica,9
260330.467871024,13,Jessica,10
260341.191310436,13,Jessica,11
260351.692824954,13,Jessica,12
260363.134301211,13,Jessica,13
260373.733830193,13,Jessica,14
260384.113827954,13,Jessica,15
260396.165410465,13,Jessica,16
260406.781087683,13,Jessica,17
260418.864760802,13,Jessica,18
260429.460368813,13,Jessica,19
260440.324124325,13,Jessica,20
260451.740048401,13,Jessica,21
