t,experiment_id,user,current_round
260208.951890567,13,Kermit,0
260219.673652458,13,Kermit,1
260231.380522901,13,Kermit,2
260245.152545086,13,Kermit,3
260259.862799108,13,Kermit,4
260274.327057633,13,Kermit,5
260289.883345049,13,Kermit,6
260301.7563277,13,Kermit,7
260314.428768334,13,Kermit,8
260327.501349098,13,Kermit,9
260338.803326112,13,Kermit,10
260351.437223434,13,Kermit,11
260362.85267454,13,Kermit,12
260373.477876199,13,Kermit,13
260383.823747956,13,Kermit,14
260395.918736685,13,Kermit,15
260406.515470751,13,Kermit,16
260416.936986843,13,Kermit,17
260427.492928657,13,Kermit,18
260439.048531633,13,Kermit,19
260450.392810155,13,Kermit,20
260460.601624714,13,Kermit,21
