t,experiment_id,user,current_round
260208.235624779,13,Luke,0
260218.831132718,13,Luke,1
260230.806394446,13,Luke,2
260241.754979679,13,Luke,3
260253.733016891,13,Luke,4
260267.512619669,13,Luke,5
260283.038658041,13,Luke,6
260298.051610251,13,Luke,7
260311.770027449,13,Luke,8
260324.337375785,13,Luke,9
260334.8303207,13,Luke,10
260345.826625586,13,Luke,11
260356.181802798,13,Luke,12
260367.885714793,13,Luke,13
260379.000565463,13,Luke,14
260390.882704844,13,Luke,15
260403.066951976,13,Luke,16
260414.041749669,13,Luke,17
260425.227834598,13,Luke,18
260436.923988082,13,Luke,19
260447.201136311,13,Luke,20
260457.583321289,13,Luke,21
