t,experiment_id,user,current_round
260208.901998762,13,Shane,0
260219.632328586,13,Shane,1
260231.335482303,13,Shane,2
260245.106658327,13,Shane,3
260259.797435718,13,Shane,4
260274.251064984,13,Shane,5
260289.818633168,13,Shane,6
260301.694392222,13,Shane,7
260314.376431124,13,Shane,8
260327.447041133,13,Shane,9
260338.758252595,13,Shane,10
260348.925500143,13,Shane,11
260360.661594623,13,Shane,12
260371.978687038,13,Shane,13
260382.396617231,13,Shane,14
260393.647345453,13,Shane,15
260406.471182217,13,Shane,16
260416.894134487,13,Shane,17
260427.451256894,13,Shane,18
260439.00570135,13,Shane,19
260450.337792428,13,Shane,20
260460.557694858,13,Shane,21
