t,experiment_id,user,current_round
260207.538831728,13,Tim,0
260217.653098309,13,Tim,1
260228.820337608,13,Tim,2
260241.150716934,13,Tim,3
260253.059771338,13,Tim,4
260266.480166075,13,Tim,5
260282.147740646,13,Tim,6
260297.27389458,13,Tim,7
260307.751158617,13,Tim,8
260318.034662887,13,Tim,9
260330.387685887,13,Tim,10
260341.127986947,13,Tim,11
260351.612317395,13,Tim,12
260363.052930549,13,Tim,13
260373.669523162,13,Tim,14
260384.018464198,13,Tim,15
260396.09097396,13,Tim,16
260406.706976957,13,Tim,17
260418.805036112,13,Tim,18
260429.37551032,13,Tim,19
260440.255419353,13,Tim,20
260451.663158519,13,Tim,21
