t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260236.561592578,26,0s95lv6oewfa,Lizzette,3,1zqdk8,21,22063,1,0,0,612,True,6
260236.570508447,26,0s95lv6oewfa,Lizzette,3,1zqdk8,50,57301,1,0,0,612,True,5
260236.578227366,26,0s95lv6oewfa,Lizzette,3,1zqdk8,43,17817,1,0,0,612,True,4
260236.585842319,26,0s95lv6oewfa,Lizzette,3,1zqdk8,63,58862,1,0,0,612,True,3
260236.594926361,26,0s95lv6oewfa,Lizzette,3,1zqdk8,81,52209,1,0,0,612,True,2
260236.603165592,26,0s95lv6oewfa,Lizzette,3,1zqdk8,96,24800,1,0,0,612,True,1
260236.613149521,26,0s95lv6oewfa,Lizzette,3,1zqdk8,49,53009,1,0,0,612,True,0
260246.099377111,26,0s95lv6oewfa,Lizzette,3,alnucy,56,13636,1,0,612,0,True,2
260246.106639305,26,0s95lv6oewfa,Lizzette,3,alnucy,56,13636,2,100,0,0,True,2
260246.114489291,26,0s95lv6oewfa,Lizzette,3,alnucy,39,15028,1,0,612,0,True,1
260246.12273248,26,0s95lv6oewfa,Lizzette,3,alnucy,39,15028,2,100,0,0,True,1
260246.130059847,26,0s95lv6oewfa,Lizzette,3,alnucy,71,20832,1,0,612,0,True,0
260246.137968321,26,0s95lv6oewfa,Lizzette,3,alnucy,71,20832,2,100,0,0,True,0
260251.820115168,26,0s95lv6oewfa,Lizzette,4,alnucy,98,6550,1,0,612,0,True,4
260251.827892887,26,0s95lv6oewfa,Lizzette,4,alnucy,98,6550,2,100,0,0,True,4
260251.835734413,26,0s95lv6oewfa,Lizzette,4,alnucy,10,58270,1,0,612,0,True,3
260251.843282319,26,0s95lv6oewfa,Lizzette,4,alnucy,10,58270,2,100,0,0,True,3
260251.850669808,26,0s95lv6oewfa,Lizzette,4,alnucy,30,1141,1,0,612,0,True,2
260251.858120837,26,0s95lv6oewfa,Lizzette,4,alnucy,30,1141,2,100,0,0,True,2
260251.865636065,26,0s95lv6oewfa,Lizzette,4,alnucy,68,25889,1,0,612,0,True,1
260251.873086814,26,0s95lv6oewfa,Lizzette,4,alnucy,68,25889,2,100,0,0,True,1
260251.880612268,26,0s95lv6oewfa,Lizzette,4,alnucy,67,38306,1,0,612,0,True,0
260251.888097007,26,0s95lv6oewfa,Lizzette,4,alnucy,67,38306,2,100,0,0,True,0
260258.483178779,26,0s95lv6oewfa,Lizzette,4,1zqdk8,42,59925,1,0,0,612,True,11
260258.490889359,26,0s95lv6oewfa,Lizzette,4,alnucy,24,26953,1,0,612,0,True,10
260258.499650595,26,0s95lv6oewfa,Lizzette,4,alnucy,24,26953,2,100,0,0,True,10
260258.507721003,26,0s95lv6oewfa,Lizzette,4,alnucy,72,53193,1,0,612,0,True,9
260258.515931567,26,0s95lv6oewfa,Lizzette,4,alnucy,72,53193,2,100,0,0,True,9
260258.524625419,26,0s95lv6oewfa,Lizzette,4,alnucy,66,54219,1,0,612,0,True,8
260258.532958003,26,0s95lv6oewfa,Lizzette,4,alnucy,66,54219,2,100,0,0,True,8
260258.541470009,26,0s95lv6oewfa,Lizzette,4,alnucy,62,25618,1,0,612,0,True,7
260258.54974747,26,0s95lv6oewfa,Lizzette,4,alnucy,62,25618,2,100,0,0,True,7
260258.558362024,26,0s95lv6oewfa,Lizzette,4,alnucy,80,45154,1,0,612,0,True,6
260258.567971523,26,0s95lv6oewfa,Lizzette,4,alnucy,80,45154,2,100,0,0,True,6
260258.576331626,26,0s95lv6oewfa,Lizzette,4,alnucy,1,13514,1,0,612,0,True,5
260258.588044434,26,0s95lv6oewfa,Lizzette,4,alnucy,1,13514,2,100,0,0,True,5
260258.597974683,26,0s95lv6oewfa,Lizzette,4,alnucy,0,9090,1,0,612,0,True,4
260258.62671428,26,0s95lv6oewfa,Lizzette,4,alnucy,0,9090,2,100,0,0,True,4
260258.635388238,26,0s95lv6oewfa,Lizzette,4,1zqdk8,41,56373,1,0,0,612,True,3
260258.660814873,26,0s95lv6oewfa,Lizzette,4,alnucy,99,61039,1,0,612,0,True,2
260258.681136209,26,0s95lv6oewfa,Lizzette,4,alnucy,99,61039,2,100,0,0,True,2
260258.688949418,26,0s95lv6oewfa,Lizzette,4,alnucy,52,34001,1,0,612,0,True,1
260258.709293651,26,0s95lv6oewfa,Lizzette,4,alnucy,52,34001,2,100,0,0,True,1
260258.730121037,26,0s95lv6oewfa,Lizzette,4,1zqdk8,37,45533,1,0,0,612,True,0
260267.749542934,26,0s95lv6oewfa,Lizzette,5,alnucy,77,9273,1,0,612,0,True,2
260267.757825661,26,0s95lv6oewfa,Lizzette,5,alnucy,77,9273,2,100,0,0,True,2
260267.778467661,26,0s95lv6oewfa,Lizzette,5,alnucy,18,22754,1,0,612,0,True,1
260267.797485495,26,0s95lv6oewfa,Lizzette,5,alnucy,18,22754,2,100,0,0,True,1
260267.823510614,26,0s95lv6oewfa,Lizzette,5,alnucy,64,17685,1,0,612,0,True,0
260267.840247122,26,0s95lv6oewfa,Lizzette,5,alnucy,64,17685,2,100,0,0,True,0
260316.61538611,26,0s95lv6oewfa,Lizzette,9,1zqdk8,34,38575,1,0,0,612,True,7
260316.623047408,26,0s95lv6oewfa,Lizzette,9,alnucy,37,18924,1,0,612,0,True,6
260316.630682512,26,0s95lv6oewfa,Lizzette,9,alnucy,37,18924,2,100,0,0,True,6
260316.637999479,26,0s95lv6oewfa,Lizzette,9,alnucy,46,41324,1,0,612,0,True,5
260316.645440781,26,0s95lv6oewfa,Lizzette,9,alnucy,46,41324,2,100,0,0,True,5
260316.652692685,26,0s95lv6oewfa,Lizzette,9,alnucy,11,33120,1,0,612,0,True,4
260316.661861565,26,0s95lv6oewfa,Lizzette,9,alnucy,11,33120,2,100,0,0,True,4
260316.669377201,26,0s95lv6oewfa,Lizzette,9,alnucy,44,34032,1,0,612,0,True,3
260316.677138215,26,0s95lv6oewfa,Lizzette,9,alnucy,44,34032,2,100,0,0,True,3
260316.684705535,26,0s95lv6oewfa,Lizzette,9,alnucy,42,58474,1,0,612,0,True,2
260316.692460486,26,0s95lv6oewfa,Lizzette,9,alnucy,42,58474,2,100,0,0,True,2
260316.699905102,26,0s95lv6oewfa,Lizzette,9,alnucy,35,32158,1,0,612,0,True,1
260316.707661441,26,0s95lv6oewfa,Lizzette,9,alnucy,35,32158,2,100,0,0,True,1
260316.715632125,26,0s95lv6oewfa,Lizzette,9,alnucy,0,48562,1,0,612,0,True,0
260316.723359436,26,0s95lv6oewfa,Lizzette,9,alnucy,0,48562,2,100,0,0,True,0
260325.795184328,26,0s95lv6oewfa,Lizzette,9,1zqdk8,0,22601,2,0,0,100,True,3
260325.802848489,26,0s95lv6oewfa,Lizzette,9,1zqdk8,43,17817,2,0,0,100,True,2
260325.811826623,26,0s95lv6oewfa,Lizzette,9,1zqdk8,41,24577,2,0,0,100,True,1
260325.822775702,26,0s95lv6oewfa,Lizzette,9,1zqdk8,27,28583,2,0,0,100,True,0
260333.048425887,26,0s95lv6oewfa,Lizzette,10,alnucy,65,42012,1,0,612,0,True,1
260333.058289003,26,0s95lv6oewfa,Lizzette,10,alnucy,65,42012,2,100,0,0,True,1
260333.06626908,26,0s95lv6oewfa,Lizzette,10,1zqdk8,32,4577,1,0,0,612,True,0
260336.720485412,26,0s95lv6oewfa,Lizzette,10,1zqdk8,61,59752,1,0,0,612,True,3
260336.728405513,26,0s95lv6oewfa,Lizzette,10,1zqdk8,97,57722,2,0,0,100,True,2
260336.736045147,26,0s95lv6oewfa,Lizzette,10,1zqdk8,67,24353,2,0,0,100,True,1
260336.74346808,26,0s95lv6oewfa,Lizzette,10,alnucy,61,57408,1,0,612,0,True,0
260336.751518405,26,0s95lv6oewfa,Lizzette,10,alnucy,61,57408,2,100,0,0,True,0
260342.759057429,26,0s95lv6oewfa,Lizzette,11,1zqdk8,57,54601,2,0,0,100,True,7
260342.766428053,26,0s95lv6oewfa,Lizzette,11,1zqdk8,38,42152,2,0,0,100,True,6
