t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260217.051107213,26,0urtz9wwflkj,Reita,1,5emq03,87,58232,1,0,0,612,True,1
260217.058081218,26,0urtz9wwflkj,Reita,1,5emq03,10,12222,1,0,0,612,True,0
260218.159263508,26,0urtz9wwflkj,Reita,1,v7atfa,92,18109,1,0,0,612,True,0
260219.173135672,26,0urtz9wwflkj,Reita,1,5emq03,93,8440,1,0,0,612,True,1
260219.180727906,26,0urtz9wwflkj,Reita,1,v7atfa,15,83,1,0,0,612,True,0
260220.573481914,26,0urtz9wwflkj,Reita,1,v7atfa,45,41530,1,0,0,612,True,6
260220.581109568,26,0urtz9wwflkj,Reita,1,5emq03,16,31429,1,0,0,612,True,5
260220.588734875,26,0urtz9wwflkj,Reita,1,v7atfa,8,528,1,0,0,612,True,4
260220.603230581,26,0urtz9wwflkj,Reita,1,5emq03,25,33444,1,0,0,612,True,3
260220.614758405,26,0urtz9wwflkj,Reita,1,v7atfa,77,1918,1,0,0,612,True,2
260220.624574508,26,0urtz9wwflkj,Reita,1,5emq03,68,52376,1,0,0,612,True,1
260220.633039774,26,0urtz9wwflkj,Reita,1,5emq03,55,12266,1,0,0,612,True,0
260221.886786835,26,0urtz9wwflkj,Reita,1,5emq03,40,10542,1,0,0,612,True,6
260221.894376808,26,0urtz9wwflkj,Reita,1,v7atfa,60,50855,1,0,0,612,True,5
260221.901870072,26,0urtz9wwflkj,Reita,1,5emq03,6,61136,1,0,0,612,True,4
260221.909549939,26,0urtz9wwflkj,Reita,1,5emq03,33,48858,1,0,0,612,True,3
260221.917059072,26,0urtz9wwflkj,Reita,1,5emq03,91,10811,1,0,0,612,True,2
260221.924491205,26,0urtz9wwflkj,Reita,1,v7atfa,27,32158,1,0,0,612,True,1
260221.932170517,26,0urtz9wwflkj,Reita,1,5emq03,38,21063,1,0,0,612,True,0
260222.947406114,26,0urtz9wwflkj,Reita,1,v7atfa,65,26060,1,0,0,612,True,3
260222.954890437,26,0urtz9wwflkj,Reita,1,v7atfa,94,18476,1,0,0,612,True,2
260222.962878988,26,0urtz9wwflkj,Reita,1,v7atfa,88,10572,1,0,0,612,True,1
260222.970161261,26,0urtz9wwflkj,Reita,1,5emq03,24,13827,1,0,0,612,True,0
260225.25123531,26,0urtz9wwflkj,Reita,1,v7atfa,59,37790,1,0,0,612,True,6
260225.258531553,26,0urtz9wwflkj,Reita,1,v7atfa,18,51391,1,0,0,612,True,5
260225.265613642,26,0urtz9wwflkj,Reita,1,v7atfa,79,24959,1,0,0,612,True,4
260225.274278869,26,0urtz9wwflkj,Reita,1,5emq03,5,59642,1,0,0,612,True,3
260225.281654746,26,0urtz9wwflkj,Reita,1,v7atfa,57,59565,1,0,0,612,True,2
260225.288842519,26,0urtz9wwflkj,Reita,1,5emq03,56,39894,1,0,0,612,True,1
260225.299316324,26,0urtz9wwflkj,Reita,1,v7atfa,3,56342,1,0,0,612,True,0
260227.455471282,26,0urtz9wwflkj,Reita,1,v7atfa,25,45953,1,0,0,612,True,2
260227.4633743,26,0urtz9wwflkj,Reita,1,v7atfa,80,12527,1,0,0,612,True,1
260227.471212016,26,0urtz9wwflkj,Reita,1,v7atfa,14,6505,1,0,0,612,True,0
260230.601420444,26,0urtz9wwflkj,Reita,2,5emq03,52,50508,1,0,0,612,True,6
260230.608596019,26,0urtz9wwflkj,Reita,2,v7atfa,16,1408,1,0,0,612,True,5
260230.628448062,26,0urtz9wwflkj,Reita,2,v7atfa,23,23039,1,0,0,612,True,4
260230.635898858,26,0urtz9wwflkj,Reita,2,5emq03,12,50335,1,0,0,612,True,3
260230.650994006,26,0urtz9wwflkj,Reita,2,v7atfa,35,44219,1,0,0,612,True,2
260230.657670786,26,0urtz9wwflkj,Reita,2,5emq03,48,58503,1,0,0,612,True,1
260230.665327769,26,0urtz9wwflkj,Reita,2,v7atfa,67,49954,1,0,0,612,True,0
260233.309176236,26,0urtz9wwflkj,Reita,2,v7atfa,43,26716,1,0,0,612,True,7
260233.316735665,26,0urtz9wwflkj,Reita,2,5emq03,0,25198,1,0,0,612,True,6
260233.324276503,26,0urtz9wwflkj,Reita,2,5emq03,49,37232,1,0,0,612,True,5
260233.331830693,26,0urtz9wwflkj,Reita,2,v7atfa,96,31152,1,0,0,612,True,4
260233.339419284,26,0urtz9wwflkj,Reita,2,5emq03,94,50381,1,0,0,612,True,3
260233.347037568,26,0urtz9wwflkj,Reita,2,xnj60j,34,37876,1,0,0,612,True,2
260233.354538685,26,0urtz9wwflkj,Reita,2,v7atfa,45,10633,1,0,0,612,True,1
260233.362069513,26,0urtz9wwflkj,Reita,2,v7atfa,46,34849,1,0,0,612,True,0
260235.370916276,26,0urtz9wwflkj,Reita,2,5emq03,93,57309,1,0,0,612,True,2
260235.378750134,26,0urtz9wwflkj,Reita,2,v7atfa,92,39850,1,0,0,612,True,1
260235.386338555,26,0urtz9wwflkj,Reita,2,xnj60j,66,59756,1,0,0,612,True,0
260238.707451772,26,0urtz9wwflkj,Reita,2,v7atfa,88,19025,1,0,0,612,True,11
260238.714790934,26,0urtz9wwflkj,Reita,2,5emq03,88,5275,1,0,0,612,True,10
260238.722066842,26,0urtz9wwflkj,Reita,2,5emq03,39,36591,1,0,0,612,True,9
260238.729522534,26,0urtz9wwflkj,Reita,2,xnj60j,11,46744,1,0,0,612,True,8
260238.737015409,26,0urtz9wwflkj,Reita,2,xnj60j,20,46130,1,0,0,612,True,7
260238.744642868,26,0urtz9wwflkj,Reita,2,xnj60j,52,55224,1,0,0,612,True,6
260238.752145153,26,0urtz9wwflkj,Reita,2,xnj60j,41,20345,1,0,0,612,True,5
260238.75985531,26,0urtz9wwflkj,Reita,2,xnj60j,16,56366,1,0,0,612,True,4
260238.767695152,26,0urtz9wwflkj,Reita,2,5emq03,87,58092,1,0,0,612,True,3
260238.775568752,26,0urtz9wwflkj,Reita,2,xnj60j,73,58948,1,0,0,612,True,2
260238.783363949,26,0urtz9wwflkj,Reita,2,xnj60j,56,20308,1,0,0,612,True,1
260238.79108305,26,0urtz9wwflkj,Reita,2,v7atfa,37,35698,1,0,0,612,True,0
260290.788936914,26,0urtz9wwflkj,Reita,6,v7atfa,91,6537,2,0,0,100,True,11
260290.796946677,26,0urtz9wwflkj,Reita,6,47q8d3,11,28242,1,0,612,0,True,10
260290.80560238,26,0urtz9wwflkj,Reita,6,47q8d3,11,28242,2,100,0,0,True,10
260290.81408694,26,0urtz9wwflkj,Reita,6,47q8d3,23,33359,1,0,612,0,True,9
260290.828681497,26,0urtz9wwflkj,Reita,6,47q8d3,23,33359,2,100,0,0,True,9
260290.83973791,26,0urtz9wwflkj,Reita,6,v7atfa,34,36687,1,0,0,612,True,8
260290.849055651,26,0urtz9wwflkj,Reita,6,v7atfa,33,8017,1,0,0,612,True,7
260290.858124871,26,0urtz9wwflkj,Reita,6,5emq03,33,12813,1,0,0,612,True,6
260290.867291171,26,0urtz9wwflkj,Reita,6,xnj60j,19,51384,1,0,0,612,True,5
260290.883425513,26,0urtz9wwflkj,Reita,6,47q8d3,33,7704,1,0,612,0,True,4
260290.897539797,26,0urtz9wwflkj,Reita,6,47q8d3,33,7704,2,100,0,0,True,4
260290.915397704,26,0urtz9wwflkj,Reita,6,xnj60j,43,25456,1,0,0,612,True,3
260290.935996641,26,0urtz9wwflkj,Reita,6,5emq03,40,59949,1,0,0,612,True,2
260290.965643672,26,0urtz9wwflkj,Reita,6,xnj60j,69,53505,1,0,0,612,True,1
260290.991913447,26,0urtz9wwflkj,Reita,6,xnj60j,32,53948,1,0,0,612,True,0
260302.827778117,26,0urtz9wwflkj,Reita,6,v7atfa,45,41530,2,0,0,100,True,13
260302.83534499,26,0urtz9wwflkj,Reita,6,v7atfa,99,42469,2,0,0,100,True,12
260302.842897301,26,0urtz9wwflkj,Reita,6,v7atfa,27,32158,2,0,0,100,True,11
260302.850456388,26,0urtz9wwflkj,Reita,6,5emq03,33,48858,2,0,0,100,True,10
260302.858023702,26,0urtz9wwflkj,Reita,6,5emq03,68,52376,2,0,0,100,True,9
260302.865554176,26,0urtz9wwflkj,Reita,6,xnj60j,85,3261,2,0,0,100,True,8
260302.873119491,26,0urtz9wwflkj,Reita,6,v7atfa,60,50855,2,0,0,100,True,7
260302.880765955,26,0urtz9wwflkj,Reita,6,5emq03,84,53604,2,0,0,100,True,6
260302.888419009,26,0urtz9wwflkj,Reita,6,v7atfa,97,50173,2,0,0,100,True,5
260302.895978422,26,0urtz9wwflkj,Reita,6,5emq03,55,12266,2,0,0,100,True,4
260302.903674483,26,0urtz9wwflkj,Reita,6,v7atfa,18,59230,1,0,0,612,True,3
260302.911347321,26,0urtz9wwflkj,Reita,6,xnj60j,39,64840,1,0,0,612,True,2
260302.918915449,26,0urtz9wwflkj,Reita,6,xnj60j,21,7684,1,0,0,612,True,1
260302.931066979,26,0urtz9wwflkj,Reita,6,xnj60j,93,12231,1,0,0,612,True,0
260309.777575036,26,0urtz9wwflkj,Reita,7,v7atfa,58,20674,2,0,0,100,True,10
260309.785348815,26,0urtz9wwflkj,Reita,7,5emq03,0,53982,2,0,0,100,True,9
260309.792774657,26,0urtz9wwflkj,Reita,7,xnj60j,88,29381,2,0,0,100,True,8
260309.800272093,26,0urtz9wwflkj,Reita,7,5emq03,67,54170,2,0,0,100,True,7
260309.807606787,26,0urtz9wwflkj,Reita,7,v7atfa,18,51391,2,0,0,100,True,6
260309.815140815,26,0urtz9wwflkj,Reita,7,47q8d3,70,12900,1,0,612,0,True,5
260309.822587059,26,0urtz9wwflkj,Reita,7,47q8d3,70,12900,2,100,0,0,True,5
260309.830069869,26,0urtz9wwflkj,Reita,7,47q8d3,76,55212,1,0,612,0,True,4
260309.837720501,26,0urtz9wwflkj,Reita,7,47q8d3,76,55212,2,100,0,0,True,4
260309.845165841,26,0urtz9wwflkj,Reita,7,47q8d3,23,55424,1,0,612,0,True,3
260309.852749262,26,0urtz9wwflkj,Reita,7,47q8d3,23,55424,2,100,0,0,True,3
260309.860228278,26,0urtz9wwflkj,Reita,7,xnj60j,14,7122,1,0,0,612,True,2
260309.867599887,26,0urtz9wwflkj,Reita,7,47q8d3,37,41744,1,0,612,0,True,1
260309.875054765,26,0urtz9wwflkj,Reita,7,47q8d3,37,41744,2,100,0,0,True,1
260309.882678398,26,0urtz9wwflkj,Reita,7,xnj60j,74,47259,1,0,0,612,True,0
260314.669547555,26,0urtz9wwflkj,Reita,7,xnj60j,75,32605,2,0,0,100,True,13
260314.67696427,26,0urtz9wwflkj,Reita,7,v7atfa,71,45337,2,0,0,100,True,12
260314.684389532,26,0urtz9wwflkj,Reita,7,v7atfa,49,54438,2,0,0,100,True,11
260314.691836854,26,0urtz9wwflkj,Reita,7,v7atfa,55,22784,2,0,0,100,True,10
260314.699143945,26,0urtz9wwflkj,Reita,7,v7atfa,85,52767,2,0,0,100,True,9
260314.706822897,26,0urtz9wwflkj,Reita,7,5emq03,39,31518,2,0,0,100,True,8
260314.714170853,26,0urtz9wwflkj,Reita,7,5emq03,94,599,2,0,0,100,True,7
260314.722205533,26,0urtz9wwflkj,Reita,7,v7atfa,37,54026,2,0,0,100,True,6
260314.729659132,26,0urtz9wwflkj,Reita,7,v7atfa,24,42653,2,0,0,100,True,5
260314.736997054,26,0urtz9wwflkj,Reita,7,5emq03,61,45182,2,0,0,100,True,4
260314.744384468,26,0urtz9wwflkj,Reita,7,5emq03,58,45140,1,0,0,612,True,3
260314.751854765,26,0urtz9wwflkj,Reita,7,xnj60j,99,37192,1,0,0,612,True,2
260314.759387513,26,0urtz9wwflkj,Reita,7,xnj60j,97,7076,1,0,0,612,True,1
260314.767198439,26,0urtz9wwflkj,Reita,7,xnj60j,48,3510,1,0,0,612,True,0
260327.659848963,26,0urtz9wwflkj,Reita,9,xnj60j,62,46746,2,0,0,100,True,12
260327.667920832,26,0urtz9wwflkj,Reita,9,xnj60j,65,53737,2,0,0,100,True,11
260327.676087073,26,0urtz9wwflkj,Reita,9,xnj60j,70,30158,2,0,0,100,True,10
260327.68418083,26,0urtz9wwflkj,Reita,9,v7atfa,94,50730,2,0,0,100,True,9
260327.691935874,26,0urtz9wwflkj,Reita,9,v7atfa,97,22815,2,0,0,100,True,8
260327.69953534,26,0urtz9wwflkj,Reita,9,5emq03,44,17768,2,0,0,100,True,7
260327.70703188,26,0urtz9wwflkj,Reita,9,v7atfa,21,45274,2,0,0,100,True,6
