t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.454612766,26,36toqwxbdrzr,Daisy,1,cdy34g,27,34539,1,0,0,612,True,3
260224.461805611,26,36toqwxbdrzr,Daisy,1,cdy34g,46,39514,1,0,0,612,True,2
260224.469289201,26,36toqwxbdrzr,Daisy,1,cdy34g,18,60690,1,0,0,612,True,1
260224.478381823,26,36toqwxbdrzr,Daisy,1,cdy34g,31,54663,1,0,0,612,True,0
260227.082131469,26,36toqwxbdrzr,Daisy,2,cdy34g,90,12749,1,0,0,612,True,0
260229.559943154,26,36toqwxbdrzr,Daisy,2,cdy34g,43,60504,1,0,0,612,True,6
260229.566979333,26,36toqwxbdrzr,Daisy,2,cdy34g,97,32084,1,0,0,612,True,5
260229.573890707,26,36toqwxbdrzr,Daisy,2,cdy34g,45,16431,1,0,0,612,True,4
260229.582852333,26,36toqwxbdrzr,Daisy,2,cdy34g,64,26356,1,0,0,612,True,3
260229.590256152,26,36toqwxbdrzr,Daisy,2,cdy34g,57,43142,1,0,0,612,True,2
260229.600160648,26,36toqwxbdrzr,Daisy,2,cdy34g,32,50177,1,0,0,612,True,1
260229.60967253,26,36toqwxbdrzr,Daisy,2,cdy34g,82,3506,1,0,0,612,True,0
260232.128557255,26,36toqwxbdrzr,Daisy,2,cdy34g,17,22560,1,0,0,612,True,0
260234.861486164,26,36toqwxbdrzr,Daisy,2,cdy34g,85,37402,1,0,0,612,True,0
260244.89108324,26,36toqwxbdrzr,Daisy,3,cdy34g,22,5918,1,0,0,612,True,2
260244.898903683,26,36toqwxbdrzr,Daisy,3,cdy34g,70,24852,1,0,0,612,True,1
260244.906192745,26,36toqwxbdrzr,Daisy,3,cdy34g,91,10917,1,0,0,612,True,0
260249.672160108,26,36toqwxbdrzr,Daisy,3,cdy34g,1,62394,1,0,0,612,True,2
260249.679444329,26,36toqwxbdrzr,Daisy,3,cdy34g,58,63623,1,0,0,612,True,1
260249.6874657,26,36toqwxbdrzr,Daisy,3,cdy34g,87,33816,1,0,0,612,True,0
260256.073958728,26,36toqwxbdrzr,Daisy,4,cdy34g,12,63000,1,0,0,612,True,1
260256.081592099,26,36toqwxbdrzr,Daisy,4,cdy34g,36,24964,1,0,0,612,True,0
260264.561782582,26,36toqwxbdrzr,Daisy,4,cdy34g,61,59704,2,0,0,100,True,4
260264.56932305,26,36toqwxbdrzr,Daisy,4,cdy34g,31,54663,2,0,0,100,True,3
260264.587863936,26,36toqwxbdrzr,Daisy,4,cdy34g,72,23891,2,0,0,100,True,2
260264.604610358,26,36toqwxbdrzr,Daisy,4,cdy34g,67,10206,2,0,0,100,True,1
260264.617640586,26,36toqwxbdrzr,Daisy,4,cdy34g,25,49074,1,0,0,612,True,0
260291.569207686,26,36toqwxbdrzr,Daisy,6,cdy34g,60,39487,1,0,0,612,True,0
260303.202200115,26,36toqwxbdrzr,Daisy,6,cdy34g,50,21635,2,0,0,100,True,0
260309.943000024,26,36toqwxbdrzr,Daisy,7,cdy34g,91,10917,2,0,0,100,True,2
260309.952639595,26,36toqwxbdrzr,Daisy,7,cdy34g,20,27925,2,0,0,100,True,1
260309.96343637,26,36toqwxbdrzr,Daisy,7,cdy34g,3,24721,2,0,0,100,True,0
260314.883864765,26,36toqwxbdrzr,Daisy,7,cdy34g,93,36732,2,0,0,100,True,7
260314.891211466,26,36toqwxbdrzr,Daisy,7,cdy34g,58,63623,2,0,0,100,True,6
260314.898729201,26,36toqwxbdrzr,Daisy,7,cdy34g,37,36919,2,0,0,100,True,5
260314.906062718,26,36toqwxbdrzr,Daisy,7,cdy34g,96,28258,2,0,0,100,True,4
260314.913556679,26,36toqwxbdrzr,Daisy,7,cdy34g,54,18411,2,0,0,100,True,3
260314.920781816,26,36toqwxbdrzr,Daisy,7,cdy34g,95,19294,2,0,0,100,True,2
260314.928145142,26,36toqwxbdrzr,Daisy,7,cdy34g,16,38049,2,0,0,100,True,1
260314.935346718,26,36toqwxbdrzr,Daisy,7,cdy34g,6,22791,2,0,0,100,True,0
