t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260252.429129336,26,7nak4wqzf8fj,Julianna,3,1zqdk8,21,22063,1,0,0,612,True,3
260252.435916716,26,7nak4wqzf8fj,Julianna,3,1zqdk8,81,52209,1,0,0,612,True,2
260252.443671106,26,7nak4wqzf8fj,Julianna,3,1zqdk8,12,2418,1,0,0,612,True,1
260252.451638543,26,7nak4wqzf8fj,Julianna,3,1zqdk8,0,22601,1,0,0,612,True,0
260268.621986331,26,7nak4wqzf8fj,Julianna,4,1zqdk8,88,26392,2,0,0,100,True,2
260268.629865633,26,7nak4wqzf8fj,Julianna,4,1zqdk8,79,32885,2,0,0,100,True,1
260268.64033648,26,7nak4wqzf8fj,Julianna,4,1zqdk8,37,28134,2,0,0,100,True,0
260278.70161072,26,7nak4wqzf8fj,Julianna,5,1zqdk8,7,31570,1,0,0,612,True,7
260278.71019238,26,7nak4wqzf8fj,Julianna,5,1zqdk8,90,42998,1,0,0,612,True,6
260278.718252456,26,7nak4wqzf8fj,Julianna,5,1zqdk8,92,7270,1,0,0,612,True,5
260278.726456048,26,7nak4wqzf8fj,Julianna,5,1zqdk8,48,40181,1,0,0,612,True,4
260278.735461027,26,7nak4wqzf8fj,Julianna,5,1zqdk8,53,21512,1,0,0,612,True,3
260278.744048793,26,7nak4wqzf8fj,Julianna,5,1zqdk8,44,6114,1,0,0,612,True,2
260278.752392084,26,7nak4wqzf8fj,Julianna,5,1zqdk8,87,48580,1,0,0,612,True,1
260278.761345374,26,7nak4wqzf8fj,Julianna,5,1zqdk8,88,51239,1,0,0,612,True,0
260296.189011814,26,7nak4wqzf8fj,Julianna,6,1zqdk8,42,52414,2,0,0,100,True,2
260296.196745475,26,7nak4wqzf8fj,Julianna,6,1zqdk8,35,61587,1,0,0,612,True,1
260296.204461323,26,7nak4wqzf8fj,Julianna,6,1zqdk8,33,40593,1,0,0,612,True,0
260301.024795521,26,7nak4wqzf8fj,Julianna,6,1zqdk8,84,52798,2,0,0,100,True,0
260316.92131141,26,7nak4wqzf8fj,Julianna,8,1zqdk8,45,49956,2,0,0,100,True,2
260316.930517207,26,7nak4wqzf8fj,Julianna,8,1zqdk8,23,31467,2,0,0,100,True,1
260316.938264753,26,7nak4wqzf8fj,Julianna,8,1zqdk8,94,24702,2,0,0,100,True,0
260326.08149204,26,7nak4wqzf8fj,Julianna,8,1zqdk8,23,22107,1,0,0,612,True,0
260339.399945336,26,7nak4wqzf8fj,Julianna,10,1zqdk8,10,57228,2,0,0,100,True,3
260339.407259416,26,7nak4wqzf8fj,Julianna,10,1zqdk8,92,3709,2,0,0,100,True,2
260339.415877292,26,7nak4wqzf8fj,Julianna,10,1zqdk8,41,56373,2,0,0,100,True,1
260339.423830499,26,7nak4wqzf8fj,Julianna,10,1zqdk8,86,62300,2,0,0,100,True,0
260346.875526959,26,7nak4wqzf8fj,Julianna,10,1zqdk8,72,44830,2,0,0,100,True,2
260346.882726179,26,7nak4wqzf8fj,Julianna,10,1zqdk8,64,42288,1,0,0,612,True,1
260346.88974866,26,7nak4wqzf8fj,Julianna,10,1zqdk8,62,55918,1,0,0,612,True,0
260349.273641283,26,7nak4wqzf8fj,Julianna,10,1zqdk8,28,23842,2,0,0,100,True,3
260349.281267028,26,7nak4wqzf8fj,Julianna,10,1zqdk8,75,20492,2,0,0,100,True,2
260349.288861866,26,7nak4wqzf8fj,Julianna,10,1zqdk8,59,12180,1,0,0,612,True,1
260349.29648442,26,7nak4wqzf8fj,Julianna,10,1zqdk8,55,28381,1,0,0,612,True,0
260393.358397382,26,7nak4wqzf8fj,Julianna,15,1zqdk8,82,7546,2,0,0,100,True,1
260393.365543532,26,7nak4wqzf8fj,Julianna,15,1zqdk8,47,64207,2,0,0,100,True,0
260408.267471625,26,7nak4wqzf8fj,Julianna,16,1zqdk8,61,59752,2,0,0,100,True,0
260409.597988115,26,7nak4wqzf8fj,Julianna,16,1zqdk8,53,48970,1,0,0,612,True,0
260411.52272521,26,7nak4wqzf8fj,Julianna,16,1zqdk8,62,41339,1,0,0,612,True,0
260413.935343857,26,7nak4wqzf8fj,Julianna,16,1zqdk8,11,7053,1,0,0,612,True,0
260415.813105027,26,7nak4wqzf8fj,Julianna,16,1zqdk8,20,61575,2,0,0,100,True,4
260415.82103566,26,7nak4wqzf8fj,Julianna,16,1zqdk8,53,64973,2,0,0,100,True,3
260415.828441106,26,7nak4wqzf8fj,Julianna,16,1zqdk8,90,59488,2,0,0,100,True,2
260415.835679769,26,7nak4wqzf8fj,Julianna,16,1zqdk8,72,43684,2,0,0,100,True,1
260415.843010818,26,7nak4wqzf8fj,Julianna,16,1zqdk8,14,3657,2,0,0,100,True,0
260478.215944221,26,7nak4wqzf8fj,Julianna,22,1zqdk8,53,48542,1,0,0,612,True,2
260478.223871327,26,7nak4wqzf8fj,Julianna,22,1zqdk8,64,49310,1,0,0,612,True,1
260478.231766205,26,7nak4wqzf8fj,Julianna,22,1zqdk8,11,64063,1,0,0,612,True,0
260478.719311776,26,7nak4wqzf8fj,Julianna,22,1zqdk8,64,65264,2,0,0,100,True,0
