t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.266606718,26,8fj605w13als,Sandie,1,5emq03,83,42763,1,0,0,612,True,2
260224.273196177,26,8fj605w13als,Sandie,1,5emq03,75,50050,1,0,0,612,True,1
260224.280803715,26,8fj605w13als,Sandie,1,5emq03,60,906,1,0,0,612,True,0
260226.946906781,26,8fj605w13als,Sandie,2,5emq03,81,59490,1,0,0,612,True,2
260226.953792934,26,8fj605w13als,Sandie,2,5emq03,32,42374,1,0,0,612,True,1
260226.962296518,26,8fj605w13als,Sandie,2,5emq03,0,53982,1,0,0,612,True,0
260229.325284628,26,8fj605w13als,Sandie,2,5emq03,84,53604,1,0,0,612,True,5
260229.333762318,26,8fj605w13als,Sandie,2,5emq03,20,1654,1,0,0,612,True,4
260229.340833885,26,8fj605w13als,Sandie,2,5emq03,40,10542,1,0,0,612,True,3
260229.348614576,26,8fj605w13als,Sandie,2,5emq03,38,21063,1,0,0,612,True,2
260229.356398415,26,8fj605w13als,Sandie,2,5emq03,4,30656,1,0,0,612,True,1
260229.364034705,26,8fj605w13als,Sandie,2,5emq03,28,15666,1,0,0,612,True,0
260231.930225151,26,8fj605w13als,Sandie,2,5emq03,9,18868,1,0,0,612,True,6
260231.937374689,26,8fj605w13als,Sandie,2,5emq03,3,38744,1,0,0,612,True,5
260231.944715904,26,8fj605w13als,Sandie,2,v0slso,53,50502,1,0,0,612,True,4
260231.951924144,26,8fj605w13als,Sandie,2,v0slso,32,7459,1,0,0,612,True,3
260231.959261045,26,8fj605w13als,Sandie,2,5emq03,5,59642,1,0,0,612,True,2
260231.966562182,26,8fj605w13als,Sandie,2,5emq03,78,43786,1,0,0,612,True,1
260231.973845485,26,8fj605w13als,Sandie,2,5emq03,39,31518,1,0,0,612,True,0
260234.71282736,26,8fj605w13als,Sandie,2,5emq03,61,45182,1,0,0,612,True,4
260234.720471685,26,8fj605w13als,Sandie,2,v0slso,97,52337,1,0,0,612,True,3
260234.728384882,26,8fj605w13als,Sandie,2,v0slso,27,2906,1,0,0,612,True,2
260234.735603933,26,8fj605w13als,Sandie,2,v0slso,11,11457,1,0,0,612,True,1
260234.743223409,26,8fj605w13als,Sandie,2,v0slso,5,27289,1,0,0,612,True,0
260237.550228371,26,8fj605w13als,Sandie,3,v0slso,46,46285,1,0,0,612,True,9
260237.557672626,26,8fj605w13als,Sandie,3,v0slso,96,51029,1,0,0,612,True,8
260237.565271474,26,8fj605w13als,Sandie,3,v0slso,73,49938,1,0,0,612,True,7
260237.572867585,26,8fj605w13als,Sandie,3,5emq03,94,599,1,0,0,612,True,6
260237.58135752,26,8fj605w13als,Sandie,3,5emq03,21,17002,1,0,0,612,True,5
260237.589024198,26,8fj605w13als,Sandie,3,v0slso,74,4871,1,0,0,612,True,4
260237.596612883,26,8fj605w13als,Sandie,3,v0slso,15,18836,1,0,0,612,True,3
260237.604265633,26,8fj605w13als,Sandie,3,v0slso,42,47961,1,0,0,612,True,2
260237.61957348,26,8fj605w13als,Sandie,3,v0slso,22,46127,1,0,0,612,True,1
260237.627726789,26,8fj605w13als,Sandie,3,5emq03,12,50335,1,0,0,612,True,0
260241.236324779,26,8fj605w13als,Sandie,3,5emq03,46,47944,1,0,0,612,True,0
260244.663342953,26,8fj605w13als,Sandie,3,5emq03,91,29346,1,0,0,612,True,5
260244.671057909,26,8fj605w13als,Sandie,3,5emq03,89,5180,1,0,0,612,True,4
260244.679870031,26,8fj605w13als,Sandie,3,5emq03,44,28449,1,0,0,612,True,3
260244.687522388,26,8fj605w13als,Sandie,3,0f12v5,3,43759,1,0,612,0,True,2
260244.696398237,26,8fj605w13als,Sandie,3,0f12v5,3,43759,2,100,0,0,True,2
260244.704523531,26,8fj605w13als,Sandie,3,0f12v5,26,13921,1,0,612,0,True,1
260244.711997071,26,8fj605w13als,Sandie,3,0f12v5,26,13921,2,100,0,0,True,1
260244.719329988,26,8fj605w13als,Sandie,3,0f12v5,69,40188,1,0,612,0,True,0
260244.726553353,26,8fj605w13als,Sandie,3,0f12v5,69,40188,2,100,0,0,True,0
260248.82117928,26,8fj605w13als,Sandie,4,5emq03,26,50562,1,0,0,612,True,8
260248.832047771,26,8fj605w13als,Sandie,4,5emq03,72,42590,1,0,0,612,True,7
260248.843452273,26,8fj605w13als,Sandie,4,5emq03,48,63246,1,0,0,612,True,6
260248.851997587,26,8fj605w13als,Sandie,4,v0slso,83,7906,1,0,0,612,True,5
260248.862440307,26,8fj605w13als,Sandie,4,5emq03,38,63562,1,0,0,612,True,4
260248.872426929,26,8fj605w13als,Sandie,4,0f12v5,90,26412,1,0,612,0,True,3
260248.88362509,26,8fj605w13als,Sandie,4,0f12v5,90,26412,2,100,0,0,True,3
260248.894067957,26,8fj605w13als,Sandie,4,0f12v5,92,43091,1,0,612,0,True,2
260248.903253019,26,8fj605w13als,Sandie,4,0f12v5,92,43091,2,100,0,0,True,2
260248.920861115,26,8fj605w13als,Sandie,4,0f12v5,16,37621,1,0,612,0,True,1
260248.931474076,26,8fj605w13als,Sandie,4,0f12v5,16,37621,2,100,0,0,True,1
