t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260216.687711241,26,8uwwnbz8m2ep,Karlene,1,v0slso,32,7459,1,0,0,612,True,0
260217.882900592,26,8uwwnbz8m2ep,Karlene,1,v0slso,79,1915,1,0,0,612,True,0
260220.107633894,26,8uwwnbz8m2ep,Karlene,1,v0slso,38,9255,1,0,0,612,True,2
260220.115120832,26,8uwwnbz8m2ep,Karlene,1,v0slso,46,46285,1,0,0,612,True,1
260220.122341616,26,8uwwnbz8m2ep,Karlene,1,v0slso,96,51029,1,0,0,612,True,0
260224.385241622,26,8uwwnbz8m2ep,Karlene,1,alnucy,29,7330,1,0,0,612,True,4
260224.392783236,26,8uwwnbz8m2ep,Karlene,1,alnucy,81,41397,1,0,0,612,True,3
260224.400018917,26,8uwwnbz8m2ep,Karlene,1,alnucy,5,56527,1,0,0,612,True,2
260224.407225945,26,8uwwnbz8m2ep,Karlene,1,v0slso,79,1915,1,0,0,612,True,1
260224.414734358,26,8uwwnbz8m2ep,Karlene,1,v0slso,44,31026,1,0,0,612,True,0
260226.999173203,26,8uwwnbz8m2ep,Karlene,2,v0slso,97,52337,1,0,0,612,True,6
260227.006454192,26,8uwwnbz8m2ep,Karlene,2,v0slso,27,2906,1,0,0,612,True,5
260227.016318009,26,8uwwnbz8m2ep,Karlene,2,alnucy,79,54695,1,0,0,612,True,4
260227.023747863,26,8uwwnbz8m2ep,Karlene,2,alnucy,63,33438,1,0,0,612,True,3
260227.032428232,26,8uwwnbz8m2ep,Karlene,2,alnucy,85,56745,1,0,0,612,True,2
260227.039802135,26,8uwwnbz8m2ep,Karlene,2,alnucy,39,15028,1,0,0,612,True,1
260227.057125889,26,8uwwnbz8m2ep,Karlene,2,v0slso,7,21483,1,0,0,612,True,0
260229.437871,26,8uwwnbz8m2ep,Karlene,2,v0slso,74,4871,1,0,0,612,True,9
260229.450624986,26,8uwwnbz8m2ep,Karlene,2,v0slso,15,18836,1,0,0,612,True,8
260229.464887659,26,8uwwnbz8m2ep,Karlene,2,alnucy,36,55094,1,0,0,612,True,7
260229.47210904,26,8uwwnbz8m2ep,Karlene,2,alnucy,78,35776,1,0,0,612,True,6
260229.494667293,26,8uwwnbz8m2ep,Karlene,2,alnucy,98,6550,1,0,0,612,True,5
260229.509321987,26,8uwwnbz8m2ep,Karlene,2,alnucy,49,52877,1,0,0,612,True,4
260229.517636868,26,8uwwnbz8m2ep,Karlene,2,v0slso,33,51302,1,0,0,612,True,3
260229.529763211,26,8uwwnbz8m2ep,Karlene,2,alnucy,30,1141,1,0,0,612,True,2
260229.535339077,26,8uwwnbz8m2ep,Karlene,2,alnucy,94,57278,1,0,0,612,True,1
260229.54361879,26,8uwwnbz8m2ep,Karlene,2,v0slso,42,47961,1,0,0,612,True,0
260232.041266305,26,8uwwnbz8m2ep,Karlene,2,alnucy,8,42557,1,0,0,612,True,7
260232.048573885,26,8uwwnbz8m2ep,Karlene,2,alnucy,72,53193,1,0,0,612,True,6
260232.055814526,26,8uwwnbz8m2ep,Karlene,2,alnucy,32,25245,1,0,0,612,True,5
260232.063110738,26,8uwwnbz8m2ep,Karlene,2,alnucy,57,32863,1,0,0,612,True,4
