t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260217.797724031,26,9onlp7k60gww,Otha,1,alnucy,14,48500,1,0,0,612,True,1
260217.804263141,26,9onlp7k60gww,Otha,1,alnucy,20,49425,1,0,0,612,True,0
260219.903032474,26,9onlp7k60gww,Otha,1,alnucy,35,32158,1,0,0,612,True,0
260224.01714215,26,9onlp7k60gww,Otha,1,0f12v5,70,27972,1,0,0,612,True,7
260224.024905878,26,9onlp7k60gww,Otha,1,cdy34g,88,57493,1,0,0,612,True,6
260224.032754204,26,9onlp7k60gww,Otha,1,0f12v5,81,3708,1,0,0,612,True,5
260224.040776233,26,9onlp7k60gww,Otha,1,cdy34g,66,2007,1,0,0,612,True,4
260224.048802963,26,9onlp7k60gww,Otha,1,0f12v5,40,50125,1,0,0,612,True,3
260224.056531239,26,9onlp7k60gww,Otha,1,0f12v5,88,6617,1,0,0,612,True,2
260224.064233143,26,9onlp7k60gww,Otha,1,alnucy,65,41821,1,0,0,612,True,1
260224.071940185,26,9onlp7k60gww,Otha,1,alnucy,80,45154,1,0,0,612,True,0
260226.800548749,26,9onlp7k60gww,Otha,2,0f12v5,57,33416,1,0,0,612,True,8
260226.808890518,26,9onlp7k60gww,Otha,2,0f12v5,19,60557,1,0,0,612,True,7
260226.816387437,26,9onlp7k60gww,Otha,2,0f12v5,69,40188,1,0,0,612,True,6
260226.826154508,26,9onlp7k60gww,Otha,2,0f12v5,3,43759,1,0,0,612,True,5
260226.833614442,26,9onlp7k60gww,Otha,2,cdy34g,73,54093,1,0,0,612,True,4
260226.84199856,26,9onlp7k60gww,Otha,2,0f12v5,26,13921,1,0,0,612,True,3
260226.861238062,26,9onlp7k60gww,Otha,2,cdy34g,7,11572,1,0,0,612,True,2
260226.870435372,26,9onlp7k60gww,Otha,2,alnucy,15,26994,1,0,0,612,True,1
260226.87906067,26,9onlp7k60gww,Otha,2,alnucy,13,53530,1,0,0,612,True,0
260229.072783031,26,9onlp7k60gww,Otha,2,alnucy,44,29413,1,0,0,612,True,16
260229.080751576,26,9onlp7k60gww,Otha,2,0f12v5,89,10319,1,0,0,612,True,15
260229.087302369,26,9onlp7k60gww,Otha,2,cdy34g,14,2208,1,0,0,612,True,14
260229.09524251,26,9onlp7k60gww,Otha,2,0f12v5,97,44865,1,0,0,612,True,13
260229.101878106,26,9onlp7k60gww,Otha,2,cdy34g,78,43085,1,0,0,612,True,12
260229.109822307,26,9onlp7k60gww,Otha,2,0f12v5,61,64645,1,0,0,612,True,11
260229.116583432,26,9onlp7k60gww,Otha,2,0f12v5,29,2801,1,0,0,612,True,10
260229.123257305,26,9onlp7k60gww,Otha,2,alnucy,64,17685,1,0,0,612,True,9
260229.131349203,26,9onlp7k60gww,Otha,2,alnucy,88,62387,1,0,0,612,True,8
260229.138139751,26,9onlp7k60gww,Otha,2,0f12v5,12,6208,1,0,0,612,True,7
260229.146275716,26,9onlp7k60gww,Otha,2,0f12v5,0,39212,1,0,0,612,True,6
260229.152949924,26,9onlp7k60gww,Otha,2,0f12v5,54,18209,1,0,0,612,True,5
260229.160767483,26,9onlp7k60gww,Otha,2,cdy34g,19,14291,1,0,0,612,True,4
260229.167439833,26,9onlp7k60gww,Otha,2,cdy34g,68,32991,1,0,0,612,True,3
260229.175414337,26,9onlp7k60gww,Otha,2,cdy34g,94,45099,1,0,0,612,True,2
260229.182238184,26,9onlp7k60gww,Otha,2,alnucy,26,20164,1,0,0,612,True,1
260229.18903679,26,9onlp7k60gww,Otha,2,alnucy,55,31321,1,0,0,612,True,0
260231.636341534,26,9onlp7k60gww,Otha,2,alnucy,19,20802,1,0,0,612,True,8
260231.643809469,26,9onlp7k60gww,Otha,2,0f12v5,65,17140,1,0,0,612,True,7
260231.651187821,26,9onlp7k60gww,Otha,2,cdy34g,20,27925,1,0,0,612,True,6
260231.658598509,26,9onlp7k60gww,Otha,2,alnucy,99,48085,1,0,0,612,True,5
260231.665914767,26,9onlp7k60gww,Otha,2,alnucy,47,65419,1,0,0,612,True,4
260231.673103743,26,9onlp7k60gww,Otha,2,0f12v5,68,6161,1,0,0,612,True,3
260231.68032199,26,9onlp7k60gww,Otha,2,0f12v5,82,5364,1,0,0,612,True,2
260231.687541431,26,9onlp7k60gww,Otha,2,0f12v5,42,62083,1,0,0,612,True,1
260231.694900004,26,9onlp7k60gww,Otha,2,0f12v5,23,28039,1,0,0,612,True,0
260234.542864579,26,9onlp7k60gww,Otha,2,cdy34g,99,7790,1,0,0,612,True,6
260234.550416842,26,9onlp7k60gww,Otha,2,cdy34g,33,30945,1,0,0,612,True,5
260234.558108857,26,9onlp7k60gww,Otha,2,cdy34g,47,10723,1,0,0,612,True,4
260234.565664671,26,9onlp7k60gww,Otha,2,0f12v5,55,30785,1,0,0,612,True,3
260234.573102436,26,9onlp7k60gww,Otha,2,0f12v5,47,47997,1,0,0,612,True,2
260234.581284963,26,9onlp7k60gww,Otha,2,0f12v5,37,65410,1,0,0,612,True,1
260234.592702264,26,9onlp7k60gww,Otha,2,alnucy,41,31539,1,0,0,612,True,0
260237.333529938,26,9onlp7k60gww,Otha,3,alnucy,39,31207,1,0,0,612,True,4
260237.341063997,26,9onlp7k60gww,Otha,3,0f12v5,4,49721,1,0,0,612,True,3
260237.348787088,26,9onlp7k60gww,Otha,3,0f12v5,60,43641,1,0,0,612,True,2
260237.356338809,26,9onlp7k60gww,Otha,3,0f12v5,31,21134,1,0,0,612,True,1
260237.365951211,26,9onlp7k60gww,Otha,3,0f12v5,39,10913,1,0,0,612,True,0
260240.985832705,26,9onlp7k60gww,Otha,3,alnucy,85,18089,1,0,0,612,True,2
260240.993255844,26,9onlp7k60gww,Otha,3,0f12v5,35,44010,1,0,0,612,True,1
260241.000655352,26,9onlp7k60gww,Otha,3,0f12v5,5,5673,1,0,0,612,True,0
260244.477936181,26,9onlp7k60gww,Otha,3,0f12v5,91,45710,1,0,0,612,True,5
260244.485882397,26,9onlp7k60gww,Otha,3,0f12v5,90,52832,1,0,0,612,True,4
260244.49350114,26,9onlp7k60gww,Otha,3,0f12v5,89,29502,1,0,0,612,True,3
260244.501148819,26,9onlp7k60gww,Otha,3,cdy34g,3,24721,1,0,0,612,True,2
260244.508850265,26,9onlp7k60gww,Otha,3,0f12v5,43,10568,1,0,0,612,True,1
260244.518092613,26,9onlp7k60gww,Otha,3,alnucy,79,4926,1,0,0,612,True,0
260261.678963435,26,9onlp7k60gww,Otha,5,cdy34g,74,23897,1,0,0,612,True,11
260261.686654323,26,9onlp7k60gww,Otha,5,cdy34g,53,6581,1,0,0,612,True,10
260261.698725673,26,9onlp7k60gww,Otha,5,0f12v5,39,4433,1,0,0,612,True,9
260261.705939985,26,9onlp7k60gww,Otha,5,0f12v5,88,64772,1,0,0,612,True,8
260261.715280212,26,9onlp7k60gww,Otha,5,alnucy,28,9183,1,0,0,612,True,7
260261.72611192,26,9onlp7k60gww,Otha,5,alnucy,76,11623,1,0,0,612,True,6
260261.735039067,26,9onlp7k60gww,Otha,5,alnucy,75,51449,1,0,0,612,True,5
260261.744324541,26,9onlp7k60gww,Otha,5,cdy34g,59,19273,1,0,0,612,True,4
260261.751878868,26,9onlp7k60gww,Otha,5,cdy34g,24,64365,1,0,0,612,True,3
260261.763860346,26,9onlp7k60gww,Otha,5,alnucy,73,21824,1,0,0,612,True,2
260261.771895405,26,9onlp7k60gww,Otha,5,alnucy,72,38602,1,0,0,612,True,1
260261.786126011,26,9onlp7k60gww,Otha,5,cdy34g,77,37451,1,0,0,612,True,0
260280.593272597,26,9onlp7k60gww,Otha,6,0f12v5,44,7826,2,0,0,100,True,9
260280.601773954,26,9onlp7k60gww,Otha,6,0f12v5,26,13921,2,0,0,100,True,8
260280.611546025,26,9onlp7k60gww,Otha,6,cdy34g,90,12749,2,0,0,100,True,7
260280.620609508,26,9onlp7k60gww,Otha,6,0f12v5,34,21510,1,0,0,612,True,6
260280.62999834,26,9onlp7k60gww,Otha,6,0f12v5,71,47945,1,0,0,612,True,5
260280.643958878,26,9onlp7k60gww,Otha,6,0f12v5,70,60181,1,0,0,612,True,4
260280.653890994,26,9onlp7k60gww,Otha,6,cdy34g,48,13331,1,0,0,612,True,3
260280.665103574,26,9onlp7k60gww,Otha,6,cdy34g,56,33615,1,0,0,612,True,2
260280.673513023,26,9onlp7k60gww,Otha,6,cdy34g,75,27106,1,0,0,612,True,1
260280.683209007,26,9onlp7k60gww,Otha,6,cdy34g,8,16417,1,0,0,612,True,0
260287.73411232,26,9onlp7k60gww,Otha,6,alnucy,75,55334,2,0,0,100,True,17
260287.74989431,26,9onlp7k60gww,Otha,6,cdy34g,82,3506,2,0,0,100,True,16
260287.772281699,26,9onlp7k60gww,Otha,6,cdy34g,71,24906,2,0,0,100,True,15
260287.780937915,26,9onlp7k60gww,Otha,6,cdy34g,57,43142,2,0,0,100,True,14
260287.798106674,26,9onlp7k60gww,Otha,6,0f12v5,86,3705,2,0,0,100,True,13
260287.811033621,26,9onlp7k60gww,Otha,6,0f12v5,90,26412,2,0,0,100,True,12
260287.823228786,26,9onlp7k60gww,Otha,6,0f12v5,12,6208,2,0,0,100,True,11
260287.840886168,26,9onlp7k60gww,Otha,6,cdy34g,14,2208,2,0,0,100,True,10
260287.849009149,26,9onlp7k60gww,Otha,6,alnucy,69,7558,2,0,0,100,True,9
260287.877884606,26,9onlp7k60gww,Otha,6,0f12v5,16,37621,2,0,0,100,True,8
260287.895410623,26,9onlp7k60gww,Otha,6,alnucy,29,7330,2,0,0,100,True,7
260287.906604485,26,9onlp7k60gww,Otha,6,alnucy,95,47423,2,0,0,100,True,6
260287.915014426,26,9onlp7k60gww,Otha,6,alnucy,23,45306,2,0,0,100,True,5
260287.923374232,26,9onlp7k60gww,Otha,6,0f12v5,29,47881,1,0,0,612,True,4
260287.931384252,26,9onlp7k60gww,Otha,6,0f12v5,26,35443,1,0,0,612,True,3
260287.940922034,26,9onlp7k60gww,Otha,6,cdy34g,21,24240,1,0,0,612,True,2
260287.949004299,26,9onlp7k60gww,Otha,6,cdy34g,11,11466,1,0,0,612,True,1
260287.962343643,26,9onlp7k60gww,Otha,6,0f12v5,21,132,1,0,0,612,True,0
260316.739011441,26,9onlp7k60gww,Otha,9,0f12v5,72,52124,2,0,0,100,True,7
260316.747346995,26,9onlp7k60gww,Otha,9,0f12v5,64,46694,2,0,0,100,True,6
260316.755378626,26,9onlp7k60gww,Otha,9,cdy34g,33,30945,2,0,0,100,True,5
260316.763622665,26,9onlp7k60gww,Otha,9,0f12v5,65,17140,2,0,0,100,True,4
260316.771373762,26,9onlp7k60gww,Otha,9,0f12v5,80,62623,2,0,0,100,True,3
260316.780372441,26,9onlp7k60gww,Otha,9,0f12v5,63,46948,1,0,0,612,True,2
260316.791033869,26,9onlp7k60gww,Otha,9,cdy34g,38,50720,1,0,0,612,True,1
260316.799525106,26,9onlp7k60gww,Otha,9,0f12v5,19,20764,1,0,0,612,True,0
260325.861865725,26,9onlp7k60gww,Otha,9,0f12v5,77,35840,2,0,0,100,True,6
260325.869665813,26,9onlp7k60gww,Otha,9,0f12v5,39,4433,2,0,0,100,True,5
260325.877396547,26,9onlp7k60gww,Otha,9,0f12v5,30,45580,2,0,0,100,True,4
260325.885187672,26,9onlp7k60gww,Otha,9,cdy34g,59,19273,2,0,0,100,True,3
260325.893156763,26,9onlp7k60gww,Otha,9,cdy34g,24,64365,2,0,0,100,True,2
260325.901218794,26,9onlp7k60gww,Otha,9,cdy34g,53,6581,2,0,0,100,True,1
260325.909199693,26,9onlp7k60gww,Otha,9,cdy34g,99,21628,1,0,0,612,True,0
260330.177464689,26,9onlp7k60gww,Otha,10,0f12v5,23,660,2,0,0,100,True,8
260330.185254449,26,9onlp7k60gww,Otha,10,0f12v5,70,60181,2,0,0,100,True,7
260330.193689657,26,9onlp7k60gww,Otha,10,alnucy,58,52519,2,0,0,100,True,6
260330.201436203,26,9onlp7k60gww,Otha,10,alnucy,79,54695,2,0,0,100,True,5
260330.209237193,26,9onlp7k60gww,Otha,10,alnucy,96,3951,2,0,0,100,True,4
260330.217171533,26,9onlp7k60gww,Otha,10,cdy34g,55,19925,2,0,0,100,True,3
260330.224879322,26,9onlp7k60gww,Otha,10,cdy34g,56,33615,2,0,0,100,True,2
260330.234369843,26,9onlp7k60gww,Otha,10,cdy34g,48,13331,2,0,0,100,True,1
260330.245761945,26,9onlp7k60gww,Otha,10,0f12v5,74,26128,2,0,0,100,True,0
260333.074158577,26,9onlp7k60gww,Otha,10,alnucy,55,1200,1,0,0,612,True,9
260333.081774514,26,9onlp7k60gww,Otha,10,0f12v5,11,18480,1,0,0,612,True,8
260333.089243133,26,9onlp7k60gww,Otha,10,cdy34g,96,19734,1,0,0,612,True,7
260333.09665214,26,9onlp7k60gww,Otha,10,cdy34g,95,9764,1,0,0,612,True,6
260333.103870462,26,9onlp7k60gww,Otha,10,alnucy,29,10986,2,0,0,100,True,5
260333.11132755,26,9onlp7k60gww,Otha,10,0f12v5,25,20353,2,0,0,100,True,4
260333.118815622,26,9onlp7k60gww,Otha,10,0f12v5,28,61110,2,0,0,100,True,3
260333.126291216,26,9onlp7k60gww,Otha,10,0f12v5,68,52966,2,0,0,100,True,2
260333.133738959,26,9onlp7k60gww,Otha,10,cdy34g,42,46252,2,0,0,100,True,1
260333.141190131,26,9onlp7k60gww,Otha,10,cdy34g,21,24240,2,0,0,100,True,0
260336.759569356,26,9onlp7k60gww,Otha,10,alnucy,84,33190,2,0,0,100,True,8
260336.767663328,26,9onlp7k60gww,Otha,10,cdy34g,29,61025,2,0,0,100,True,7
260336.775535732,26,9onlp7k60gww,Otha,10,alnucy,23,58829,2,0,0,100,True,6
260336.783339861,26,9onlp7k60gww,Otha,10,alnucy,34,55489,2,0,0,100,True,5
260336.790976721,26,9onlp7k60gww,Otha,10,alnucy,25,45306,2,0,0,100,True,4
260336.798817115,26,9onlp7k60gww,Otha,10,cdy34g,46,23513,1,0,0,612,True,3
260336.806360759,26,9onlp7k60gww,Otha,10,cdy34g,92,27280,1,0,0,612,True,2
260336.814092957,26,9onlp7k60gww,Otha,10,cdy34g,43,35246,1,0,0,612,True,1
260336.821882628,26,9onlp7k60gww,Otha,10,alnucy,71,57537,1,0,0,612,True,0
260340.516736696,26,9onlp7k60gww,Otha,11,alnucy,72,38602,2,0,0,100,True,3
260340.524329042,26,9onlp7k60gww,Otha,11,alnucy,22,53730,2,0,0,100,True,2
260340.531952482,26,9onlp7k60gww,Otha,11,alnucy,75,51449,2,0,0,100,True,1
260340.539818837,26,9onlp7k60gww,Otha,11,alnucy,57,31265,1,0,0,612,True,0
260342.821149178,26,9onlp7k60gww,Otha,11,0f12v5,71,10776,1,0,0,612,True,3
260342.828646906,26,9onlp7k60gww,Otha,11,cdy34g,41,47882,1,0,0,612,True,2
260342.835993522,26,9onlp7k60gww,Otha,11,alnucy,28,49344,1,0,0,612,True,1
260342.843524872,26,9onlp7k60gww,Otha,11,alnucy,33,27853,2,0,0,100,True,0
260346.122683076,26,9onlp7k60gww,Otha,11,alnucy,65,41821,2,0,0,100,True,4
260346.13019174,26,9onlp7k60gww,Otha,11,0f12v5,82,49204,2,0,0,100,True,3
260346.137741326,26,9onlp7k60gww,Otha,11,alnucy,21,63957,2,0,0,100,True,2
260346.145347463,26,9onlp7k60gww,Otha,11,0f12v5,51,8010,1,0,0,612,True,1
260346.152780644,26,9onlp7k60gww,Otha,11,cdy34g,62,45914,1,0,0,612,True,0
260348.456792976,26,9onlp7k60gww,Otha,11,alnucy,45,53939,1,0,0,612,True,4
260348.464533221,26,9onlp7k60gww,Otha,11,alnucy,21,7175,1,0,0,612,True,3
260348.472368693,26,9onlp7k60gww,Otha,11,0f12v5,94,15328,1,0,0,612,True,2
260348.48009138,26,9onlp7k60gww,Otha,11,0f12v5,79,63323,1,0,0,612,True,1
260348.487812391,26,9onlp7k60gww,Otha,11,cdy34g,83,12728,1,0,0,612,True,0
260361.605113266,26,9onlp7k60gww,Otha,13,alnucy,35,32158,2,0,0,100,True,11
260361.612466999,26,9onlp7k60gww,Otha,13,alnucy,42,58474,2,0,0,100,True,10
260361.61996276,26,9onlp7k60gww,Otha,13,alnucy,79,4926,2,0,0,100,True,9
260361.627518589,26,9onlp7k60gww,Otha,13,alnucy,46,55809,1,0,0,612,True,8
260361.635116883,26,9onlp7k60gww,Otha,13,alnucy,11,32907,1,0,0,612,True,7
260361.642677783,26,9onlp7k60gww,Otha,13,0f12v5,93,36027,1,0,0,612,True,6
260361.650188822,26,9onlp7k60gww,Otha,13,0f12v5,87,62808,1,0,0,612,True,5
260361.657809231,26,9onlp7k60gww,Otha,13,cdy34g,36,21581,1,0,0,612,True,4
260361.665272048,26,9onlp7k60gww,Otha,13,alnucy,56,8011,1,0,0,612,True,3
260361.672767987,26,9onlp7k60gww,Otha,13,0f12v5,48,997,1,0,0,612,True,2
260361.680225297,26,9onlp7k60gww,Otha,13,cdy34g,75,18645,1,0,0,612,True,1
260361.687582129,26,9onlp7k60gww,Otha,13,cdy34g,76,3768,1,0,0,612,True,0
260366.753234307,26,9onlp7k60gww,Otha,13,cdy34g,48,19720,2,0,0,100,True,1
260366.760971634,26,9onlp7k60gww,Otha,13,alnucy,16,35642,2,0,0,100,True,0
260368.894597432,26,9onlp7k60gww,Otha,13,alnucy,99,52364,1,0,0,612,True,8
260368.902391554,26,9onlp7k60gww,Otha,13,alnucy,15,20464,1,0,0,612,True,7
260368.910136671,26,9onlp7k60gww,Otha,13,alnucy,11,30937,1,0,0,612,True,6
260368.91792022,26,9onlp7k60gww,Otha,13,0f12v5,72,18790,2,0,0,100,True,5
260368.925900493,26,9onlp7k60gww,Otha,13,0f12v5,54,31650,2,0,0,100,True,4
260368.9337957,26,9onlp7k60gww,Otha,13,0f12v5,71,10776,2,0,0,100,True,3
260368.941688053,26,9onlp7k60gww,Otha,13,0f12v5,11,18480,2,0,0,100,True,2
260368.949451858,26,9onlp7k60gww,Otha,13,0f12v5,6,64311,2,0,0,100,True,1
260368.95726005,26,9onlp7k60gww,Otha,13,cdy34g,41,47882,2,0,0,100,True,0
260371.046370522,26,9onlp7k60gww,Otha,13,0f12v5,9,40749,2,0,0,100,True,3
260371.054265679,26,9onlp7k60gww,Otha,13,0f12v5,66,55604,2,0,0,100,True,2
260371.062062508,26,9onlp7k60gww,Otha,13,0f12v5,59,60130,2,0,0,100,True,1
260371.069993325,26,9onlp7k60gww,Otha,13,0f12v5,65,44678,2,0,0,100,True,0
260384.690979543,26,9onlp7k60gww,Otha,15,0f12v5,79,63323,2,0,0,100,True,9
260384.698894787,26,9onlp7k60gww,Otha,15,alnucy,55,1200,2,0,0,100,True,8
260384.706557007,26,9onlp7k60gww,Otha,15,0f12v5,96,33260,2,0,0,100,True,7
260384.714589649,26,9onlp7k60gww,Otha,15,0f12v5,94,15328,2,0,0,100,True,6
260384.722968159,26,9onlp7k60gww,Otha,15,cdy34g,52,54879,2,0,0,100,True,5
260384.731007748,26,9onlp7k60gww,Otha,15,alnucy,99,26404,1,0,0,612,True,4
260384.739026045,26,9onlp7k60gww,Otha,15,alnucy,15,11712,1,0,0,612,True,3
260384.746949275,26,9onlp7k60gww,Otha,15,alnucy,52,32727,1,0,0,612,True,2
260384.754938031,26,9onlp7k60gww,Otha,15,alnucy,99,15003,1,0,0,612,True,1
260384.762583552,26,9onlp7k60gww,Otha,15,alnucy,52,30263,1,0,0,612,True,0
260389.009363234,26,9onlp7k60gww,Otha,15,0f12v5,11,6478,2,0,0,100,True,2
260389.022084285,26,9onlp7k60gww,Otha,15,alnucy,15,10877,2,0,0,100,True,1
260389.030047953,26,9onlp7k60gww,Otha,15,0f12v5,32,27406,2,0,0,100,True,0
260392.31763393,26,9onlp7k60gww,Otha,15,cdy34g,75,18645,2,0,0,100,True,6
260392.325492263,26,9onlp7k60gww,Otha,15,cdy34g,76,3768,2,0,0,100,True,5
260392.334526694,26,9onlp7k60gww,Otha,15,alnucy,54,31367,2,0,0,100,True,4
260392.342560043,26,9onlp7k60gww,Otha,15,cdy34g,36,21581,2,0,0,100,True,3
260392.350186844,26,9onlp7k60gww,Otha,15,0f12v5,11,55214,1,0,0,612,True,2
260392.357906119,26,9onlp7k60gww,Otha,15,0f12v5,11,2312,1,0,0,612,True,1
260392.366919065,26,9onlp7k60gww,Otha,15,cdy34g,4,5787,1,0,0,612,True,0
260396.238640922,26,9onlp7k60gww,Otha,15,0f12v5,51,54634,2,0,0,100,True,7
260396.24683727,26,9onlp7k60gww,Otha,15,0f12v5,32,60350,2,0,0,100,True,6
260396.266627061,26,9onlp7k60gww,Otha,15,0f12v5,11,1238,1,0,0,612,True,5
260396.275249307,26,9onlp7k60gww,Otha,15,0f12v5,11,1626,1,0,0,612,True,4
260396.283141003,26,9onlp7k60gww,Otha,15,0f12v5,11,26926,1,0,0,612,True,3
260396.292123761,26,9onlp7k60gww,Otha,15,cdy34g,26,32994,1,0,0,612,True,2
260396.300688703,26,9onlp7k60gww,Otha,15,cdy34g,39,57856,1,0,0,612,True,1
260396.31181478,26,9onlp7k60gww,Otha,15,cdy34g,46,48172,1,0,0,612,True,0
260399.309056557,26,9onlp7k60gww,Otha,16,0f12v5,59,25144,2,0,0,100,True,4
260399.318232322,26,9onlp7k60gww,Otha,16,0f12v5,11,35897,1,0,0,612,True,3
260399.327106793,26,9onlp7k60gww,Otha,16,0f12v5,11,10594,1,0,0,612,True,2
260399.335388798,26,9onlp7k60gww,Otha,16,cdy34g,4,50281,1,0,0,612,True,1
260399.343748494,26,9onlp7k60gww,Otha,16,cdy34g,38,45415,1,0,0,612,True,0
260401.897336198,26,9onlp7k60gww,Otha,16,alnucy,46,33295,2,0,0,100,True,5
260401.904890884,26,9onlp7k60gww,Otha,16,alnucy,11,44307,2,0,0,100,True,4
260401.920814348,26,9onlp7k60gww,Otha,16,alnucy,66,58403,2,0,0,100,True,3
260401.929022342,26,9onlp7k60gww,Otha,16,cdy34g,4,23042,1,0,0,612,True,2
260401.940451019,26,9onlp7k60gww,Otha,16,cdy34g,46,11390,1,0,0,612,True,1
260401.948673788,26,9onlp7k60gww,Otha,16,cdy34g,38,33187,1,0,0,612,True,0
260406.673108999,26,9onlp7k60gww,Otha,16,alnucy,45,19189,2,0,0,100,True,1
260406.680994501,26,9onlp7k60gww,Otha,16,alnucy,15,48800,2,0,0,100,True,0
260408.251056568,26,9onlp7k60gww,Otha,17,alnucy,66,44312,2,0,0,100,True,1
260408.258955513,26,9onlp7k60gww,Otha,17,alnucy,56,8011,2,0,0,100,True,0
260411.486290955,26,9onlp7k60gww,Otha,17,0f12v5,9,1552,2,0,0,100,True,2
260411.50622659,26,9onlp7k60gww,Otha,17,alnucy,15,59361,2,0,0,100,True,1
260411.513910971,26,9onlp7k60gww,Otha,17,alnucy,11,11193,2,0,0,100,True,0
260413.927671041,26,9onlp7k60gww,Otha,17,alnucy,52,17865,2,0,0,100,True,0
260415.805188076,26,9onlp7k60gww,Otha,17,0f12v5,59,45796,2,0,0,100,True,0
260417.878843876,26,9onlp7k60gww,Otha,17,alnucy,11,56837,2,0,0,100,True,4
260417.887595938,26,9onlp7k60gww,Otha,17,alnucy,15,46257,2,0,0,100,True,3
260417.895982458,26,9onlp7k60gww,Otha,17,alnucy,19,12648,2,0,0,100,True,2
260417.908477626,26,9onlp7k60gww,Otha,17,alnucy,93,50334,2,0,0,100,True,1
260417.916761926,26,9onlp7k60gww,Otha,17,alnucy,99,51219,2,0,0,100,True,0
260431.767997627,26,9onlp7k60gww,Otha,19,alnucy,52,37291,2,0,0,100,True,4
260431.775701898,26,9onlp7k60gww,Otha,19,alnucy,15,41611,2,0,0,100,True,3
260431.784186988,26,9onlp7k60gww,Otha,19,alnucy,15,19114,2,0,0,100,True,2
