t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260242.58644388,26,dd4rbgyx8hyz,Beatriz,3,v0slso,53,50502,1,0,612,0,True,0
260242.593044295,26,dd4rbgyx8hyz,Beatriz,3,v0slso,53,50502,2,100,0,0,True,0
260245.613452196,26,dd4rbgyx8hyz,Beatriz,3,v0slso,97,52337,1,0,612,0,True,2
260245.622718237,26,dd4rbgyx8hyz,Beatriz,3,v0slso,97,52337,2,100,0,0,True,2
260245.630158956,26,dd4rbgyx8hyz,Beatriz,3,v0slso,27,2906,1,0,612,0,True,1
260245.638776721,26,dd4rbgyx8hyz,Beatriz,3,v0slso,27,2906,2,100,0,0,True,1
260245.646230632,26,dd4rbgyx8hyz,Beatriz,3,v0slso,58,45462,1,0,612,0,True,0
260245.65376301,26,dd4rbgyx8hyz,Beatriz,3,v0slso,58,45462,2,100,0,0,True,0
260262.053291183,26,dd4rbgyx8hyz,Beatriz,5,v0slso,46,46285,1,0,612,0,True,3
260262.064047791,26,dd4rbgyx8hyz,Beatriz,5,v0slso,46,46285,2,100,0,0,True,3
260262.072999156,26,dd4rbgyx8hyz,Beatriz,5,v0slso,96,51029,1,0,612,0,True,2
260262.082152137,26,dd4rbgyx8hyz,Beatriz,5,v0slso,96,51029,2,100,0,0,True,2
260262.092608101,26,dd4rbgyx8hyz,Beatriz,5,v0slso,62,5982,1,0,612,0,True,1
260262.100586715,26,dd4rbgyx8hyz,Beatriz,5,v0slso,62,5982,2,100,0,0,True,1
260262.111284153,26,dd4rbgyx8hyz,Beatriz,5,v0slso,49,2120,1,0,612,0,True,0
260262.119348473,26,dd4rbgyx8hyz,Beatriz,5,v0slso,49,2120,2,100,0,0,True,0
260346.536832546,26,dd4rbgyx8hyz,Beatriz,11,v0slso,26,52437,1,0,612,0,True,0
260346.544544164,26,dd4rbgyx8hyz,Beatriz,11,v0slso,26,52437,2,100,0,0,True,0
260361.756717532,26,dd4rbgyx8hyz,Beatriz,13,v0slso,94,12203,1,0,612,0,True,1
260361.768858898,26,dd4rbgyx8hyz,Beatriz,13,v0slso,94,12203,2,100,0,0,True,1
260361.776807323,26,dd4rbgyx8hyz,Beatriz,13,v0slso,31,2026,1,0,612,0,True,0
260361.785531013,26,dd4rbgyx8hyz,Beatriz,13,v0slso,31,2026,2,100,0,0,True,0
260421.491882341,26,dd4rbgyx8hyz,Beatriz,18,v0slso,24,33193,1,0,612,0,True,1
260421.499404104,26,dd4rbgyx8hyz,Beatriz,18,v0slso,24,33193,2,100,0,0,True,1
260421.507063434,26,dd4rbgyx8hyz,Beatriz,18,v0slso,85,59053,1,0,612,0,True,0
260421.514837159,26,dd4rbgyx8hyz,Beatriz,18,v0slso,85,59053,2,100,0,0,True,0
260424.2345966,26,dd4rbgyx8hyz,Beatriz,18,v0slso,64,26834,1,0,612,0,True,1
260424.242045556,26,dd4rbgyx8hyz,Beatriz,18,v0slso,64,26834,2,100,0,0,True,1
260424.249411868,26,dd4rbgyx8hyz,Beatriz,18,v0slso,70,29776,1,0,612,0,True,0
260424.257097466,26,dd4rbgyx8hyz,Beatriz,18,v0slso,70,29776,2,100,0,0,True,0
260429.88681427,26,dd4rbgyx8hyz,Beatriz,18,v0slso,63,35633,1,0,612,0,True,0
260429.904917233,26,dd4rbgyx8hyz,Beatriz,18,v0slso,63,35633,2,100,0,0,True,0
260433.138309192,26,dd4rbgyx8hyz,Beatriz,19,v0slso,81,8469,1,0,612,0,True,2
260433.155551933,26,dd4rbgyx8hyz,Beatriz,19,v0slso,81,8469,2,100,0,0,True,2
260433.166998592,26,dd4rbgyx8hyz,Beatriz,19,v0slso,98,54405,1,0,612,0,True,1
260433.177816891,26,dd4rbgyx8hyz,Beatriz,19,v0slso,98,54405,2,100,0,0,True,1
260433.205330947,26,dd4rbgyx8hyz,Beatriz,19,v0slso,77,51246,1,0,612,0,True,0
260433.225939852,26,dd4rbgyx8hyz,Beatriz,19,v0slso,77,51246,2,100,0,0,True,0
260464.694034529,26,dd4rbgyx8hyz,Beatriz,22,v0slso,14,17289,1,0,612,0,True,0
260464.702068771,26,dd4rbgyx8hyz,Beatriz,22,v0slso,14,17289,2,100,0,0,True,0
260471.761884631,26,dd4rbgyx8hyz,Beatriz,22,v0slso,56,44078,1,0,612,0,True,0
260471.769413019,26,dd4rbgyx8hyz,Beatriz,22,v0slso,56,44078,2,100,0,0,True,0
