t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260217.035863583,26,dhi8qjrpe386,Reita,1,5emq03,63,20715,1,0,0,612,True,1
260217.043324645,26,dhi8qjrpe386,Reita,1,5emq03,57,42824,1,0,0,612,True,0
260218.136019932,26,dhi8qjrpe386,Reita,1,5emq03,19,5667,1,0,0,612,True,2
260218.143846261,26,dhi8qjrpe386,Reita,1,5emq03,8,34103,1,0,0,612,True,1
260218.151354568,26,dhi8qjrpe386,Reita,1,5emq03,60,906,1,0,0,612,True,0
260219.14291024,26,dhi8qjrpe386,Reita,1,5emq03,97,41941,1,0,0,612,True,3
260219.150451588,26,dhi8qjrpe386,Reita,1,5emq03,32,42374,1,0,0,612,True,2
260219.15804686,26,dhi8qjrpe386,Reita,1,5emq03,0,53982,1,0,0,612,True,1
260219.165613137,26,dhi8qjrpe386,Reita,1,5emq03,30,1837,1,0,0,612,True,0
260220.557304175,26,dhi8qjrpe386,Reita,1,5emq03,20,1654,1,0,0,612,True,1
260220.56594982,26,dhi8qjrpe386,Reita,1,5emq03,62,38406,1,0,0,612,True,0
260221.879256297,26,dhi8qjrpe386,Reita,1,5emq03,42,35592,1,0,0,612,True,0
260222.939495915,26,dhi8qjrpe386,Reita,1,5emq03,35,37367,1,0,0,612,True,0
260225.20647013,26,dhi8qjrpe386,Reita,1,5emq03,34,49053,1,0,0,612,True,5
260225.213907969,26,dhi8qjrpe386,Reita,1,0f12v5,87,19076,1,0,0,612,True,4
260225.221823758,26,dhi8qjrpe386,Reita,1,0f12v5,50,31816,1,0,0,612,True,3
260225.229216208,26,dhi8qjrpe386,Reita,1,0f12v5,8,7671,1,0,0,612,True,2
260225.236503275,26,dhi8qjrpe386,Reita,1,5emq03,99,41223,1,0,0,612,True,1
260225.243987257,26,dhi8qjrpe386,Reita,1,5emq03,79,51937,1,0,0,612,True,0
260227.440688821,26,dhi8qjrpe386,Reita,1,0f12v5,9,64229,1,0,0,612,True,1
260227.447968673,26,dhi8qjrpe386,Reita,1,5emq03,49,28174,1,0,0,612,True,0
260230.550661327,26,dhi8qjrpe386,Reita,2,5emq03,65,37550,1,0,0,612,True,6
260230.557492348,26,dhi8qjrpe386,Reita,2,0f12v5,27,23853,1,0,0,612,True,5
260230.56444034,26,dhi8qjrpe386,Reita,2,0f12v5,36,21252,1,0,0,612,True,4
260230.571493353,26,dhi8qjrpe386,Reita,2,0f12v5,77,16276,1,0,0,612,True,3
260230.579390155,26,dhi8qjrpe386,Reita,2,5emq03,37,27106,1,0,0,612,True,2
260230.586738349,26,dhi8qjrpe386,Reita,2,5emq03,17,53668,1,0,0,612,True,1
260230.59398177,26,dhi8qjrpe386,Reita,2,5emq03,70,55,1,0,0,612,True,0
260233.215675246,26,dhi8qjrpe386,Reita,2,5emq03,69,435,1,0,0,612,True,11
