t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260235.754123156,26,jqc40vf9xy2e,Gilbert,2,alnucy,50,12358,1,0,0,612,True,0
260239.507112936,26,jqc40vf9xy2e,Gilbert,2,alnucy,36,55094,1,0,0,612,True,2
260239.514469289,26,jqc40vf9xy2e,Gilbert,2,alnucy,16,60706,1,0,0,612,True,1
260239.521678555,26,jqc40vf9xy2e,Gilbert,2,alnucy,67,38306,1,0,0,612,True,0
260243.533509654,26,jqc40vf9xy2e,Gilbert,3,alnucy,62,25618,1,0,0,612,True,6
260243.544041678,26,jqc40vf9xy2e,Gilbert,3,alnucy,31,27154,1,0,0,612,True,5
260243.552386224,26,jqc40vf9xy2e,Gilbert,3,alnucy,33,10328,1,0,0,612,True,4
260243.563211362,26,jqc40vf9xy2e,Gilbert,3,alnucy,80,45154,1,0,0,612,True,3
260243.570976724,26,jqc40vf9xy2e,Gilbert,3,alnucy,1,13514,1,0,0,612,True,2
260243.578457841,26,jqc40vf9xy2e,Gilbert,3,alnucy,0,9090,1,0,0,612,True,1
260243.5867775,26,jqc40vf9xy2e,Gilbert,3,alnucy,90,41132,1,0,0,612,True,0
260246.048561485,26,jqc40vf9xy2e,Gilbert,3,alnucy,52,34001,1,0,0,612,True,1
260246.055926564,26,jqc40vf9xy2e,Gilbert,3,alnucy,83,17226,1,0,0,612,True,0
260251.523194403,26,jqc40vf9xy2e,Gilbert,3,alnucy,42,58609,1,0,0,612,True,7
260251.531412114,26,jqc40vf9xy2e,Gilbert,3,alnucy,22,13404,1,0,0,612,True,6
260251.540746098,26,jqc40vf9xy2e,Gilbert,3,alnucy,86,7988,1,0,0,612,True,5
260251.548733146,26,jqc40vf9xy2e,Gilbert,3,alnucy,60,7266,1,0,0,612,True,4
260251.560111845,26,jqc40vf9xy2e,Gilbert,3,alnucy,64,17685,1,0,0,612,True,3
260251.568734367,26,jqc40vf9xy2e,Gilbert,3,alnucy,12,10789,2,0,0,100,True,2
260251.576902895,26,jqc40vf9xy2e,Gilbert,3,alnucy,81,41397,2,0,0,100,True,1
260251.584776218,26,jqc40vf9xy2e,Gilbert,3,alnucy,23,45306,2,0,0,100,True,0
260258.169581534,26,jqc40vf9xy2e,Gilbert,4,alnucy,21,34175,2,0,0,100,True,8
260258.178251689,26,jqc40vf9xy2e,Gilbert,4,alnucy,39,15028,2,0,0,100,True,7
260258.189452679,26,jqc40vf9xy2e,Gilbert,4,alnucy,71,20832,2,0,0,100,True,6
260258.19781341,26,jqc40vf9xy2e,Gilbert,4,alnucy,35,32158,1,0,0,612,True,5
260258.206808447,26,jqc40vf9xy2e,Gilbert,4,alnucy,38,17614,1,0,0,612,True,4
260258.214872926,26,jqc40vf9xy2e,Gilbert,4,alnucy,48,22846,1,0,0,612,True,3
260258.223726031,26,jqc40vf9xy2e,Gilbert,4,alnucy,0,48562,1,0,0,612,True,2
260258.236188035,26,jqc40vf9xy2e,Gilbert,4,alnucy,48,46638,1,0,0,612,True,1
260258.256910781,26,jqc40vf9xy2e,Gilbert,4,alnucy,94,9444,1,0,0,612,True,0
260267.516049741,26,jqc40vf9xy2e,Gilbert,4,alnucy,94,57278,2,0,0,100,True,3
260267.524017925,26,jqc40vf9xy2e,Gilbert,4,alnucy,98,6550,2,0,0,100,True,2
260267.532084914,26,jqc40vf9xy2e,Gilbert,4,alnucy,10,58270,2,0,0,100,True,1
260267.539817382,26,jqc40vf9xy2e,Gilbert,4,alnucy,49,52877,2,0,0,100,True,0
260277.948843468,26,jqc40vf9xy2e,Gilbert,5,alnucy,87,60839,2,0,0,100,True,5
260277.956453801,26,jqc40vf9xy2e,Gilbert,5,alnucy,54,31442,2,0,0,100,True,4
260277.964124989,26,jqc40vf9xy2e,Gilbert,5,alnucy,40,10713,2,0,0,100,True,3
260277.971701582,26,jqc40vf9xy2e,Gilbert,5,alnucy,72,53193,2,0,0,100,True,2
260277.979303912,26,jqc40vf9xy2e,Gilbert,5,alnucy,15,26994,2,0,0,100,True,1
260277.987468884,26,jqc40vf9xy2e,Gilbert,5,alnucy,92,41091,1,0,0,612,True,0
260285.00335932,26,jqc40vf9xy2e,Gilbert,5,alnucy,2,37635,2,0,0,100,True,1
260285.011442906,26,jqc40vf9xy2e,Gilbert,5,alnucy,78,42191,1,0,0,612,True,0
260295.816357115,26,jqc40vf9xy2e,Gilbert,6,alnucy,43,15337,2,0,0,100,True,4
260295.824156905,26,jqc40vf9xy2e,Gilbert,6,alnucy,65,41821,2,0,0,100,True,3
260295.831721027,26,jqc40vf9xy2e,Gilbert,6,alnucy,96,13226,2,0,0,100,True,2
260295.839218757,26,jqc40vf9xy2e,Gilbert,6,alnucy,25,11984,2,0,0,100,True,1
260295.846582184,26,jqc40vf9xy2e,Gilbert,6,alnucy,34,55489,1,0,0,612,True,0
260300.686349402,26,jqc40vf9xy2e,Gilbert,6,0f12v5,88,6617,2,0,100,0,True,6
260300.693772029,26,jqc40vf9xy2e,Gilbert,6,alnucy,39,31207,2,0,0,100,True,5
260300.701233174,26,jqc40vf9xy2e,Gilbert,6,alnucy,86,19990,2,0,0,100,True,4
