t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260244.741134323,26,klsaro5tw18y,Beatriz,3,v0slso,11,11457,1,0,612,0,True,2
260244.747814482,26,klsaro5tw18y,Beatriz,3,v0slso,11,11457,2,100,0,0,True,2
260244.75521071,26,klsaro5tw18y,Beatriz,3,v0slso,7,21483,1,0,612,0,True,1
260244.762761532,26,klsaro5tw18y,Beatriz,3,v0slso,7,21483,2,100,0,0,True,1
260244.770475132,26,klsaro5tw18y,Beatriz,3,v0slso,69,53694,1,0,612,0,True,0
260244.778124843,26,klsaro5tw18y,Beatriz,3,v0slso,69,53694,2,100,0,0,True,0
260249.183806685,26,klsaro5tw18y,Beatriz,4,v0slso,15,18836,1,0,612,0,True,0
260249.193418229,26,klsaro5tw18y,Beatriz,4,v0slso,15,18836,2,100,0,0,True,0
260264.253513594,26,klsaro5tw18y,Beatriz,5,v0slso,41,41979,1,0,612,0,True,4
260264.265943926,26,klsaro5tw18y,Beatriz,5,v0slso,41,41979,2,100,0,0,True,4
260264.273582951,26,klsaro5tw18y,Beatriz,5,v0slso,52,43725,1,0,612,0,True,3
260264.28612779,26,klsaro5tw18y,Beatriz,5,v0slso,52,43725,2,100,0,0,True,3
260264.298538776,26,klsaro5tw18y,Beatriz,5,v0slso,20,45734,1,0,612,0,True,2
260264.306138275,26,klsaro5tw18y,Beatriz,5,v0slso,20,45734,2,100,0,0,True,2
260264.319426679,26,klsaro5tw18y,Beatriz,5,v0slso,25,596,1,0,612,0,True,1
260264.332490933,26,klsaro5tw18y,Beatriz,5,v0slso,25,596,2,100,0,0,True,1
260264.340836322,26,klsaro5tw18y,Beatriz,5,v0slso,76,27777,1,0,612,0,True,0
260264.353397902,26,klsaro5tw18y,Beatriz,5,v0slso,76,27777,2,100,0,0,True,0
260363.534849149,26,klsaro5tw18y,Beatriz,13,v0slso,18,9096,1,0,612,0,True,1
260363.542236258,26,klsaro5tw18y,Beatriz,13,v0slso,18,9096,2,100,0,0,True,1
260363.549556399,26,klsaro5tw18y,Beatriz,13,v0slso,72,51134,1,0,612,0,True,0
260363.557011335,26,klsaro5tw18y,Beatriz,13,v0slso,72,51134,2,100,0,0,True,0
260365.332308658,26,klsaro5tw18y,Beatriz,13,v0slso,28,29773,1,0,612,0,True,3
260365.340034891,26,klsaro5tw18y,Beatriz,13,v0slso,28,29773,2,100,0,0,True,3
260365.347657587,26,klsaro5tw18y,Beatriz,13,v0slso,39,43568,1,0,612,0,True,2
260365.355280426,26,klsaro5tw18y,Beatriz,13,v0slso,39,43568,2,100,0,0,True,2
260365.362868903,26,klsaro5tw18y,Beatriz,13,v0slso,61,21537,1,0,612,0,True,1
260365.370574056,26,klsaro5tw18y,Beatriz,13,v0slso,61,21537,2,100,0,0,True,1
260365.379381061,26,klsaro5tw18y,Beatriz,13,v0slso,17,1491,1,0,612,0,True,0
260365.390773153,26,klsaro5tw18y,Beatriz,13,v0slso,17,1491,2,100,0,0,True,0
260411.69280487,26,klsaro5tw18y,Beatriz,17,v0slso,65,29335,1,0,612,0,True,0
260411.700200264,26,klsaro5tw18y,Beatriz,17,v0slso,65,29335,2,100,0,0,True,0
260414.250538823,26,klsaro5tw18y,Beatriz,17,v0slso,50,41316,1,0,612,0,True,1
260414.258127623,26,klsaro5tw18y,Beatriz,17,v0slso,50,41316,2,100,0,0,True,1
260414.266076959,26,klsaro5tw18y,Beatriz,17,v0slso,43,26082,1,0,612,0,True,0
260414.274207603,26,klsaro5tw18y,Beatriz,17,v0slso,43,26082,2,100,0,0,True,0
260421.226635007,26,klsaro5tw18y,Beatriz,18,v0slso,93,993,1,0,612,0,True,0
260421.234110071,26,klsaro5tw18y,Beatriz,18,v0slso,93,993,2,100,0,0,True,0
260423.745839749,26,klsaro5tw18y,Beatriz,18,v0slso,98,23324,1,0,612,0,True,3
260423.75377681,26,klsaro5tw18y,Beatriz,18,v0slso,98,23324,2,100,0,0,True,3
260423.766989975,26,klsaro5tw18y,Beatriz,18,v0slso,81,43166,1,0,612,0,True,2
260423.780341837,26,klsaro5tw18y,Beatriz,18,v0slso,81,43166,2,100,0,0,True,2
260423.788020752,26,klsaro5tw18y,Beatriz,18,v0slso,68,54238,1,0,612,0,True,1
260423.811895206,26,klsaro5tw18y,Beatriz,18,v0slso,68,54238,2,100,0,0,True,1
260423.827517633,26,klsaro5tw18y,Beatriz,18,v0slso,12,46780,1,0,612,0,True,0
260423.835251428,26,klsaro5tw18y,Beatriz,18,v0slso,12,46780,2,100,0,0,True,0
260432.844337514,26,klsaro5tw18y,Beatriz,19,v0slso,54,21414,1,0,612,0,True,2
260432.853593782,26,klsaro5tw18y,Beatriz,19,v0slso,54,21414,2,100,0,0,True,2
260432.861584963,26,klsaro5tw18y,Beatriz,19,v0slso,43,29356,1,0,612,0,True,1
260432.874579981,26,klsaro5tw18y,Beatriz,19,v0slso,43,29356,2,100,0,0,True,1
260432.882652772,26,klsaro5tw18y,Beatriz,19,v0slso,39,20256,1,0,612,0,True,0
