t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260216.672451394,26,kmlex22r31nd,Many,1,v7atfa,33,39057,1,0,0,612,True,1
260216.679605701,26,kmlex22r31nd,Many,1,1zqdk8,74,63565,1,0,0,612,True,0
260217.866566991,26,kmlex22r31nd,Many,1,v7atfa,39,27693,1,0,0,612,True,1
260217.87487412,26,kmlex22r31nd,Many,1,v7atfa,5,29669,1,0,0,612,True,0
260218.888219773,26,kmlex22r31nd,Many,1,v7atfa,73,65110,1,0,0,612,True,1
260218.895844632,26,kmlex22r31nd,Many,1,1zqdk8,52,872,1,0,0,612,True,0
260220.054793419,26,kmlex22r31nd,Many,1,v7atfa,99,42469,1,0,0,612,True,3
260220.062510203,26,kmlex22r31nd,Many,1,1zqdk8,6,31369,1,0,0,612,True,2
260220.069952195,26,kmlex22r31nd,Many,1,1zqdk8,91,3396,1,0,0,612,True,1
260220.077498985,26,kmlex22r31nd,Many,1,v7atfa,41,20541,1,0,0,612,True,0
260221.420461041,26,kmlex22r31nd,Many,1,1zqdk8,99,43380,1,0,0,612,True,8
260221.428602964,26,kmlex22r31nd,Many,1,v7atfa,97,50173,1,0,0,612,True,7
260221.439454684,26,kmlex22r31nd,Many,1,1zqdk8,8,60946,1,0,0,612,True,6
260221.4493097,26,kmlex22r31nd,Many,1,1zqdk8,76,37072,1,0,0,612,True,5
260221.456978556,26,kmlex22r31nd,Many,1,1zqdk8,41,24577,1,0,0,612,True,4
260221.464839124,26,kmlex22r31nd,Many,1,v7atfa,30,49792,1,0,0,612,True,3
260221.472096659,26,kmlex22r31nd,Many,1,v7atfa,89,42785,1,0,0,612,True,2
260221.48423852,26,kmlex22r31nd,Many,1,v7atfa,62,62865,1,0,0,612,True,1
260221.492454304,26,kmlex22r31nd,Many,1,1zqdk8,24,17720,1,0,0,612,True,0
260222.550421578,26,kmlex22r31nd,Many,1,v7atfa,42,44680,1,0,0,612,True,6
260222.557902351,26,kmlex22r31nd,Many,1,1zqdk8,77,54690,1,0,0,612,True,5
260222.56535931,26,kmlex22r31nd,Many,1,1zqdk8,70,4169,1,0,0,612,True,4
260222.572765856,26,kmlex22r31nd,Many,1,v7atfa,29,21791,1,0,0,612,True,3
260222.580354438,26,kmlex22r31nd,Many,1,1zqdk8,68,16768,1,0,0,612,True,2
260222.58785616,26,kmlex22r31nd,Many,1,1zqdk8,33,35398,1,0,0,612,True,1
260222.595646077,26,kmlex22r31nd,Many,1,v7atfa,26,30291,1,0,0,612,True,0
260224.288095133,26,kmlex22r31nd,Many,1,v7atfa,46,9787,1,0,0,612,True,7
260224.295671256,26,kmlex22r31nd,Many,1,v7atfa,47,46573,1,0,0,612,True,6
260224.302724636,26,kmlex22r31nd,Many,1,v7atfa,66,46129,2,0,0,100,True,5
260224.310263095,26,kmlex22r31nd,Many,1,v7atfa,44,50409,1,0,0,612,True,4
260224.317459751,26,kmlex22r31nd,Many,1,v7atfa,28,38549,1,0,0,612,True,3
260224.324768951,26,kmlex22r31nd,Many,1,1zqdk8,20,1356,1,0,0,612,True,2
260224.332176592,26,kmlex22r31nd,Many,1,v7atfa,64,33948,1,0,0,612,True,1
260224.339387828,26,kmlex22r31nd,Many,1,1zqdk8,35,14349,1,0,0,612,True,0
260236.779474067,26,kmlex22r31nd,Many,3,v7atfa,96,48013,2,0,0,100,True,16
260236.787106642,26,kmlex22r31nd,Many,3,v7atfa,68,33362,1,0,0,612,True,15
260236.79477429,26,kmlex22r31nd,Many,3,1zqdk8,13,548,1,0,0,612,True,14
