t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260221.939938015,26,lddq04v5hdid,Athena,1,v7atfa,66,46129,2,0,0,100,True,0
260222.978263905,26,lddq04v5hdid,Athena,1,v7atfa,96,48013,2,0,0,100,True,0
260225.306933226,26,lddq04v5hdid,Athena,1,v7atfa,33,39057,1,0,0,612,True,1
260225.314617977,26,lddq04v5hdid,Athena,1,v7atfa,39,27693,1,0,0,612,True,0
260227.479073795,26,lddq04v5hdid,Athena,1,v7atfa,38,32056,2,0,0,100,True,1
260227.486562551,26,lddq04v5hdid,Athena,1,v7atfa,73,65110,1,0,0,612,True,0
260230.672762416,26,lddq04v5hdid,Athena,2,v7atfa,93,23515,1,0,0,612,True,3
260230.680195948,26,lddq04v5hdid,Athena,2,v7atfa,77,1918,1,0,0,612,True,2
260230.687612587,26,lddq04v5hdid,Athena,2,v7atfa,4,62347,2,0,0,100,True,1
260230.695309813,26,lddq04v5hdid,Athena,2,v7atfa,62,62865,1,0,0,612,True,0
260233.369525146,26,lddq04v5hdid,Athena,2,v7atfa,42,44680,1,0,0,612,True,20
260233.376971758,26,lddq04v5hdid,Athena,2,v7atfa,26,30291,1,0,0,612,True,19
260233.384382865,26,lddq04v5hdid,Athena,2,v7atfa,94,18476,1,0,0,612,True,18
260233.391509702,26,lddq04v5hdid,Athena,2,0f12v5,70,27972,1,0,0,612,True,17
260233.398616797,26,lddq04v5hdid,Athena,2,0f12v5,81,3708,1,0,0,612,True,16
260233.405651575,26,lddq04v5hdid,Athena,2,0f12v5,40,50125,1,0,0,612,True,15
260233.413315971,26,lddq04v5hdid,Athena,2,0f12v5,88,6617,1,0,0,612,True,14
260233.420398063,26,lddq04v5hdid,Athena,2,v7atfa,72,26002,1,0,0,612,True,13
260233.427847884,26,lddq04v5hdid,Athena,2,0f12v5,56,44121,1,0,0,612,True,12
260233.435238069,26,lddq04v5hdid,Athena,2,0f12v5,2,12598,1,0,0,612,True,11
260233.442864687,26,lddq04v5hdid,Athena,2,0f12v5,73,13818,1,0,0,612,True,10
260233.450402713,26,lddq04v5hdid,Athena,2,0f12v5,83,25432,1,0,0,612,True,9
260233.458004062,26,lddq04v5hdid,Athena,2,0f12v5,17,27308,1,0,0,612,True,8
260233.465227731,26,lddq04v5hdid,Athena,2,0f12v5,10,10574,1,0,0,612,True,7
260233.472887185,26,lddq04v5hdid,Athena,2,0f12v5,30,48412,1,0,0,612,True,6
260233.48056079,26,lddq04v5hdid,Athena,2,0f12v5,15,56349,1,0,0,612,True,5
