t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260216.568430109,26,mie07bmz7c5e,Vickey,1,v7atfa,66,46129,1,0,612,0,True,0
260216.575642358,26,mie07bmz7c5e,Vickey,1,v7atfa,66,46129,2,100,0,0,True,0
260217.752219431,26,mie07bmz7c5e,Vickey,1,v7atfa,96,48013,1,0,612,0,True,0
260217.759952257,26,mie07bmz7c5e,Vickey,1,v7atfa,96,48013,2,100,0,0,True,0
260219.795266753,26,mie07bmz7c5e,Vickey,1,v7atfa,81,15869,1,0,612,0,True,1
260219.802724799,26,mie07bmz7c5e,Vickey,1,v7atfa,81,15869,2,100,0,0,True,1
260219.811996784,26,mie07bmz7c5e,Vickey,1,v7atfa,38,32056,1,0,612,0,True,0
260219.819251683,26,mie07bmz7c5e,Vickey,1,v7atfa,38,32056,2,100,0,0,True,0
260221.263129348,26,mie07bmz7c5e,Vickey,1,v7atfa,76,36212,1,0,612,0,True,1
260221.270392035,26,mie07bmz7c5e,Vickey,1,v7atfa,76,36212,2,100,0,0,True,1
260221.277837548,26,mie07bmz7c5e,Vickey,1,v7atfa,4,62347,1,0,612,0,True,0
260221.285480248,26,mie07bmz7c5e,Vickey,1,v7atfa,4,62347,2,100,0,0,True,0
260222.460409195,26,mie07bmz7c5e,Vickey,1,v7atfa,83,51313,1,0,612,0,True,1
260222.467921154,26,mie07bmz7c5e,Vickey,1,v7atfa,83,51313,2,100,0,0,True,1
260222.475386539,26,mie07bmz7c5e,Vickey,1,v7atfa,50,19440,1,0,612,0,True,0
260222.48293803,26,mie07bmz7c5e,Vickey,1,v7atfa,50,19440,2,100,0,0,True,0
260223.731430609,26,mie07bmz7c5e,Vickey,1,v7atfa,91,6537,1,0,612,0,True,2
260223.739297442,26,mie07bmz7c5e,Vickey,1,v7atfa,91,6537,2,100,0,0,True,2
260223.747180853,26,mie07bmz7c5e,Vickey,1,v7atfa,53,64918,1,0,612,0,True,1
260223.755328989,26,mie07bmz7c5e,Vickey,1,v7atfa,53,64918,2,100,0,0,True,1
260223.76337275,26,mie07bmz7c5e,Vickey,1,v7atfa,98,51155,1,0,612,0,True,0
260223.771369361,26,mie07bmz7c5e,Vickey,1,v7atfa,98,51155,2,100,0,0,True,0
260261.262110332,26,mie07bmz7c5e,Vickey,5,v7atfa,1,64387,1,0,612,0,True,9
260261.281082593,26,mie07bmz7c5e,Vickey,5,v7atfa,1,64387,2,100,0,0,True,9
260261.296897795,26,mie07bmz7c5e,Vickey,5,v7atfa,48,4932,1,0,612,0,True,8
260261.316908344,26,mie07bmz7c5e,Vickey,5,v7atfa,48,4932,2,100,0,0,True,8
260261.324615396,26,mie07bmz7c5e,Vickey,5,v7atfa,34,27446,1,0,612,0,True,7
260261.352131876,26,mie07bmz7c5e,Vickey,5,v7atfa,34,27446,2,100,0,0,True,7
260261.359398337,26,mie07bmz7c5e,Vickey,5,v7atfa,87,28662,1,0,612,0,True,6
260261.381068564,26,mie07bmz7c5e,Vickey,5,v7atfa,87,28662,2,100,0,0,True,6
260261.391063269,26,mie07bmz7c5e,Vickey,5,v7atfa,31,16190,1,0,612,0,True,5
260261.398343215,26,mie07bmz7c5e,Vickey,5,v7atfa,31,16190,2,100,0,0,True,5
260261.405517815,26,mie07bmz7c5e,Vickey,5,v7atfa,85,52767,1,0,612,0,True,4
260261.412981609,26,mie07bmz7c5e,Vickey,5,v7atfa,85,52767,2,100,0,0,True,4
260261.420416372,26,mie07bmz7c5e,Vickey,5,v7atfa,71,45337,1,0,612,0,True,3
260261.427375134,26,mie07bmz7c5e,Vickey,5,v7atfa,71,45337,2,100,0,0,True,3
260261.434104551,26,mie07bmz7c5e,Vickey,5,v7atfa,55,22784,1,0,612,0,True,2
260261.44182578,26,mie07bmz7c5e,Vickey,5,v7atfa,55,22784,2,100,0,0,True,2
260261.448784114,26,mie07bmz7c5e,Vickey,5,v7atfa,99,39633,1,0,612,0,True,1
260261.456418051,26,mie07bmz7c5e,Vickey,5,v7atfa,99,39633,2,100,0,0,True,1
260261.463733035,26,mie07bmz7c5e,Vickey,5,v7atfa,95,990,1,0,612,0,True,0
260261.471561636,26,mie07bmz7c5e,Vickey,5,v7atfa,95,990,2,100,0,0,True,0
260280.359706901,26,mie07bmz7c5e,Vickey,6,alnucy,8,42557,2,0,0,100,True,9
260280.367488099,26,mie07bmz7c5e,Vickey,6,alnucy,82,11670,2,0,0,100,True,8
260280.375548067,26,mie07bmz7c5e,Vickey,6,alnucy,89,61251,2,0,0,100,True,7
260280.383771888,26,mie07bmz7c5e,Vickey,6,alnucy,51,21725,2,0,0,100,True,6
260280.392163434,26,mie07bmz7c5e,Vickey,6,alnucy,33,10328,2,0,0,100,True,5
260280.412559397,26,mie07bmz7c5e,Vickey,6,v7atfa,92,39850,1,0,612,0,True,4
260280.430265393,26,mie07bmz7c5e,Vickey,6,v7atfa,92,39850,2,100,0,0,True,4
260280.451936157,26,mie07bmz7c5e,Vickey,6,v7atfa,44,5891,1,0,612,0,True,3
260280.465814849,26,mie07bmz7c5e,Vickey,6,v7atfa,44,5891,2,100,0,0,True,3
260280.491327982,26,mie07bmz7c5e,Vickey,6,v7atfa,97,22815,1,0,612,0,True,2
260280.504071191,26,mie07bmz7c5e,Vickey,6,v7atfa,97,22815,2,100,0,0,True,2
260280.53240429,26,mie07bmz7c5e,Vickey,6,alnucy,81,49536,1,0,0,612,True,1
260280.540631832,26,mie07bmz7c5e,Vickey,6,v7atfa,61,26112,1,0,612,0,True,0
260280.558171495,26,mie07bmz7c5e,Vickey,6,v7atfa,61,26112,2,100,0,0,True,0
260287.554994172,26,mie07bmz7c5e,Vickey,6,v7atfa,33,39057,2,0,0,100,True,5
260287.564621074,26,mie07bmz7c5e,Vickey,6,alnucy,60,7266,2,0,0,100,True,4
260287.573721106,26,mie07bmz7c5e,Vickey,6,alnucy,44,29413,2,0,0,100,True,3
260287.581971748,26,mie07bmz7c5e,Vickey,6,v7atfa,48,2753,1,0,612,0,True,2
260287.59285788,26,mie07bmz7c5e,Vickey,6,v7atfa,48,2753,2,100,0,0,True,2
260287.600927953,26,mie07bmz7c5e,Vickey,6,alnucy,77,59723,1,0,0,612,True,1
260287.610154547,26,mie07bmz7c5e,Vickey,6,v7atfa,39,5447,1,0,612,0,True,0
260287.617938977,26,mie07bmz7c5e,Vickey,6,v7atfa,39,5447,2,100,0,0,True,0
260296.985977855,26,mie07bmz7c5e,Vickey,7,v7atfa,15,83,2,0,0,100,True,13
260296.995287768,26,mie07bmz7c5e,Vickey,7,alnucy,90,58803,2,0,0,100,True,12
260297.003396967,26,mie07bmz7c5e,Vickey,7,alnucy,49,21624,2,0,0,100,True,11
260297.011481784,26,mie07bmz7c5e,Vickey,7,alnucy,73,19309,2,0,0,100,True,10
260297.018905867,26,mie07bmz7c5e,Vickey,7,alnucy,46,15952,2,0,0,100,True,9
260297.026941254,26,mie07bmz7c5e,Vickey,7,alnucy,45,10378,2,0,0,100,True,8
260297.034046217,26,mie07bmz7c5e,Vickey,7,v7atfa,44,50409,1,0,612,0,True,7
260297.042148378,26,mie07bmz7c5e,Vickey,7,v7atfa,44,50409,2,100,0,0,True,7
260297.049207811,26,mie07bmz7c5e,Vickey,7,v7atfa,96,31152,1,0,612,0,True,6
260297.056815702,26,mie07bmz7c5e,Vickey,7,v7atfa,96,31152,2,100,0,0,True,6
260297.064339924,26,mie07bmz7c5e,Vickey,7,alnucy,24,41845,1,0,0,612,True,5
260297.071641469,26,mie07bmz7c5e,Vickey,7,alnucy,25,45306,1,0,0,612,True,4
260297.079100646,26,mie07bmz7c5e,Vickey,7,alnucy,69,7265,1,0,0,612,True,3
260297.086747434,26,mie07bmz7c5e,Vickey,7,alnucy,83,46861,1,0,0,612,True,2
260297.094302616,26,mie07bmz7c5e,Vickey,7,alnucy,71,61690,1,0,0,612,True,1
260297.102576209,26,mie07bmz7c5e,Vickey,7,v7atfa,58,40833,1,0,612,0,True,0
260297.111246922,26,mie07bmz7c5e,Vickey,7,v7atfa,58,40833,2,100,0,0,True,0
260301.871579176,26,mie07bmz7c5e,Vickey,7,v7atfa,77,1918,2,0,0,100,True,4
260301.879130681,26,mie07bmz7c5e,Vickey,7,alnucy,87,38565,2,0,0,100,True,3
260301.886735526,26,mie07bmz7c5e,Vickey,7,alnucy,38,4149,2,0,0,100,True,2
260301.894286892,26,mie07bmz7c5e,Vickey,7,v7atfa,56,39218,1,0,612,0,True,1
260301.901945578,26,mie07bmz7c5e,Vickey,7,v7atfa,56,39218,2,100,0,0,True,1
260301.909563969,26,mie07bmz7c5e,Vickey,7,v7atfa,55,11504,1,0,612,0,True,0
260301.917825272,26,mie07bmz7c5e,Vickey,7,v7atfa,55,11504,2,100,0,0,True,0
260309.182489604,26,mie07bmz7c5e,Vickey,8,v7atfa,36,47626,2,0,0,100,True,6
260309.190402847,26,mie07bmz7c5e,Vickey,8,v7atfa,84,10834,2,0,0,100,True,5
260309.198022339,26,mie07bmz7c5e,Vickey,8,v7atfa,73,65110,2,0,0,100,True,4
