t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260225.322073962,26,njpsuj3z553g,Brande,1,alnucy,23,45306,1,0,0,612,True,4
260225.328984747,26,njpsuj3z553g,Brande,1,alnucy,12,10789,1,0,0,612,True,3
260225.336559566,26,njpsuj3z553g,Brande,1,alnucy,14,48500,1,0,0,612,True,2
260225.3442243,26,njpsuj3z553g,Brande,1,alnucy,3,60073,1,0,0,612,True,1
260225.351811523,26,njpsuj3z553g,Brande,1,alnucy,69,7558,1,0,0,612,True,0
260240.404231811,26,njpsuj3z553g,Brande,3,alnucy,35,32158,1,0,0,612,True,20
260240.41178947,26,njpsuj3z553g,Brande,3,alnucy,28,12190,1,0,0,612,True,19
260240.419103082,26,njpsuj3z553g,Brande,3,alnucy,37,18924,1,0,0,612,True,18
260240.426239917,26,njpsuj3z553g,Brande,3,alnucy,25,11984,1,0,0,612,True,17
260240.433839749,26,njpsuj3z553g,Brande,3,alnucy,73,19309,1,0,0,612,True,16
260240.441519543,26,njpsuj3z553g,Brande,3,alnucy,76,5592,1,0,0,612,True,15
260240.449275977,26,njpsuj3z553g,Brande,3,alnucy,45,10378,1,0,0,612,True,14
260240.456990208,26,njpsuj3z553g,Brande,3,alnucy,93,49823,1,0,0,612,True,13
260240.464681692,26,njpsuj3z553g,Brande,3,alnucy,96,13226,1,0,0,612,True,12
260240.472307226,26,njpsuj3z553g,Brande,3,v0slso,62,5982,1,0,0,612,True,11
260240.480041522,26,njpsuj3z553g,Brande,3,v0slso,8,27513,1,0,0,612,True,10
260240.487721052,26,njpsuj3z553g,Brande,3,v0slso,49,2120,1,0,0,612,True,9
260240.495461438,26,njpsuj3z553g,Brande,3,alnucy,65,41821,1,0,0,612,True,8
260240.504090156,26,njpsuj3z553g,Brande,3,v0slso,44,31026,1,0,0,612,True,7
260240.512215752,26,njpsuj3z553g,Brande,3,v0slso,89,28713,1,0,0,612,True,6
260240.519873588,26,njpsuj3z553g,Brande,3,cdy34g,18,60690,1,0,0,612,True,5
260240.527091142,26,njpsuj3z553g,Brande,3,v0slso,51,34119,1,0,0,612,True,4
260240.534416024,26,njpsuj3z553g,Brande,3,v0slso,78,30258,1,0,0,612,True,3
260240.541782504,26,njpsuj3z553g,Brande,3,alnucy,46,41324,1,0,0,612,True,2
260240.549304533,26,njpsuj3z553g,Brande,3,alnucy,38,17614,1,0,0,612,True,1
260240.556908989,26,njpsuj3z553g,Brande,3,alnucy,48,22846,1,0,0,612,True,0
260252.774393269,26,njpsuj3z553g,Brande,3,v0slso,40,85,1,0,0,612,True,10
260252.78338404,26,njpsuj3z553g,Brande,3,v0slso,19,55238,1,0,0,612,True,9
260252.791099558,26,njpsuj3z553g,Brande,3,v0slso,60,57195,1,0,0,612,True,8
260252.799216286,26,njpsuj3z553g,Brande,3,v0slso,76,27777,1,0,0,612,True,7
260252.807545685,26,njpsuj3z553g,Brande,3,cdy34g,61,59704,2,0,0,100,True,6
260252.815228149,26,njpsuj3z553g,Brande,3,cdy34g,31,54663,2,0,0,100,True,5
260252.823909441,26,njpsuj3z553g,Brande,3,cdy34g,72,23891,2,0,0,100,True,4
260252.831537977,26,njpsuj3z553g,Brande,3,cdy34g,67,10206,2,0,0,100,True,3
260252.839180721,26,njpsuj3z553g,Brande,3,cdy34g,66,2007,2,0,0,100,True,2
260252.846828894,26,njpsuj3z553g,Brande,3,cdy34g,27,34539,2,0,0,100,True,1
260252.856831752,26,njpsuj3z553g,Brande,3,v0slso,32,7459,2,0,0,100,True,0
260259.970731466,26,njpsuj3z553g,Brande,4,cdy34g,10,31363,2,0,0,100,True,10
260259.981641778,26,njpsuj3z553g,Brande,4,cdy34g,7,11572,2,0,0,100,True,9
260259.989381482,26,njpsuj3z553g,Brande,4,cdy34g,73,54093,2,0,0,100,True,8
260259.998754626,26,njpsuj3z553g,Brande,4,cdy34g,90,12749,2,0,0,100,True,7
260260.014407393,26,njpsuj3z553g,Brande,4,v0slso,69,53694,2,0,0,100,True,6
260260.024040473,26,njpsuj3z553g,Brande,4,cdy34g,28,60818,1,0,0,612,True,5
260260.032032328,26,njpsuj3z553g,Brande,4,cdy34g,3,24721,1,0,0,612,True,4
260260.045720753,26,njpsuj3z553g,Brande,4,alnucy,81,49536,1,0,0,612,True,3
260260.054618289,26,njpsuj3z553g,Brande,4,cdy34g,22,5918,1,0,0,612,True,2
260260.066912319,26,njpsuj3z553g,Brande,4,cdy34g,70,24852,1,0,0,612,True,1
260260.075750907,26,njpsuj3z553g,Brande,4,cdy34g,91,10917,1,0,0,612,True,0
260268.696213489,26,njpsuj3z553g,Brande,4,cdy34g,78,43085,2,0,0,100,True,13
260268.704917807,26,njpsuj3z553g,Brande,4,cdy34g,97,32084,2,0,0,100,True,12
260268.713056561,26,njpsuj3z553g,Brande,4,cdy34g,64,26356,2,0,0,100,True,11
