t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260254.154382615,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,38,20999,1,0,612,0,True,4
260254.163845119,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,38,20999,2,100,0,0,True,4
260254.171797873,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,51,28746,1,0,612,0,True,3
260254.180124488,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,51,28746,2,100,0,0,True,3
260254.187999936,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,23,53205,1,0,612,0,True,2
260254.195966903,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,23,53205,2,100,0,0,True,2
260254.203664031,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,81,57472,1,0,612,0,True,1
260254.211664853,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,81,57472,2,100,0,0,True,1
260254.22015534,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,83,63523,1,0,612,0,True,0
260254.228138071,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,83,63523,2,100,0,0,True,0
260270.540357227,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,94,16107,1,0,612,0,True,3
260270.557085228,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,94,16107,2,100,0,0,True,3
260270.569966991,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,29,52318,1,0,612,0,True,2
260270.578237041,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,29,52318,2,100,0,0,True,2
260270.590515488,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,88,3088,1,0,612,0,True,1
260270.600803961,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,88,3088,2,100,0,0,True,1
260270.62322996,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,52,50901,1,0,612,0,True,0
260270.637977487,26,tp0zm1c2nyi1,Kaylee,4,1vhs2v,52,50901,2,100,0,0,True,0
260279.971032178,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,94,37303,1,0,612,0,True,1
260279.978898843,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,94,37303,2,100,0,0,True,1
260279.994411053,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,71,25999,1,0,612,0,True,0
260280.002591801,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,71,25999,2,100,0,0,True,0
260287.06749009,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,69,17539,1,0,612,0,True,5
260287.078194189,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,69,17539,2,100,0,0,True,5
260287.087015951,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,66,37897,1,0,612,0,True,4
260287.098459893,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,66,37897,2,100,0,0,True,4
260287.107639835,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,44,47880,1,0,612,0,True,3
260287.115899836,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,44,47880,2,100,0,0,True,3
260287.123921264,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,84,64589,1,0,612,0,True,2
260287.131756044,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,84,64589,2,100,0,0,True,2
260287.141467969,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,30,38617,1,0,612,0,True,1
260287.164272444,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,30,38617,2,100,0,0,True,1
260287.174315023,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,48,41273,1,0,612,0,True,0
260287.19227679,26,tp0zm1c2nyi1,Kaylee,5,1vhs2v,48,41273,2,100,0,0,True,0
260320.904667892,26,tp0zm1c2nyi1,Kaylee,8,1vhs2v,45,17919,1,0,612,0,True,3
260320.91220285,26,tp0zm1c2nyi1,Kaylee,8,1vhs2v,45,17919,2,100,0,0,True,3
260320.919791215,26,tp0zm1c2nyi1,Kaylee,8,1vhs2v,49,32422,1,0,612,0,True,2
260320.927653807,26,tp0zm1c2nyi1,Kaylee,8,1vhs2v,49,32422,2,100,0,0,True,2
