t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260269.344779682,26,u3nyrp3v79ql,Brande,4,0f12v5,67,53320,2,0,0,100,True,2
260269.367662451,26,u3nyrp3v79ql,Brande,4,0f12v5,74,20779,2,0,0,100,True,1
260269.377049769,26,u3nyrp3v79ql,Brande,4,0f12v5,16,37621,2,0,0,100,True,0
260291.858078203,26,u3nyrp3v79ql,Brande,6,0f12v5,79,15282,2,0,0,100,True,6
260291.865736402,26,u3nyrp3v79ql,Brande,6,0f12v5,33,4436,2,0,0,100,True,5
260291.874781063,26,u3nyrp3v79ql,Brande,6,0f12v5,20,62837,2,0,0,100,True,4
260291.883261345,26,u3nyrp3v79ql,Brande,6,v0slso,97,52337,2,0,0,100,True,3
260291.892059526,26,u3nyrp3v79ql,Brande,6,v0slso,5,27289,2,0,0,100,True,2
260291.90003908,26,u3nyrp3v79ql,Brande,6,v0slso,69,53694,2,0,0,100,True,1
260291.911082352,26,u3nyrp3v79ql,Brande,6,0f12v5,80,7695,1,0,0,612,True,0
260303.314894101,26,u3nyrp3v79ql,Brande,6,0f12v5,87,17840,2,0,0,100,True,3
260303.322835736,26,u3nyrp3v79ql,Brande,6,v0slso,20,45734,2,0,0,100,True,2
260303.333986774,26,u3nyrp3v79ql,Brande,6,0f12v5,22,3257,1,0,0,612,True,1
260303.342270423,26,u3nyrp3v79ql,Brande,6,0f12v5,21,132,1,0,0,612,True,0
260310.083147547,26,u3nyrp3v79ql,Brande,7,0f12v5,40,64291,2,0,0,100,True,4
260310.090591642,26,u3nyrp3v79ql,Brande,7,0f12v5,97,45694,2,0,0,100,True,3
260310.098039597,26,u3nyrp3v79ql,Brande,7,0f12v5,37,50962,2,0,0,100,True,2
260310.105781535,26,u3nyrp3v79ql,Brande,7,0f12v5,35,20938,2,0,0,100,True,1
260310.113283222,26,u3nyrp3v79ql,Brande,7,0f12v5,66,48590,1,0,0,612,True,0
260315.036359135,26,u3nyrp3v79ql,Brande,7,0f12v5,88,64772,2,0,0,100,True,1
260315.044181803,26,u3nyrp3v79ql,Brande,7,0f12v5,61,20122,1,0,0,612,True,0
260338.768180483,26,u3nyrp3v79ql,Brande,10,0f12v5,71,47945,2,0,0,100,True,3
260338.77576338,26,u3nyrp3v79ql,Brande,10,0f12v5,33,52338,2,0,0,100,True,2
260338.783537737,26,u3nyrp3v79ql,Brande,10,0f12v5,82,49204,2,0,0,100,True,1
260338.791098347,26,u3nyrp3v79ql,Brande,10,0f12v5,72,30414,2,0,0,100,True,0
260343.353247049,26,u3nyrp3v79ql,Brande,10,0f12v5,14,44657,2,0,0,100,True,0
260346.503335846,26,u3nyrp3v79ql,Brande,10,0f12v5,58,38125,2,0,0,100,True,3
260346.513931684,26,u3nyrp3v79ql,Brande,10,0f12v5,3,6070,1,0,0,612,True,2
260346.521802615,26,u3nyrp3v79ql,Brande,10,v0slso,18,9096,1,0,0,612,True,1
260346.529286401,26,u3nyrp3v79ql,Brande,10,0f12v5,9,40749,1,0,0,612,True,0
260348.867816885,26,u3nyrp3v79ql,Brande,10,0f12v5,17,48361,2,0,0,100,True,4
260348.875364627,26,u3nyrp3v79ql,Brande,10,0f12v5,63,46948,2,0,0,100,True,3
260348.882923605,26,u3nyrp3v79ql,Brande,10,0f12v5,53,2794,2,0,0,100,True,2
260348.890552753,26,u3nyrp3v79ql,Brande,10,v0slso,47,45296,1,0,0,612,True,1
260348.898073453,26,u3nyrp3v79ql,Brande,10,v0slso,17,1491,1,0,0,612,True,0
260352.77064786,26,u3nyrp3v79ql,Brande,11,0f12v5,51,53480,2,0,0,100,True,1
260352.778292293,26,u3nyrp3v79ql,Brande,11,0f12v5,55,60631,2,0,0,100,True,0
260354.907942949,26,u3nyrp3v79ql,Brande,11,0f12v5,61,43921,1,0,0,612,True,1
260354.915410866,26,u3nyrp3v79ql,Brande,11,0f12v5,66,55604,1,0,0,612,True,0
260357.067855411,26,u3nyrp3v79ql,Brande,11,v0slso,26,52437,2,0,0,100,True,0
260358.318893728,26,u3nyrp3v79ql,Brande,11,0f12v5,4,38432,2,0,0,100,True,0
260363.071393892,26,u3nyrp3v79ql,Brande,12,0f12v5,94,39674,1,0,0,612,True,0
260364.973823446,26,u3nyrp3v79ql,Brande,12,0f12v5,11,18480,2,0,0,100,True,3
260364.984359853,26,u3nyrp3v79ql,Brande,12,0f12v5,6,64311,2,0,0,100,True,2
260364.992302193,26,u3nyrp3v79ql,Brande,12,0f12v5,27,37462,1,0,0,612,True,1
260365.000052866,26,u3nyrp3v79ql,Brande,12,0f12v5,61,36833,1,0,0,612,True,0
260368.32950904,26,u3nyrp3v79ql,Brande,12,0f12v5,11,10744,1,0,0,612,True,1
260368.33701211,26,u3nyrp3v79ql,Brande,12,0f12v5,11,6478,1,0,0,612,True,0
260370.53714449,26,u3nyrp3v79ql,Brande,12,v0slso,94,12203,2,0,0,100,True,4
260370.544432243,26,u3nyrp3v79ql,Brande,12,0f12v5,93,36027,1,0,0,612,True,3
260370.552382606,26,u3nyrp3v79ql,Brande,12,0f12v5,87,62808,1,0,0,612,True,2
260370.559495496,26,u3nyrp3v79ql,Brande,12,0f12v5,48,997,1,0,0,612,True,1
260370.566600453,26,u3nyrp3v79ql,Brande,12,0f12v5,61,7276,1,0,0,612,True,0
260384.488030818,26,u3nyrp3v79ql,Brande,14,v0slso,39,43568,2,0,0,100,True,1
260384.495684186,26,u3nyrp3v79ql,Brande,14,0f12v5,11,64080,1,0,0,612,True,0
260392.238573853,26,u3nyrp3v79ql,Brande,14,0f12v5,59,30433,2,0,0,100,True,1
260392.249984159,26,u3nyrp3v79ql,Brande,14,v0slso,84,40154,1,0,0,612,True,0
260405.711520062,26,u3nyrp3v79ql,Brande,16,0f12v5,11,8818,1,0,0,612,True,8
260405.718904214,26,u3nyrp3v79ql,Brande,16,0f12v5,11,59677,1,0,0,612,True,7
260405.734885544,26,u3nyrp3v79ql,Brande,16,0f12v5,32,35654,1,0,0,612,True,6
260405.743454962,26,u3nyrp3v79ql,Brande,16,0f12v5,59,28153,1,0,0,612,True,5
260405.752883569,26,u3nyrp3v79ql,Brande,16,v0slso,88,14576,1,0,0,612,True,4
260405.761340888,26,u3nyrp3v79ql,Brande,16,v0slso,70,40265,1,0,0,612,True,3
260405.769248229,26,u3nyrp3v79ql,Brande,16,v0slso,99,27619,1,0,0,612,True,2
260405.776843397,26,u3nyrp3v79ql,Brande,16,v0slso,75,13536,1,0,0,612,True,1
260405.784381191,26,u3nyrp3v79ql,Brande,16,0f12v5,11,55214,1,0,0,612,True,0
260409.906961845,26,u3nyrp3v79ql,Brande,16,0f12v5,59,45796,2,0,0,100,True,0
260416.088645731,26,u3nyrp3v79ql,Brande,16,0f12v5,11,40388,1,0,0,612,True,1
260416.096476729,26,u3nyrp3v79ql,Brande,16,v0slso,81,8469,1,0,0,612,True,0
260418.045094732,26,u3nyrp3v79ql,Brande,17,0f12v5,11,46626,2,0,0,100,True,1
260418.052579561,26,u3nyrp3v79ql,Brande,17,0f12v5,11,40348,2,0,0,100,True,0
260421.411998215,26,u3nyrp3v79ql,Brande,17,0f12v5,11,26926,2,0,0,100,True,1
260421.419517669,26,u3nyrp3v79ql,Brande,17,0f12v5,11,55214,2,0,0,100,True,0
260426.127265296,26,u3nyrp3v79ql,Brande,17,0f12v5,11,10594,2,0,0,100,True,2
260426.135212047,26,u3nyrp3v79ql,Brande,17,0f12v5,11,35897,2,0,0,100,True,1
260426.142871872,26,u3nyrp3v79ql,Brande,17,v0slso,50,41316,2,0,0,100,True,0
260438.894330413,26,u3nyrp3v79ql,Brande,19,0f12v5,11,40388,2,0,0,100,True,0
260442.862766731,26,u3nyrp3v79ql,Brande,19,v0slso,48,17804,2,0,0,100,True,1
260442.873919226,26,u3nyrp3v79ql,Brande,19,v0slso,82,37401,2,0,0,100,True,0
