t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260254.236227012,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,56,25715,1,0,612,0,True,2
260254.243697467,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,56,25715,2,100,0,0,True,2
260254.251811624,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,42,5648,1,0,612,0,True,1
260254.259827693,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,42,5648,2,100,0,0,True,1
260254.267413425,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,1,51573,1,0,612,0,True,0
260254.275234889,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,1,51573,2,100,0,0,True,0
260270.646160771,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,98,55539,1,0,612,0,True,2
260270.657877975,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,98,55539,2,100,0,0,True,2
260270.670077832,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,60,39440,1,0,612,0,True,1
260270.678228318,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,60,39440,2,100,0,0,True,1
260270.690293178,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,0,21397,1,0,612,0,True,0
260270.703466261,26,yr1fcgkk4ibp,Kaylee,4,1vhs2v,0,21397,2,100,0,0,True,0
260280.022792094,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,46,19478,1,0,612,0,True,3
260280.054678489,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,46,19478,2,100,0,0,True,3
260280.071677003,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,91,62050,1,0,612,0,True,2
260280.090104421,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,91,62050,2,100,0,0,True,2
260280.109450466,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,43,47226,1,0,612,0,True,1
260280.117936379,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,43,47226,2,100,0,0,True,1
260280.126252787,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,41,60107,1,0,612,0,True,0
260280.134416626,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,41,60107,2,100,0,0,True,0
260287.205553061,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,89,28691,1,0,612,0,True,3
260287.225655669,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,89,28691,2,100,0,0,True,3
260287.247728895,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,49,21043,1,0,612,0,True,2
260287.262060786,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,49,21043,2,100,0,0,True,2
260287.281526059,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,26,13198,1,0,612,0,True,1
260287.29304238,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,26,13198,2,100,0,0,True,1
260287.30376861,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,2,49510,1,0,612,0,True,0
260287.314589489,26,yr1fcgkk4ibp,Kaylee,5,1vhs2v,2,49510,2,100,0,0,True,0
