t,experiment_id,user,current_round
260204.646886276,26,Daisy,0
260215.675201439,26,Daisy,1
260226.205494762,26,Daisy,2
260239.824396115,26,Daisy,3
260253.19611216,26,Daisy,4
260271.298691464,26,Daisy,5
260289.353490323,26,Daisy,6
260303.687857357,26,Daisy,7
260315.816847239,26,Daisy,8
260326.595891423,26,Daisy,9
260337.630495085,26,Daisy,10
260349.779722021,26,Daisy,11
260360.576786959,26,Daisy,12
260371.585112392,26,Daisy,13
260382.787361543,26,Daisy,14
260393.062407193,26,Daisy,15
260404.876367996,26,Daisy,16
260416.46148481,26,Daisy,17
260427.028241551,26,Daisy,18
260438.412474423,26,Daisy,19
260448.955605858,26,Daisy,20
260459.390219714,26,Daisy,21
260469.612046184,26,Daisy,22
260479.661754385,26,Daisy,23
