t,experiment_id,user,current_round
260204.902133192,26,Kaylee,0
260215.959075048,26,Kaylee,1
260228.106151112,26,Kaylee,2
260240.104177647,26,Kaylee,3
260253.467991315,26,Kaylee,4
260271.913988704,26,Kaylee,5
260289.837811139,26,Kaylee,6
260303.986093907,26,Kaylee,7
260316.114286503,26,Kaylee,8
260326.907233622,26,Kaylee,9
260337.921454711,26,Kaylee,10
260350.067591709,26,Kaylee,11
260360.853966423,26,Kaylee,12
260371.862684616,26,Kaylee,13
260383.10203411,26,Kaylee,14
260396.539785711,26,Kaylee,15
260406.898697388,26,Kaylee,16
260418.336460887,26,Kaylee,17
260430.883115007,26,Kaylee,18
260441.012969547,26,Kaylee,19
260451.143586936,26,Kaylee,20
260461.777773363,26,Kaylee,21
260471.840184698,26,Kaylee,22
260482.186163635,26,Kaylee,23
