t,experiment_id,user,current_round
260204.809568008,26,Reita,0
260215.854414441,26,Reita,1
260228.015339302,26,Reita,2
260240.006739132,26,Reita,3
260253.381161755,26,Reita,4
260271.739377536,26,Reita,5
260289.692789636,26,Reita,6
260303.879195334,26,Reita,7
260316.010248897,26,Reita,8
260326.798682493,26,Reita,9
260337.800171845,26,Reita,10
260349.951183681,26,Reita,11
260360.744129257,26,Reita,12
260371.755490934,26,Reita,13
260382.983913272,26,Reita,14
260393.241641104,26,Reita,15
260405.070486612,26,Reita,16
260416.697772227,26,Reita,17
260427.217119659,26,Reita,18
260438.582910305,26,Reita,19
260449.132262954,26,Reita,20
260459.582999239,26,Reita,21
260469.811977743,26,Reita,22
260481.145618491,26,Reita,23
