t,experiment_id,user,current_round
260204.749226059,26,Vicki,0
260215.804367038,26,Vicki,1
260226.351384296,26,Vicki,2
260239.951738214,26,Vicki,3
260253.318311217,26,Vicki,4
260271.596304638,26,Vicki,5
260289.610401312,26,Vicki,6
260303.81922091,26,Vicki,7
260315.94207785,26,Vicki,8
260326.728382379,26,Vicki,9
260337.74367358,26,Vicki,10
260349.887491499,26,Vicki,11
260360.698728565,26,Vicki,12
260371.700186606,26,Vicki,13
260382.929333904,26,Vicki,14
260393.192799025,26,Vicki,15
260405.00992941,26,Vicki,16
260416.610217934,26,Vicki,17
260427.168975951,26,Vicki,18
260438.534570238,26,Vicki,19
260449.085278503,26,Vicki,20
260459.515154081,26,Vicki,21
260469.745189266,26,Vicki,22
260481.086580243,26,Vicki,23
