t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.577279873,39,02m803ncyuqn,Vicki,1,q84cv2,21,41606,1,0,0,612,True,2
260224.585536776,39,02m803ncyuqn,Vicki,1,q84cv2,74,35765,1,0,0,612,True,1
260224.597120963,39,02m803ncyuqn,Vicki,1,q84cv2,34,32787,1,0,0,612,True,0
260225.65062619,39,02m803ncyuqn,Vicki,1,q84cv2,37,31785,1,0,0,612,True,3
260225.66068168,39,02m803ncyuqn,Vicki,1,q84cv2,46,11413,1,0,0,612,True,2
260225.66823243,39,02m803ncyuqn,Vicki,1,q84cv2,13,55017,1,0,0,612,True,1
260225.675936019,39,02m803ncyuqn,Vicki,1,q84cv2,63,50320,1,0,0,612,True,0
260226.345700039,39,02m803ncyuqn,Vicki,1,q84cv2,45,46632,1,0,0,612,True,0
260227.271676804,39,02m803ncyuqn,Vicki,1,q84cv2,39,15981,1,0,0,612,True,0
260241.66988519,39,02m803ncyuqn,Vicki,2,q84cv2,0,47007,1,0,0,612,True,0
260244.300092303,39,02m803ncyuqn,Vicki,2,q84cv2,50,23678,1,0,0,612,True,0
260247.395800734,39,02m803ncyuqn,Vicki,2,q84cv2,56,4915,1,0,0,612,True,0
260255.350285633,39,02m803ncyuqn,Vicki,3,q84cv2,29,57102,1,0,0,612,True,0
260263.519637748,39,02m803ncyuqn,Vicki,4,q84cv2,43,11762,1,0,0,612,True,0
260269.017596462,39,02m803ncyuqn,Vicki,4,q84cv2,44,30337,1,0,0,612,True,2
260269.028596049,39,02m803ncyuqn,Vicki,4,q84cv2,15,36602,1,0,0,612,True,1
260269.03809717,39,02m803ncyuqn,Vicki,4,q84cv2,51,27507,1,0,0,612,True,0
260289.653233475,39,02m803ncyuqn,Vicki,6,q84cv2,8,30664,1,0,0,612,True,1
260289.674903216,39,02m803ncyuqn,Vicki,6,q84cv2,65,13828,1,0,0,612,True,0
260297.216511593,39,02m803ncyuqn,Vicki,6,q84cv2,11,3382,1,0,0,612,True,0
260301.994261381,39,02m803ncyuqn,Vicki,7,q84cv2,0,64421,1,0,0,612,True,0
260309.526878536,39,02m803ncyuqn,Vicki,7,q84cv2,99,11223,1,0,0,612,True,1
260309.53483123,39,02m803ncyuqn,Vicki,7,q84cv2,97,44341,1,0,0,612,True,0
260314.659736999,39,02m803ncyuqn,Vicki,8,q84cv2,94,20289,1,0,0,612,True,0
260316.349239295,39,02m803ncyuqn,Vicki,8,q84cv2,50,23678,2,0,0,100,True,1
260316.356586306,39,02m803ncyuqn,Vicki,8,q84cv2,91,34817,2,0,0,100,True,0
260320.456879017,39,02m803ncyuqn,Vicki,8,q84cv2,94,28403,2,0,0,100,True,4
260320.464102838,39,02m803ncyuqn,Vicki,8,q84cv2,95,42845,2,0,0,100,True,3
260320.471457976,39,02m803ncyuqn,Vicki,8,q84cv2,64,47632,2,0,0,100,True,2
260320.478856831,39,02m803ncyuqn,Vicki,8,q84cv2,56,4915,2,0,0,100,True,1
260320.486234016,39,02m803ncyuqn,Vicki,8,q84cv2,0,47007,2,0,0,100,True,0
260328.651631104,39,02m803ncyuqn,Vicki,9,q84cv2,89,43651,1,0,0,612,True,1
260328.659450781,39,02m803ncyuqn,Vicki,9,q84cv2,39,29411,1,0,0,612,True,0
260334.414417203,39,02m803ncyuqn,Vicki,9,q84cv2,87,59670,1,0,0,612,True,0
260337.952576191,39,02m803ncyuqn,Vicki,10,q84cv2,85,62530,1,0,0,612,True,0
260340.007268977,39,02m803ncyuqn,Vicki,10,q84cv2,84,9820,1,0,0,612,True,0
260342.887051841,39,02m803ncyuqn,Vicki,10,q84cv2,26,40770,2,0,0,100,True,2
260342.895815258,39,02m803ncyuqn,Vicki,10,q84cv2,51,27507,2,0,0,100,True,1
260342.903639844,39,02m803ncyuqn,Vicki,10,q84cv2,35,11391,1,0,0,612,True,0
260344.791393814,39,02m803ncyuqn,Vicki,10,q84cv2,82,9386,2,0,0,100,True,0
260349.132270915,39,02m803ncyuqn,Vicki,11,q84cv2,40,24663,1,0,0,612,True,1
260349.140445767,39,02m803ncyuqn,Vicki,11,q84cv2,60,52800,2,0,0,100,True,0
260352.045303597,39,02m803ncyuqn,Vicki,11,q84cv2,80,13470,1,0,0,612,True,3
260352.052532593,39,02m803ncyuqn,Vicki,11,q84cv2,32,35891,1,0,0,612,True,2
260352.059891217,39,02m803ncyuqn,Vicki,11,q84cv2,79,36570,1,0,0,612,True,1
260352.067364967,39,02m803ncyuqn,Vicki,11,q84cv2,75,13398,1,0,0,612,True,0
260354.549298193,39,02m803ncyuqn,Vicki,11,q84cv2,30,16559,1,0,0,612,True,0
260357.018909705,39,02m803ncyuqn,Vicki,11,q84cv2,6,40299,2,0,0,100,True,5
260357.026474979,39,02m803ncyuqn,Vicki,11,q84cv2,62,10014,2,0,0,100,True,4
260357.033960954,39,02m803ncyuqn,Vicki,11,q84cv2,47,51726,2,0,0,100,True,3
260357.041262536,39,02m803ncyuqn,Vicki,11,q84cv2,17,31005,2,0,0,100,True,2
260357.048422271,39,02m803ncyuqn,Vicki,11,q84cv2,19,36400,2,0,0,100,True,1
260357.055796489,39,02m803ncyuqn,Vicki,11,q84cv2,4,14771,2,0,0,100,True,0
260370.556123123,39,02m803ncyuqn,Vicki,13,q84cv2,89,57063,2,0,0,100,True,0
260373.405054169,39,02m803ncyuqn,Vicki,13,q84cv2,91,48910,2,0,0,100,True,0
260375.110663349,39,02m803ncyuqn,Vicki,13,q84cv2,95,62570,2,0,0,100,True,0
260375.871616097,39,02m803ncyuqn,Vicki,13,q84cv2,39,29411,2,0,0,100,True,0
260391.671323465,39,02m803ncyuqn,Vicki,15,q84cv2,59,41164,1,0,0,612,True,4
260391.684639244,39,02m803ncyuqn,Vicki,15,q84cv2,58,31100,1,0,0,612,True,3
260391.693555313,39,02m803ncyuqn,Vicki,15,q84cv2,18,18403,1,0,0,612,True,2
260391.70154406,39,02m803ncyuqn,Vicki,15,q84cv2,2,27666,1,0,0,612,True,1
260391.709568313,39,02m803ncyuqn,Vicki,15,q84cv2,13,25891,1,0,0,612,True,0
260397.649740708,39,02m803ncyuqn,Vicki,15,q84cv2,32,19952,1,0,0,612,True,0
260403.794398065,39,02m803ncyuqn,Vicki,16,q84cv2,23,22583,1,0,0,612,True,0
260406.063976953,39,02m803ncyuqn,Vicki,16,q84cv2,21,13743,1,0,0,612,True,1
260406.07170374,39,02m803ncyuqn,Vicki,16,q84cv2,1,6366,1,0,0,612,True,0
260407.543964457,39,02m803ncyuqn,Vicki,16,q84cv2,10,58145,1,0,0,612,True,3
260407.554839022,39,02m803ncyuqn,Vicki,16,q84cv2,13,29036,1,0,0,612,True,2
260407.56355395,39,02m803ncyuqn,Vicki,16,q84cv2,21,48375,1,0,0,612,True,1
260407.571417447,39,02m803ncyuqn,Vicki,16,q84cv2,27,6950,1,0,0,612,True,0
