t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.747917329,39,0p0yjl75qw09,Magaly,0,q84cv2,93,22130,1,0,0,612,True,1
260224.75547173,39,0p0yjl75qw09,Magaly,0,q84cv2,52,47588,1,0,0,612,True,0
260225.890399983,39,0p0yjl75qw09,Magaly,1,q84cv2,18,60995,1,0,0,612,True,0
260226.457889978,39,0p0yjl75qw09,Magaly,1,q84cv2,27,9925,1,0,0,612,True,0
260226.823488995,39,0p0yjl75qw09,Magaly,1,q84cv2,48,3576,1,0,0,612,True,0
260229.306339207,39,0p0yjl75qw09,Magaly,1,q84cv2,40,24364,1,0,0,612,True,0
260242.804165859,39,0p0yjl75qw09,Magaly,2,q84cv2,78,44499,1,0,0,612,True,0
260247.755712998,39,0p0yjl75qw09,Magaly,2,q84cv2,75,47825,1,0,0,612,True,1
260247.763513407,39,0p0yjl75qw09,Magaly,2,q84cv2,66,39256,1,0,0,612,True,0
260253.110276294,39,0p0yjl75qw09,Magaly,3,q84cv2,77,37186,1,0,0,612,True,1
260253.12061157,39,0p0yjl75qw09,Magaly,3,q84cv2,9,51043,1,0,0,612,True,0
260259.012625606,39,0p0yjl75qw09,Magaly,3,q84cv2,85,26921,1,0,0,612,True,0
260264.07105578,39,0p0yjl75qw09,Magaly,3,q84cv2,84,23073,1,0,0,612,True,0
260277.517661075,39,0p0yjl75qw09,Magaly,4,q84cv2,60,52800,1,0,0,612,True,0
260306.643392944,39,0p0yjl75qw09,Magaly,6,q84cv2,49,24158,1,0,0,612,True,0
260314.100979473,39,0p0yjl75qw09,Magaly,7,q84cv2,96,20277,1,0,0,612,True,0
260322.017413483,39,0p0yjl75qw09,Magaly,8,q84cv2,22,15761,2,0,0,100,True,0
260338.561411167,39,0p0yjl75qw09,Magaly,9,q84cv2,86,35719,1,0,0,612,True,1
260338.574039247,39,0p0yjl75qw09,Magaly,9,q84cv2,37,1704,1,0,0,612,True,0
260351.768427463,39,0p0yjl75qw09,Magaly,11,q84cv2,77,37186,2,0,0,100,True,2
260351.776173184,39,0p0yjl75qw09,Magaly,11,q84cv2,82,36260,1,0,0,612,True,1
260351.783414923,39,0p0yjl75qw09,Magaly,11,q84cv2,77,29181,1,0,0,612,True,0
260358.216557884,39,0p0yjl75qw09,Magaly,11,q84cv2,79,60531,2,0,0,100,True,7
260358.224294488,39,0p0yjl75qw09,Magaly,11,q84cv2,61,35837,2,0,0,100,True,6
260358.232653915,39,0p0yjl75qw09,Magaly,11,q84cv2,28,19630,2,0,0,100,True,5
260358.240912446,39,0p0yjl75qw09,Magaly,11,q84cv2,88,30962,2,0,0,100,True,4
260358.248809239,39,0p0yjl75qw09,Magaly,11,q84cv2,65,13828,2,0,0,100,True,3
260358.256353252,39,0p0yjl75qw09,Magaly,11,q84cv2,81,7953,2,0,0,100,True,2
260358.263782714,39,0p0yjl75qw09,Magaly,11,q84cv2,49,20312,2,0,0,100,True,1
260358.270975452,39,0p0yjl75qw09,Magaly,11,q84cv2,8,30664,2,0,0,100,True,0
260363.124660772,39,0p0yjl75qw09,Magaly,11,q84cv2,29,44617,1,0,0,612,True,1
260363.132194155,39,0p0yjl75qw09,Magaly,11,q84cv2,70,27512,1,0,0,612,True,0
260365.274529118,39,0p0yjl75qw09,Magaly,12,q84cv2,68,5418,2,0,0,100,True,0
260368.603292106,39,0p0yjl75qw09,Magaly,12,q84cv2,46,14295,2,0,0,100,True,0
260375.442255497,39,0p0yjl75qw09,Magaly,13,q84cv2,94,20289,2,0,0,100,True,0
260376.567027682,39,0p0yjl75qw09,Magaly,13,q84cv2,38,51124,2,0,0,100,True,1
260376.574636013,39,0p0yjl75qw09,Magaly,13,q84cv2,90,64106,2,0,0,100,True,0
260379.439091104,39,0p0yjl75qw09,Magaly,13,q84cv2,23,59541,1,0,0,612,True,0
260382.206152064,39,0p0yjl75qw09,Magaly,13,q84cv2,20,40447,2,0,0,100,True,0
260383.756235415,39,0p0yjl75qw09,Magaly,13,q84cv2,84,23073,2,0,0,100,True,3
260383.764130435,39,0p0yjl75qw09,Magaly,13,q84cv2,85,62530,2,0,0,100,True,2
260383.771842471,39,0p0yjl75qw09,Magaly,13,q84cv2,54,46059,1,0,0,612,True,1
260383.779524438,39,0p0yjl75qw09,Magaly,13,q84cv2,55,13392,1,0,0,612,True,0
260384.99467716,39,0p0yjl75qw09,Magaly,13,q84cv2,87,59670,2,0,0,100,True,2
260385.002448365,39,0p0yjl75qw09,Magaly,13,q84cv2,35,11391,2,0,0,100,True,1
260385.010098259,39,0p0yjl75qw09,Magaly,13,q84cv2,84,9820,2,0,0,100,True,0
260395.519742273,39,0p0yjl75qw09,Magaly,14,q84cv2,74,16910,1,0,0,612,True,3
260395.527601027,39,0p0yjl75qw09,Magaly,14,q84cv2,31,21623,2,0,0,100,True,2
260395.535558204,39,0p0yjl75qw09,Magaly,14,q84cv2,58,13362,1,0,0,612,True,1
260395.54328835,39,0p0yjl75qw09,Magaly,14,q84cv2,80,4728,1,0,0,612,True,0
260397.271646295,39,0p0yjl75qw09,Magaly,15,q84cv2,98,7765,1,0,0,612,True,0
260405.182399334,39,0p0yjl75qw09,Magaly,15,q84cv2,41,28624,1,0,0,612,True,0
260407.12182198,39,0p0yjl75qw09,Magaly,15,q84cv2,18,3076,1,0,0,612,True,0
260408.592643937,39,0p0yjl75qw09,Magaly,16,q84cv2,32,35891,2,0,0,100,True,0
260416.689820046,39,0p0yjl75qw09,Magaly,16,q84cv2,1,12926,1,0,0,612,True,0
