t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.3571756,39,1cimdcox1piy,Maurita,1,3p2278,4,24233,1,0,0,612,True,2
260224.364364698,39,1cimdcox1piy,Maurita,1,5gsg1w,58,35648,1,0,0,612,True,1
260224.371566154,39,1cimdcox1piy,Maurita,1,3p2278,58,54005,1,0,0,612,True,0
260225.320343342,39,1cimdcox1piy,Maurita,1,3p2278,20,15239,1,0,0,612,True,3
260225.3288111,39,1cimdcox1piy,Maurita,1,3p2278,69,23578,1,0,0,612,True,2
260225.336122138,39,1cimdcox1piy,Maurita,1,5gsg1w,84,57828,1,0,0,612,True,1
260225.344717375,39,1cimdcox1piy,Maurita,1,5gsg1w,98,18419,1,0,0,612,True,0
260226.11205057,39,1cimdcox1piy,Maurita,1,5gsg1w,78,44410,1,0,0,612,True,1
260226.119451184,39,1cimdcox1piy,Maurita,1,5gsg1w,79,61517,1,0,0,612,True,0
260226.595545204,39,1cimdcox1piy,Maurita,1,5gsg1w,71,13239,1,0,0,612,True,1
260226.603131419,39,1cimdcox1piy,Maurita,1,5gsg1w,17,45781,1,0,0,612,True,0
260227.026001723,39,1cimdcox1piy,Maurita,1,3p2278,84,55925,1,0,0,612,True,0
260227.219257784,39,1cimdcox1piy,Maurita,1,3p2278,75,36929,1,0,0,612,True,0
260227.647957465,39,1cimdcox1piy,Maurita,1,5gsg1w,59,18790,1,0,0,612,True,0
260228.181937321,39,1cimdcox1piy,Maurita,1,5gsg1w,13,13,1,0,0,612,True,0
260228.337193445,39,1cimdcox1piy,Maurita,1,3p2278,81,16886,1,0,0,612,True,0
260229.166606214,39,1cimdcox1piy,Maurita,1,3p2278,64,57515,1,0,0,612,True,0
260229.895304974,39,1cimdcox1piy,Maurita,1,3p2278,22,8458,1,0,0,612,True,0
260230.954600857,39,1cimdcox1piy,Maurita,1,3p2278,43,28086,1,0,0,612,True,0
260232.519617498,39,1cimdcox1piy,Maurita,1,3p2278,89,14952,1,0,0,612,True,7
260232.527783199,39,1cimdcox1piy,Maurita,1,3p2278,78,54506,1,0,0,612,True,6
260232.535332303,39,1cimdcox1piy,Maurita,1,3p2278,73,28770,1,0,0,612,True,5
260232.54349284,39,1cimdcox1piy,Maurita,1,3p2278,70,1007,1,0,0,612,True,4
260232.550904426,39,1cimdcox1piy,Maurita,1,3p2278,19,32208,1,0,0,612,True,3
260232.559024444,39,1cimdcox1piy,Maurita,1,3p2278,42,36791,1,0,0,612,True,2
260232.566514806,39,1cimdcox1piy,Maurita,1,3p2278,32,42806,1,0,0,612,True,1
260232.574506357,39,1cimdcox1piy,Maurita,1,3p2278,46,22931,1,0,0,612,True,0
260257.259638352,39,1cimdcox1piy,Maurita,4,3p2278,52,58516,1,0,0,612,True,39
260257.267477967,39,1cimdcox1piy,Maurita,4,3p2278,93,59319,1,0,0,612,True,38
260257.276466908,39,1cimdcox1piy,Maurita,4,3p2278,86,37520,1,0,0,612,True,37
260257.284156547,39,1cimdcox1piy,Maurita,4,3p2278,51,9759,1,0,0,612,True,36
260257.292935377,39,1cimdcox1piy,Maurita,4,3p2278,38,48242,1,0,0,612,True,35
260257.300483799,39,1cimdcox1piy,Maurita,4,3p2278,25,63168,1,0,0,612,True,34
260257.309953723,39,1cimdcox1piy,Maurita,4,3p2278,49,54830,1,0,0,612,True,33
260257.318027956,39,1cimdcox1piy,Maurita,4,3p2278,92,31943,1,0,0,612,True,32
260257.326682083,39,1cimdcox1piy,Maurita,4,3p2278,21,2505,1,0,0,612,True,31
260257.334521861,39,1cimdcox1piy,Maurita,4,3p2278,8,37576,1,0,0,612,True,30
260257.343514042,39,1cimdcox1piy,Maurita,4,3p2278,7,56212,1,0,0,612,True,29
260257.351308241,39,1cimdcox1piy,Maurita,4,3p2278,98,5776,1,0,0,612,True,28
260257.363471883,39,1cimdcox1piy,Maurita,4,3p2278,36,12694,1,0,0,612,True,27
260257.375838117,39,1cimdcox1piy,Maurita,4,3p2278,44,29132,1,0,0,612,True,26
260257.384373926,39,1cimdcox1piy,Maurita,4,3p2278,26,18566,1,0,0,612,True,25
260257.393364329,39,1cimdcox1piy,Maurita,4,3p2278,99,43577,1,0,0,612,True,24
260257.401234088,39,1cimdcox1piy,Maurita,4,3p2278,12,38986,1,0,0,612,True,23
260257.410189436,39,1cimdcox1piy,Maurita,4,3p2278,79,7332,1,0,0,612,True,22
260257.418409019,39,1cimdcox1piy,Maurita,4,3p2278,49,9505,1,0,0,612,True,21
260257.427059801,39,1cimdcox1piy,Maurita,4,3p2278,99,29315,1,0,0,612,True,20
260257.434623906,39,1cimdcox1piy,Maurita,4,3p2278,97,52525,1,0,0,612,True,19
260257.443376181,39,1cimdcox1piy,Maurita,4,3p2278,47,24112,1,0,0,612,True,18
260257.451489077,39,1cimdcox1piy,Maurita,4,3p2278,95,56311,1,0,0,612,True,17
260257.460147201,39,1cimdcox1piy,Maurita,4,3p2278,94,24753,1,0,0,612,True,16
260257.468571956,39,1cimdcox1piy,Maurita,4,3p2278,46,27953,1,0,0,612,True,15
260257.477161866,39,1cimdcox1piy,Maurita,4,3p2278,91,27461,1,0,0,612,True,14
260257.484882622,39,1cimdcox1piy,Maurita,4,3p2278,90,42706,1,0,0,612,True,13
260257.493961838,39,1cimdcox1piy,Maurita,4,3p2278,41,46065,1,0,0,612,True,12
260257.501622348,39,1cimdcox1piy,Maurita,4,3p2278,44,43791,1,0,0,612,True,11
260257.510067525,39,1cimdcox1piy,Maurita,4,3p2278,89,63171,1,0,0,612,True,10
