t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.740630771,39,1fygeies3fba,Otha,0,kie5tx,4,3726,1,0,0,612,True,0
260225.850774,39,1fygeies3fba,Otha,1,kie5tx,90,19524,1,0,0,612,True,4
260225.859407887,39,1fygeies3fba,Otha,1,kie5tx,56,30745,1,0,0,612,True,3
260225.867360731,39,1fygeies3fba,Otha,1,kie5tx,28,14275,1,0,0,612,True,2
260225.874940531,39,1fygeies3fba,Otha,1,kie5tx,72,49886,1,0,0,612,True,1
260225.882745172,39,1fygeies3fba,Otha,1,kie5tx,79,11477,1,0,0,612,True,0
260226.450609897,39,1fygeies3fba,Otha,1,kie5tx,57,9482,1,0,0,612,True,0
260228.242311078,39,1fygeies3fba,Otha,1,kie5tx,14,36263,1,0,0,612,True,0
260228.686472015,39,1fygeies3fba,Otha,1,kie5tx,62,7856,1,0,0,612,True,0
260229.29942453,39,1fygeies3fba,Otha,1,kie5tx,45,47769,1,0,0,612,True,0
260230.104398724,39,1fygeies3fba,Otha,1,kie5tx,44,41566,2,0,0,100,True,1
260230.112804813,39,1fygeies3fba,Otha,1,kie5tx,12,1413,1,0,0,612,True,0
260247.747122274,39,1fygeies3fba,Otha,2,kie5tx,31,2388,1,0,0,612,True,0
260253.101449588,39,1fygeies3fba,Otha,3,kie5tx,26,16110,1,0,0,612,True,0
260264.06307586,39,1fygeies3fba,Otha,3,kie5tx,48,36313,1,0,0,612,True,0
260269.732378034,39,1fygeies3fba,Otha,4,kie5tx,7,33431,1,0,0,612,True,1
260269.739995968,39,1fygeies3fba,Otha,4,q84cv2,91,34817,1,0,0,612,True,0
260277.509156977,39,1fygeies3fba,Otha,4,kie5tx,97,24559,1,0,0,612,True,0
260281.745038097,39,1fygeies3fba,Otha,5,q84cv2,56,4915,1,0,0,612,True,0
260284.347159014,39,1fygeies3fba,Otha,5,kie5tx,16,27875,2,0,0,100,True,0
260290.244305955,39,1fygeies3fba,Otha,5,q84cv2,86,54168,1,0,0,612,True,1
260290.252898068,39,1fygeies3fba,Otha,5,kie5tx,45,47769,2,0,0,100,True,0
260297.42601179,39,1fygeies3fba,Otha,6,q84cv2,43,11762,1,0,0,612,True,0
260300.865176123,39,1fygeies3fba,Otha,6,kie5tx,65,21327,2,0,0,100,True,6
260300.872468688,39,1fygeies3fba,Otha,6,kie5tx,52,41468,2,0,0,100,True,5
260300.880464891,39,1fygeies3fba,Otha,6,kie5tx,57,9482,2,0,0,100,True,4
260300.887769246,39,1fygeies3fba,Otha,6,kie5tx,87,64536,2,0,0,100,True,3
260300.895323268,39,1fygeies3fba,Otha,6,kie5tx,79,11477,2,0,0,100,True,2
260300.902897265,39,1fygeies3fba,Otha,6,kie5tx,70,5133,1,0,0,612,True,1
260300.910470759,39,1fygeies3fba,Otha,6,kie5tx,89,37769,1,0,0,612,True,0
260302.143204417,39,1fygeies3fba,Otha,6,q84cv2,92,34572,2,0,0,100,True,5
260302.151088846,39,1fygeies3fba,Otha,6,q84cv2,50,23678,2,0,0,100,True,4
260302.19834358,39,1fygeies3fba,Otha,6,q84cv2,24,33085,2,0,0,100,True,3
260302.223826165,39,1fygeies3fba,Otha,6,q84cv2,16,53927,2,0,0,100,True,2
260302.247496277,39,1fygeies3fba,Otha,6,q84cv2,33,34412,2,0,0,100,True,1
260302.255198923,39,1fygeies3fba,Otha,6,kie5tx,54,38681,1,0,0,612,True,0
