t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260243.74345228,39,3jmvay8h4mna,Charissa,2,h2lldu,84,26474,1,0,612,0,True,2
260243.750644859,39,3jmvay8h4mna,Charissa,2,h2lldu,84,26474,2,100,0,0,True,2
260243.759050088,39,3jmvay8h4mna,Charissa,2,h2lldu,72,38232,1,0,612,0,True,1
260243.768131813,39,3jmvay8h4mna,Charissa,2,h2lldu,72,38232,2,100,0,0,True,1
260243.77878062,39,3jmvay8h4mna,Charissa,2,h2lldu,48,27527,1,0,612,0,True,0
260243.787066615,39,3jmvay8h4mna,Charissa,2,h2lldu,48,27527,2,100,0,0,True,0
260246.702013172,39,3jmvay8h4mna,Charissa,3,kie5tx,28,14275,1,0,612,0,True,0
260246.709491818,39,3jmvay8h4mna,Charissa,3,kie5tx,28,14275,2,100,0,0,True,0
260251.267019758,39,3jmvay8h4mna,Charissa,3,h2lldu,31,32672,1,0,612,0,True,7
260251.27514332,39,3jmvay8h4mna,Charissa,3,h2lldu,31,32672,2,100,0,0,True,7
260251.282810179,39,3jmvay8h4mna,Charissa,3,kie5tx,41,30082,1,0,612,0,True,6
260251.290234384,39,3jmvay8h4mna,Charissa,3,kie5tx,41,30082,2,100,0,0,True,6
260251.298993282,39,3jmvay8h4mna,Charissa,3,h2lldu,39,50158,1,0,612,0,True,5
260251.30680519,39,3jmvay8h4mna,Charissa,3,h2lldu,39,50158,2,100,0,0,True,5
260251.316372288,39,3jmvay8h4mna,Charissa,3,h2lldu,54,27579,1,0,612,0,True,4
260251.324192386,39,3jmvay8h4mna,Charissa,3,h2lldu,54,27579,2,100,0,0,True,4
260251.332996058,39,3jmvay8h4mna,Charissa,3,h2lldu,50,33115,1,0,612,0,True,3
260251.344859898,39,3jmvay8h4mna,Charissa,3,h2lldu,50,33115,2,100,0,0,True,3
260251.356409247,39,3jmvay8h4mna,Charissa,3,h2lldu,51,63351,1,0,612,0,True,2
260251.366037001,39,3jmvay8h4mna,Charissa,3,h2lldu,51,63351,2,100,0,0,True,2
260251.373986026,39,3jmvay8h4mna,Charissa,3,h2lldu,27,46690,1,0,612,0,True,1
260251.382903729,39,3jmvay8h4mna,Charissa,3,h2lldu,27,46690,2,100,0,0,True,1
260251.390590799,39,3jmvay8h4mna,Charissa,3,kie5tx,24,54920,1,0,612,0,True,0
260251.399520072,39,3jmvay8h4mna,Charissa,3,kie5tx,24,54920,2,100,0,0,True,0
260262.098801552,39,3jmvay8h4mna,Charissa,4,kie5tx,23,61455,1,0,612,0,True,4
260262.106845024,39,3jmvay8h4mna,Charissa,4,kie5tx,23,61455,2,100,0,0,True,4
260262.123093348,39,3jmvay8h4mna,Charissa,4,h2lldu,12,49998,1,0,612,0,True,3
260262.136019577,39,3jmvay8h4mna,Charissa,4,h2lldu,12,49998,2,100,0,0,True,3
260262.154476998,39,3jmvay8h4mna,Charissa,4,h2lldu,85,57187,1,0,612,0,True,2
260262.200154436,39,3jmvay8h4mna,Charissa,4,h2lldu,85,57187,2,100,0,0,True,2
260262.209011846,39,3jmvay8h4mna,Charissa,4,h2lldu,41,20636,1,0,612,0,True,1
260262.217115497,39,3jmvay8h4mna,Charissa,4,h2lldu,41,20636,2,100,0,0,True,1
260262.22575023,39,3jmvay8h4mna,Charissa,4,kie5tx,72,49886,1,0,612,0,True,0
260262.234053787,39,3jmvay8h4mna,Charissa,4,kie5tx,72,49886,2,100,0,0,True,0
260267.03144512,39,3jmvay8h4mna,Charissa,4,kie5tx,90,19524,1,0,612,0,True,4
260267.042669204,39,3jmvay8h4mna,Charissa,4,kie5tx,90,19524,2,100,0,0,True,4
260267.051783481,39,3jmvay8h4mna,Charissa,4,kie5tx,56,30745,1,0,612,0,True,3
260267.06320352,39,3jmvay8h4mna,Charissa,4,kie5tx,56,30745,2,100,0,0,True,3
260267.073550209,39,3jmvay8h4mna,Charissa,4,kie5tx,55,2753,1,0,612,0,True,2
260267.086235432,39,3jmvay8h4mna,Charissa,4,kie5tx,55,2753,2,100,0,0,True,2
260267.099376973,39,3jmvay8h4mna,Charissa,4,kie5tx,86,49885,1,0,612,0,True,1
260267.134318854,39,3jmvay8h4mna,Charissa,4,kie5tx,86,49885,2,100,0,0,True,1
260267.148213565,39,3jmvay8h4mna,Charissa,4,kie5tx,64,16557,1,0,612,0,True,0
260267.161901088,39,3jmvay8h4mna,Charissa,4,kie5tx,64,16557,2,100,0,0,True,0
260287.793447865,39,3jmvay8h4mna,Charissa,6,kie5tx,77,26913,1,0,612,0,True,4
260287.806007796,39,3jmvay8h4mna,Charissa,6,kie5tx,77,26913,2,100,0,0,True,4
260287.814548731,39,3jmvay8h4mna,Charissa,6,kie5tx,80,36260,1,0,612,0,True,3
260287.82795972,39,3jmvay8h4mna,Charissa,6,kie5tx,80,36260,2,100,0,0,True,3
260287.840417153,39,3jmvay8h4mna,Charissa,6,kie5tx,19,49838,1,0,612,0,True,2
260287.849091723,39,3jmvay8h4mna,Charissa,6,kie5tx,19,49838,2,100,0,0,True,2
260287.862855379,39,3jmvay8h4mna,Charissa,6,kie5tx,39,33972,1,0,612,0,True,1
260287.876387571,39,3jmvay8h4mna,Charissa,6,kie5tx,39,33972,2,100,0,0,True,1
260287.888031573,39,3jmvay8h4mna,Charissa,6,kie5tx,22,54790,1,0,612,0,True,0
260287.900599924,39,3jmvay8h4mna,Charissa,6,kie5tx,22,54790,2,100,0,0,True,0
260303.598403065,39,3jmvay8h4mna,Charissa,7,kie5tx,13,31483,1,0,612,0,True,2
260303.611957796,39,3jmvay8h4mna,Charissa,7,kie5tx,13,31483,2,100,0,0,True,2
260303.619632368,39,3jmvay8h4mna,Charissa,7,kie5tx,85,49920,1,0,612,0,True,1
260303.627378591,39,3jmvay8h4mna,Charissa,7,kie5tx,85,49920,2,100,0,0,True,1
260303.634991288,39,3jmvay8h4mna,Charissa,7,kie5tx,49,11361,1,0,612,0,True,0
260303.64270906,39,3jmvay8h4mna,Charissa,7,kie5tx,49,11361,2,100,0,0,True,0
260319.352049022,39,3jmvay8h4mna,Charissa,9,kie5tx,47,10326,1,0,612,0,True,1
260319.360118105,39,3jmvay8h4mna,Charissa,9,kie5tx,47,10326,2,100,0,0,True,1
260319.367887313,39,3jmvay8h4mna,Charissa,9,kie5tx,74,38469,1,0,612,0,True,0
260319.375806215,39,3jmvay8h4mna,Charissa,9,kie5tx,74,38469,2,100,0,0,True,0
260337.517128196,39,3jmvay8h4mna,Charissa,10,h2lldu,13,59352,1,0,612,0,True,0
260337.524406549,39,3jmvay8h4mna,Charissa,10,h2lldu,13,59352,2,100,0,0,True,0
260342.706087322,39,3jmvay8h4mna,Charissa,11,kie5tx,84,44742,1,0,612,0,True,0
260342.713712479,39,3jmvay8h4mna,Charissa,11,kie5tx,84,44742,2,100,0,0,True,0
260346.0554471,39,3jmvay8h4mna,Charissa,11,kie5tx,97,11138,1,0,612,0,True,3
260346.063040917,39,3jmvay8h4mna,Charissa,11,kie5tx,97,11138,2,100,0,0,True,3
260346.071019225,39,3jmvay8h4mna,Charissa,11,kie5tx,0,61219,1,0,612,0,True,2
260346.078847336,39,3jmvay8h4mna,Charissa,11,kie5tx,0,61219,2,100,0,0,True,2
260346.086538685,39,3jmvay8h4mna,Charissa,11,h2lldu,63,36050,1,0,612,0,True,1
260346.097128168,39,3jmvay8h4mna,Charissa,11,h2lldu,63,36050,2,100,0,0,True,1
260346.107626669,39,3jmvay8h4mna,Charissa,11,kie5tx,59,32915,1,0,612,0,True,0
260346.115504898,39,3jmvay8h4mna,Charissa,11,kie5tx,59,32915,2,100,0,0,True,0
260351.847288132,39,3jmvay8h4mna,Charissa,11,h2lldu,99,23790,1,0,612,0,True,0
260351.85481769,39,3jmvay8h4mna,Charissa,11,h2lldu,99,23790,2,100,0,0,True,0
260359.87105283,39,3jmvay8h4mna,Charissa,12,kie5tx,48,40136,1,0,612,0,True,2
260359.87930771,39,3jmvay8h4mna,Charissa,12,kie5tx,48,40136,2,100,0,0,True,2
260359.887339351,39,3jmvay8h4mna,Charissa,12,kie5tx,66,12875,1,0,612,0,True,1
260359.8964197,39,3jmvay8h4mna,Charissa,12,kie5tx,66,12875,2,100,0,0,True,1
260359.904090821,39,3jmvay8h4mna,Charissa,12,kie5tx,92,11255,1,0,612,0,True,0
260359.911790354,39,3jmvay8h4mna,Charissa,12,kie5tx,92,11255,2,100,0,0,True,0
260361.88605938,39,3jmvay8h4mna,Charissa,12,kie5tx,43,28363,1,0,612,0,True,0
260361.893967764,39,3jmvay8h4mna,Charissa,12,kie5tx,43,28363,2,100,0,0,True,0
260377.630485607,39,3jmvay8h4mna,Charissa,14,kie5tx,89,13385,1,0,612,0,True,1
260377.639286024,39,3jmvay8h4mna,Charissa,14,kie5tx,89,13385,2,100,0,0,True,1
260377.64735348,39,3jmvay8h4mna,Charissa,14,kie5tx,51,19136,1,0,612,0,True,0
260377.655251971,39,3jmvay8h4mna,Charissa,14,kie5tx,51,19136,2,100,0,0,True,0
260394.020669963,39,3jmvay8h4mna,Charissa,15,kie5tx,55,50476,1,0,612,0,True,0
260394.028232613,39,3jmvay8h4mna,Charissa,15,kie5tx,55,50476,2,100,0,0,True,0
260403.406091464,39,3jmvay8h4mna,Charissa,16,kie5tx,20,14984,1,0,612,0,True,2
260403.414126321,39,3jmvay8h4mna,Charissa,16,kie5tx,20,14984,2,100,0,0,True,2
260403.422250878,39,3jmvay8h4mna,Charissa,16,kie5tx,91,51942,1,0,612,0,True,1
260403.430209284,39,3jmvay8h4mna,Charissa,16,kie5tx,91,51942,2,100,0,0,True,1
260403.439801012,39,3jmvay8h4mna,Charissa,16,kie5tx,84,25875,1,0,612,0,True,0
260403.448504225,39,3jmvay8h4mna,Charissa,16,kie5tx,84,25875,2,100,0,0,True,0
260405.562403416,39,3jmvay8h4mna,Charissa,16,kie5tx,91,62250,1,0,612,0,True,0
260405.570359234,39,3jmvay8h4mna,Charissa,16,kie5tx,91,62250,2,100,0,0,True,0
