t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260302.047997781,39,44p4qd2nr50r,Renna,7,rqd2i7,30,19618,2,0,100,0,True,0
260333.002530734,39,44p4qd2nr50r,Renna,9,rqd2i7,89,44084,2,0,100,0,True,1
260333.009701101,39,44p4qd2nr50r,Renna,9,rqd2i7,67,23997,2,0,100,0,True,0
260339.180211805,39,44p4qd2nr50r,Renna,10,rqd2i7,81,55933,2,0,100,0,True,0
260340.868036334,39,44p4qd2nr50r,Renna,10,rqd2i7,65,60827,2,0,100,0,True,0
260343.590831641,39,44p4qd2nr50r,Renna,10,rqd2i7,43,17932,2,0,100,0,True,0
260364.799643503,39,44p4qd2nr50r,Renna,12,rqd2i7,9,63040,2,0,100,0,True,0
260368.463615316,39,44p4qd2nr50r,Renna,12,rqd2i7,35,6615,2,0,100,0,True,0
260371.418872415,39,44p4qd2nr50r,Renna,13,rqd2i7,49,341,2,0,100,0,True,1
260371.427288559,39,44p4qd2nr50r,Renna,13,rqd2i7,2,36121,2,0,100,0,True,0
260373.778139915,39,44p4qd2nr50r,Renna,13,rqd2i7,45,13706,2,0,100,0,True,0
260381.927567279,39,44p4qd2nr50r,Renna,14,rqd2i7,57,35521,2,0,100,0,True,3
260381.935176508,39,44p4qd2nr50r,Renna,14,rqd2i7,71,36623,2,0,100,0,True,2
260381.942825895,39,44p4qd2nr50r,Renna,14,rqd2i7,45,34659,2,0,100,0,True,1
260381.950204172,39,44p4qd2nr50r,Renna,14,rqd2i7,47,41972,2,0,100,0,True,0
260383.681675586,39,44p4qd2nr50r,Renna,14,rqd2i7,41,20729,2,0,100,0,True,0
260386.541803162,39,44p4qd2nr50r,Renna,14,rqd2i7,44,26954,2,0,100,0,True,0
260387.964867912,39,44p4qd2nr50r,Renna,14,rqd2i7,51,46249,2,0,100,0,True,1
260387.972524366,39,44p4qd2nr50r,Renna,14,rqd2i7,74,17583,2,0,100,0,True,0
260393.223989601,39,44p4qd2nr50r,Renna,15,rqd2i7,97,19225,2,0,100,0,True,1
260393.231493629,39,44p4qd2nr50r,Renna,15,rqd2i7,60,43937,2,0,100,0,True,0
260399.780872291,39,44p4qd2nr50r,Renna,15,rqd2i7,62,10519,2,0,100,0,True,0
260449.443880512,39,44p4qd2nr50r,Renna,20,rqd2i7,51,34088,2,0,100,0,True,1
260449.453801823,39,44p4qd2nr50r,Renna,20,rqd2i7,47,15693,2,0,100,0,True,0
260455.049394224,39,44p4qd2nr50r,Renna,20,rqd2i7,47,31902,2,0,100,0,True,0
260456.008413198,39,44p4qd2nr50r,Renna,20,rqd2i7,60,37918,2,0,100,0,True,0
260457.960643046,39,44p4qd2nr50r,Renna,20,rqd2i7,68,23882,2,0,100,0,True,0
260470.708047059,39,44p4qd2nr50r,Renna,22,rqd2i7,58,41100,2,0,100,0,True,0
260472.712580621,39,44p4qd2nr50r,Renna,22,rqd2i7,58,16131,2,0,100,0,True,0
260473.598396748,39,44p4qd2nr50r,Renna,22,rqd2i7,58,56877,2,0,100,0,True,1
260473.606020183,39,44p4qd2nr50r,Renna,22,rqd2i7,58,54241,2,0,100,0,True,0
