t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260297.913888184,39,4982nt8gwhko,Julianna,6,3eqg9i,95,12662,2,0,100,0,True,0
260301.04164695,39,4982nt8gwhko,Julianna,6,3eqg9i,68,52017,2,0,100,0,True,0
260302.596047372,39,4982nt8gwhko,Julianna,6,3eqg9i,20,11755,2,0,100,0,True,1
260302.603619222,39,4982nt8gwhko,Julianna,6,3eqg9i,76,29190,2,0,100,0,True,0
260321.056828288,39,4982nt8gwhko,Julianna,8,3eqg9i,0,33462,2,0,100,0,True,1
260321.066522467,39,4982nt8gwhko,Julianna,8,3eqg9i,21,49030,2,0,100,0,True,0
260326.83931562,39,4982nt8gwhko,Julianna,8,3eqg9i,67,18910,2,0,100,0,True,0
260331.696461264,39,4982nt8gwhko,Julianna,9,3eqg9i,44,21724,2,0,100,0,True,2
260331.705893488,39,4982nt8gwhko,Julianna,9,3eqg9i,24,35856,2,0,100,0,True,1
260331.713466186,39,4982nt8gwhko,Julianna,9,3eqg9i,78,22857,2,0,100,0,True,0
260343.15850766,39,4982nt8gwhko,Julianna,10,3eqg9i,37,51304,2,0,100,0,True,0
260344.966590647,39,4982nt8gwhko,Julianna,10,3eqg9i,80,44714,2,0,100,0,True,0
260349.585287959,39,4982nt8gwhko,Julianna,10,3eqg9i,17,50010,2,0,100,0,True,0
260354.6404906,39,4982nt8gwhko,Julianna,11,3eqg9i,4,16550,2,0,100,0,True,0
260373.464243308,39,4982nt8gwhko,Julianna,13,3eqg9i,96,40502,2,0,100,0,True,0
260376.104180184,39,4982nt8gwhko,Julianna,13,3eqg9i,97,15899,2,0,100,0,True,0
260387.843525021,39,4982nt8gwhko,Julianna,14,3eqg9i,83,5048,2,0,100,0,True,3
260387.850961224,39,4982nt8gwhko,Julianna,14,3eqg9i,41,4868,2,0,100,0,True,2
260387.862791662,39,4982nt8gwhko,Julianna,14,3eqg9i,74,19503,2,0,100,0,True,1
260387.870733366,39,4982nt8gwhko,Julianna,14,3eqg9i,60,1572,2,0,100,0,True,0
260399.741163942,39,4982nt8gwhko,Julianna,15,3eqg9i,37,26022,2,0,100,0,True,2
260399.748912055,39,4982nt8gwhko,Julianna,15,3eqg9i,16,1996,2,0,100,0,True,1
260399.756907887,39,4982nt8gwhko,Julianna,15,3eqg9i,35,2210,2,0,100,0,True,0
260434.064225294,39,4982nt8gwhko,Julianna,18,3eqg9i,10,6601,2,0,100,0,True,0
260435.575222809,39,4982nt8gwhko,Julianna,18,3eqg9i,6,31259,2,0,100,0,True,2
260435.582485028,39,4982nt8gwhko,Julianna,18,3eqg9i,4,61642,2,0,100,0,True,1
260435.589873335,39,4982nt8gwhko,Julianna,18,3eqg9i,81,27417,2,0,100,0,True,0
260438.91287306,39,4982nt8gwhko,Julianna,18,3eqg9i,41,562,2,0,100,0,True,0
260455.479279235,39,4982nt8gwhko,Julianna,20,3eqg9i,81,30725,2,0,100,0,True,0
260456.963687839,39,4982nt8gwhko,Julianna,20,3eqg9i,31,8482,2,0,100,0,True,4
260456.971518988,39,4982nt8gwhko,Julianna,20,3eqg9i,84,44409,2,0,100,0,True,3
260456.978571448,39,4982nt8gwhko,Julianna,20,3eqg9i,6,21901,2,0,100,0,True,2
260456.996316965,39,4982nt8gwhko,Julianna,20,3eqg9i,84,9006,2,0,100,0,True,1
260457.004340327,39,4982nt8gwhko,Julianna,20,3eqg9i,6,57533,2,0,100,0,True,0
260459.105395532,39,4982nt8gwhko,Julianna,20,3eqg9i,84,42743,2,0,100,0,True,0
260484.240150757,39,4982nt8gwhko,Julianna,23,3eqg9i,36,36250,2,0,100,0,True,0
