t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260227.397866587,39,5nzg18wiwihb,Livia,1,kie5tx,6,10076,2,0,0,100,True,0
260228.050955498,39,5nzg18wiwihb,Livia,1,kie5tx,83,36639,2,0,0,100,True,0
260238.370905361,39,5nzg18wiwihb,Livia,2,kie5tx,28,14275,1,0,0,612,True,0
260240.239743983,39,5nzg18wiwihb,Livia,2,kie5tx,41,30082,1,0,0,612,True,0
260241.368888823,39,5nzg18wiwihb,Livia,2,kie5tx,16,27875,1,0,0,612,True,1
260241.376508825,39,5nzg18wiwihb,Livia,2,kie5tx,14,36263,1,0,0,612,True,0
260242.263888391,39,5nzg18wiwihb,Livia,2,kie5tx,62,7856,1,0,0,612,True,1
260242.272168451,39,5nzg18wiwihb,Livia,2,kie5tx,45,47769,1,0,0,612,True,0
260251.608324871,39,5nzg18wiwihb,Livia,3,kie5tx,29,1061,1,0,0,612,True,4
260251.615988776,39,5nzg18wiwihb,Livia,3,kie5tx,27,3895,1,0,0,612,True,3
260251.623987729,39,5nzg18wiwihb,Livia,3,kie5tx,86,49885,1,0,0,612,True,2
260251.632901943,39,5nzg18wiwihb,Livia,3,kie5tx,64,16557,1,0,0,612,True,1
260251.640412052,39,5nzg18wiwihb,Livia,3,kie5tx,15,56267,1,0,0,612,True,0
260258.571944592,39,5nzg18wiwihb,Livia,4,kie5tx,28,14275,2,0,0,100,True,1
260258.587896273,39,5nzg18wiwihb,Livia,4,kie5tx,93,9947,2,0,0,100,True,0
260262.446309805,39,5nzg18wiwihb,Livia,4,kie5tx,37,7724,2,0,0,100,True,1
260262.468975005,39,5nzg18wiwihb,Livia,4,kie5tx,24,54920,2,0,0,100,True,0
260267.399840898,39,5nzg18wiwihb,Livia,4,kie5tx,60,24768,2,0,0,100,True,6
260267.414579288,39,5nzg18wiwihb,Livia,4,kie5tx,88,60570,2,0,0,100,True,5
260267.438544128,39,5nzg18wiwihb,Livia,4,kie5tx,65,21327,2,0,0,100,True,4
260267.44769982,39,5nzg18wiwihb,Livia,4,kie5tx,77,26913,1,0,0,612,True,3
260267.460023526,39,5nzg18wiwihb,Livia,4,kie5tx,2,22637,1,0,0,612,True,2
260267.47228619,39,5nzg18wiwihb,Livia,4,kie5tx,46,36001,1,0,0,612,True,1
260267.480464299,39,5nzg18wiwihb,Livia,4,kie5tx,35,32757,1,0,0,612,True,0
260276.259890211,39,5nzg18wiwihb,Livia,5,kie5tx,80,36260,1,0,0,612,True,5
260276.268768397,39,5nzg18wiwihb,Livia,5,kie5tx,19,49838,1,0,0,612,True,4
260276.276441044,39,5nzg18wiwihb,Livia,5,kie5tx,51,10054,1,0,0,612,True,3
260276.291143569,39,5nzg18wiwihb,Livia,5,kie5tx,40,18317,1,0,0,612,True,2
260276.299075025,39,5nzg18wiwihb,Livia,5,kie5tx,39,33972,1,0,0,612,True,1
260276.306691809,39,5nzg18wiwihb,Livia,5,kie5tx,68,41450,1,0,0,612,True,0
260280.878511649,39,5nzg18wiwihb,Livia,5,kie5tx,69,36448,1,0,0,612,True,0
260283.923866365,39,5nzg18wiwihb,Livia,6,kie5tx,4,3726,2,0,0,100,True,5
260283.931732954,39,5nzg18wiwihb,Livia,6,kie5tx,32,65018,2,0,0,100,True,4
260283.939217222,39,5nzg18wiwihb,Livia,6,kie5tx,27,3895,2,0,0,100,True,3
260283.946756286,39,5nzg18wiwihb,Livia,6,kie5tx,56,30745,2,0,0,100,True,2
260283.95468318,39,5nzg18wiwihb,Livia,6,kie5tx,64,16557,2,0,0,100,True,1
260283.96221139,39,5nzg18wiwihb,Livia,6,kie5tx,66,35933,2,0,0,100,True,0
260288.183957272,39,5nzg18wiwihb,Livia,6,kie5tx,18,54662,1,0,0,612,True,1
260288.203407524,39,5nzg18wiwihb,Livia,6,kie5tx,85,49920,1,0,0,612,True,0
260296.517725655,39,5nzg18wiwihb,Livia,7,kie5tx,36,63268,1,0,0,612,True,0
260301.689988979,39,5nzg18wiwihb,Livia,7,kie5tx,77,26913,2,0,0,100,True,1
260301.697866222,39,5nzg18wiwihb,Livia,7,kie5tx,22,54790,2,0,0,100,True,0
260303.720111183,39,5nzg18wiwihb,Livia,7,kie5tx,31,2388,2,0,0,100,True,1
260303.728487214,39,5nzg18wiwihb,Livia,7,kie5tx,9,9528,1,0,0,612,True,0
260314.353220772,39,5nzg18wiwihb,Livia,8,kie5tx,13,31483,2,0,0,100,True,2
260314.360866949,39,5nzg18wiwihb,Livia,8,kie5tx,49,11361,2,0,0,100,True,1
260314.37063449,39,5nzg18wiwihb,Livia,8,kie5tx,96,41601,2,0,0,100,True,0
260315.993277013,39,5nzg18wiwihb,Livia,8,kie5tx,92,43421,2,0,0,100,True,1
260316.002479096,39,5nzg18wiwihb,Livia,8,kie5tx,36,63268,2,0,0,100,True,0
260328.447378841,39,5nzg18wiwihb,Livia,9,kie5tx,1,26845,2,0,0,100,True,0
260330.848660627,39,5nzg18wiwihb,Livia,10,kie5tx,9,9528,2,0,0,100,True,0
260334.15579705,39,5nzg18wiwihb,Livia,10,kie5tx,97,24559,2,0,0,100,True,1
260334.163476449,39,5nzg18wiwihb,Livia,10,kie5tx,91,36306,1,0,0,612,True,0
260344.610996787,39,5nzg18wiwihb,Livia,11,kie5tx,25,41133,2,0,0,100,True,0
260348.618683104,39,5nzg18wiwihb,Livia,11,kie5tx,67,52402,1,0,0,612,True,2
260348.625861443,39,5nzg18wiwihb,Livia,11,kie5tx,61,51473,1,0,0,612,True,1
260348.633513353,39,5nzg18wiwihb,Livia,11,kie5tx,48,40136,1,0,0,612,True,0
260351.893616774,39,5nzg18wiwihb,Livia,11,kie5tx,59,32915,2,0,0,100,True,2
260351.900971652,39,5nzg18wiwihb,Livia,11,kie5tx,34,35956,2,0,0,100,True,1
260351.90839944,39,5nzg18wiwihb,Livia,11,kie5tx,96,25507,2,0,0,100,True,0
260354.311073911,39,5nzg18wiwihb,Livia,12,kie5tx,43,28363,1,0,0,612,True,1
260354.318668388,39,5nzg18wiwihb,Livia,12,kie5tx,56,28326,1,0,0,612,True,0
260356.769363468,39,5nzg18wiwihb,Livia,12,kie5tx,71,40346,2,0,0,100,True,0
260360.006439543,39,5nzg18wiwihb,Livia,12,kie5tx,94,12049,2,0,0,100,True,0
260362.014498726,39,5nzg18wiwihb,Livia,12,kie5tx,39,50022,1,0,0,612,True,0
260366.544107718,39,5nzg18wiwihb,Livia,13,kie5tx,91,50912,2,0,0,100,True,2
