t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.556422481,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,78,17521,1,0,0,612,True,0
260225.62090959,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,7,27480,1,0,0,612,True,2
260225.627577035,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,98,19905,1,0,0,612,True,1
260225.634943487,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,41,8345,1,0,0,612,True,0
260226.310139857,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,66,34533,1,0,0,612,True,2
260226.3176169,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,0,36033,1,0,0,612,True,1
260226.325052035,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,43,8393,1,0,0,612,True,0
260226.724858901,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,25,12739,1,0,0,612,True,1
260226.732492503,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,90,29646,1,0,0,612,True,0
260227.254449577,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,38,44861,1,0,0,612,True,0
260227.67686845,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,62,61343,1,0,0,612,True,0
260228.618295554,39,6jn8g8pa2xpg,Lizzette,1,mihj8m,30,39350,1,0,0,612,True,0
260242.592805937,39,6jn8g8pa2xpg,Lizzette,2,mihj8m,46,24585,1,0,0,612,True,2
260242.600417298,39,6jn8g8pa2xpg,Lizzette,2,mihj8m,24,51120,1,0,0,612,True,1
260242.607887356,39,6jn8g8pa2xpg,Lizzette,2,mihj8m,59,16216,1,0,0,612,True,0
260244.285129983,39,6jn8g8pa2xpg,Lizzette,2,mihj8m,28,58593,1,0,0,612,True,0
260247.336804216,39,6jn8g8pa2xpg,Lizzette,2,mihj8m,9,20163,1,0,0,612,True,2
260247.346861093,39,6jn8g8pa2xpg,Lizzette,2,mihj8m,44,43633,1,0,0,612,True,1
260247.372312482,39,6jn8g8pa2xpg,Lizzette,2,mihj8m,84,60734,1,0,0,612,True,0
260275.156982567,39,6jn8g8pa2xpg,Lizzette,5,mihj8m,73,30983,1,0,0,612,True,4
260275.173821653,39,6jn8g8pa2xpg,Lizzette,5,mihj8m,39,64109,1,0,0,612,True,3
260275.197121863,39,6jn8g8pa2xpg,Lizzette,5,mihj8m,99,24758,1,0,0,612,True,2
260275.227562285,39,6jn8g8pa2xpg,Lizzette,5,mihj8m,87,17250,1,0,0,612,True,1
260275.239645103,39,6jn8g8pa2xpg,Lizzette,5,mihj8m,47,10687,1,0,0,612,True,0
260300.160902404,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,31,63777,2,0,0,100,True,8
260300.168123541,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,91,33722,2,0,0,100,True,7
260300.175583005,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,21,64375,2,0,0,100,True,6
260300.182986591,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,14,47213,2,0,0,100,True,5
260300.190354016,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,17,22658,2,0,0,100,True,4
260300.197817579,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,7,27480,2,0,0,100,True,3
260300.205170365,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,98,19905,2,0,0,100,True,2
260300.212560524,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,58,52368,2,0,0,100,True,1
260300.220232954,39,6jn8g8pa2xpg,Lizzette,7,mihj8m,62,61343,2,0,0,100,True,0
260350.832018522,39,6jn8g8pa2xpg,Lizzette,11,mihj8m,64,42765,2,0,0,100,True,2
260350.840576973,39,6jn8g8pa2xpg,Lizzette,11,mihj8m,87,17250,2,0,0,100,True,1
260350.848362197,39,6jn8g8pa2xpg,Lizzette,11,mihj8m,1,54107,2,0,0,100,True,0
260352.697823384,39,6jn8g8pa2xpg,Lizzette,11,mihj8m,70,27667,1,0,0,612,True,2
260352.705762564,39,6jn8g8pa2xpg,Lizzette,11,mihj8m,18,15988,1,0,0,612,True,1
260352.714202077,39,6jn8g8pa2xpg,Lizzette,11,mihj8m,22,52138,1,0,0,612,True,0
260355.253363374,39,6jn8g8pa2xpg,Lizzette,11,mihj8m,19,28698,1,0,0,612,True,1
260355.263869277,39,6jn8g8pa2xpg,Lizzette,11,mihj8m,3,65283,1,0,0,612,True,0
260380.480214591,39,6jn8g8pa2xpg,Lizzette,14,mihj8m,1,62666,1,0,0,612,True,2
260380.487440324,39,6jn8g8pa2xpg,Lizzette,14,mihj8m,71,47335,1,0,0,612,True,1
260380.494633133,39,6jn8g8pa2xpg,Lizzette,14,mihj8m,75,30622,1,0,0,612,True,0
260384.263443699,39,6jn8g8pa2xpg,Lizzette,14,mihj8m,43,57381,2,0,0,100,True,0
260387.037609081,39,6jn8g8pa2xpg,Lizzette,14,mihj8m,48,56231,2,0,0,100,True,2
