t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.636831292,39,6tbi23ghzwjc,Lavette,1,3eqg9i,63,8106,1,0,0,612,True,1
260224.647717818,39,6tbi23ghzwjc,Lavette,1,3eqg9i,95,12662,1,0,0,612,True,0
260225.706163613,39,6tbi23ghzwjc,Lavette,1,3eqg9i,76,29190,1,0,0,612,True,2
260225.7136158,39,6tbi23ghzwjc,Lavette,1,3eqg9i,54,51841,1,0,0,612,True,1
260225.720989144,39,6tbi23ghzwjc,Lavette,1,3eqg9i,94,9048,1,0,0,612,True,0
260226.36869333,39,6tbi23ghzwjc,Lavette,1,3eqg9i,59,38783,1,0,0,612,True,1
260226.376227159,39,6tbi23ghzwjc,Lavette,1,3eqg9i,92,38988,1,0,0,612,True,0
260226.755950871,39,6tbi23ghzwjc,Lavette,1,3eqg9i,90,32123,1,0,0,612,True,2
260226.763572308,39,6tbi23ghzwjc,Lavette,1,3eqg9i,3,48466,1,0,0,612,True,1
260226.771072067,39,6tbi23ghzwjc,Lavette,1,3eqg9i,1,12319,1,0,0,612,True,0
260229.272541975,39,6tbi23ghzwjc,Lavette,1,3eqg9i,20,11755,1,0,0,612,True,0
260229.954163535,39,6tbi23ghzwjc,Lavette,1,3eqg9i,0,33462,1,0,0,612,True,1
260229.962581033,39,6tbi23ghzwjc,Lavette,1,3eqg9i,75,26540,1,0,0,612,True,0
260231.274040717,39,6tbi23ghzwjc,Lavette,1,3eqg9i,29,62708,1,0,0,612,True,0
260259.636583666,39,6tbi23ghzwjc,Lavette,3,3eqg9i,96,18591,1,0,0,612,True,0
260271.1464052,39,6tbi23ghzwjc,Lavette,4,3eqg9i,41,57834,1,0,0,612,True,4
260271.155211345,39,6tbi23ghzwjc,Lavette,4,3eqg9i,32,23282,1,0,0,612,True,3
260271.163016295,39,6tbi23ghzwjc,Lavette,4,3eqg9i,64,16707,1,0,0,612,True,2
260271.171650648,39,6tbi23ghzwjc,Lavette,4,3eqg9i,2,33249,1,0,0,612,True,1
260271.1793683,39,6tbi23ghzwjc,Lavette,4,3eqg9i,74,19503,1,0,0,612,True,0
260278.393786298,39,6tbi23ghzwjc,Lavette,5,3eqg9i,61,5196,1,0,0,612,True,0
260282.159594416,39,6tbi23ghzwjc,Lavette,5,3eqg9i,51,38212,2,0,0,100,True,0
260284.805407541,39,6tbi23ghzwjc,Lavette,5,3eqg9i,65,8843,2,0,0,100,True,0
260292.335953874,39,6tbi23ghzwjc,Lavette,6,3eqg9i,94,9048,2,0,0,100,True,3
260292.343951261,39,6tbi23ghzwjc,Lavette,6,3eqg9i,1,12319,2,0,0,100,True,2
260292.351586983,39,6tbi23ghzwjc,Lavette,6,3eqg9i,85,40562,2,0,0,100,True,1
260292.359284247,39,6tbi23ghzwjc,Lavette,6,3eqg9i,55,12298,2,0,0,100,True,0
260298.098405732,39,6tbi23ghzwjc,Lavette,6,3eqg9i,71,34262,2,0,0,100,True,5
260298.111742577,39,6tbi23ghzwjc,Lavette,6,3eqg9i,59,38783,2,0,0,100,True,4
260298.119925396,39,6tbi23ghzwjc,Lavette,6,3eqg9i,75,26540,2,0,0,100,True,3
260298.129418946,39,6tbi23ghzwjc,Lavette,6,3eqg9i,93,47638,2,0,0,100,True,2
260298.14303719,39,6tbi23ghzwjc,Lavette,6,3eqg9i,48,13965,2,0,0,100,True,1
260298.151676731,39,6tbi23ghzwjc,Lavette,6,3eqg9i,47,5439,1,0,0,612,True,0
260310.245443689,39,6tbi23ghzwjc,Lavette,7,3eqg9i,54,51841,2,0,0,100,True,1
260310.252990406,39,6tbi23ghzwjc,Lavette,7,3eqg9i,49,45249,1,0,0,612,True,0
260313.867058852,39,6tbi23ghzwjc,Lavette,8,3eqg9i,48,47174,1,0,0,612,True,0
260314.988416543,39,6tbi23ghzwjc,Lavette,8,3eqg9i,47,23483,1,0,0,612,True,3
260314.995989224,39,6tbi23ghzwjc,Lavette,8,3eqg9i,0,33462,2,0,0,100,True,2
260315.003460007,39,6tbi23ghzwjc,Lavette,8,3eqg9i,21,49030,2,0,0,100,True,1
260315.010769038,39,6tbi23ghzwjc,Lavette,8,3eqg9i,66,38930,1,0,0,612,True,0
260316.758270052,39,6tbi23ghzwjc,Lavette,8,3eqg9i,67,18910,2,0,0,100,True,1
260316.766052785,39,6tbi23ghzwjc,Lavette,8,3eqg9i,79,13513,2,0,0,100,True,0
260321.163685647,39,6tbi23ghzwjc,Lavette,8,3eqg9i,65,42784,1,0,0,612,True,4
260321.172834631,39,6tbi23ghzwjc,Lavette,8,3eqg9i,44,21724,2,0,0,100,True,3
260321.180981419,39,6tbi23ghzwjc,Lavette,8,3eqg9i,24,35856,2,0,0,100,True,2
260321.19003574,39,6tbi23ghzwjc,Lavette,8,3eqg9i,77,14645,2,0,0,100,True,1
260321.213281588,39,6tbi23ghzwjc,Lavette,8,3eqg9i,19,24482,2,0,0,100,True,0
260337.181486737,39,6tbi23ghzwjc,Lavette,10,3eqg9i,45,51074,1,0,0,612,True,4
260337.189264357,39,6tbi23ghzwjc,Lavette,10,3eqg9i,42,37436,2,0,0,100,True,3
260337.197042777,39,6tbi23ghzwjc,Lavette,10,3eqg9i,62,62059,1,0,0,612,True,2
260337.204786507,39,6tbi23ghzwjc,Lavette,10,3eqg9i,44,8074,1,0,0,612,True,1
260337.212569804,39,6tbi23ghzwjc,Lavette,10,3eqg9i,56,28504,1,0,0,612,True,0
260345.642725341,39,6tbi23ghzwjc,Lavette,10,3eqg9i,50,60085,2,0,0,100,True,2
260345.650331334,39,6tbi23ghzwjc,Lavette,10,3eqg9i,97,21250,2,0,0,100,True,1
260345.659022203,39,6tbi23ghzwjc,Lavette,10,3eqg9i,73,11689,2,0,0,100,True,0
260347.003843972,39,6tbi23ghzwjc,Lavette,10,3eqg9i,84,24901,2,0,0,100,True,1
260347.01115905,39,6tbi23ghzwjc,Lavette,10,3eqg9i,25,48828,2,0,0,100,True,0
260352.742449946,39,6tbi23ghzwjc,Lavette,11,3eqg9i,31,56471,1,0,0,612,True,0
260362.800625828,39,6tbi23ghzwjc,Lavette,12,3eqg9i,4,61642,1,0,0,612,True,0
260364.917587917,39,6tbi23ghzwjc,Lavette,12,3eqg9i,18,32360,2,0,0,100,True,0
260368.488235819,39,6tbi23ghzwjc,Lavette,12,3eqg9i,99,61320,2,0,0,100,True,0
260371.566653046,39,6tbi23ghzwjc,Lavette,12,3eqg9i,18,38684,1,0,0,612,True,1
260371.573884092,39,6tbi23ghzwjc,Lavette,12,3eqg9i,31,27289,1,0,0,612,True,0
260383.003681058,39,6tbi23ghzwjc,Lavette,14,3eqg9i,65,42784,2,0,0,100,True,5
260383.011761548,39,6tbi23ghzwjc,Lavette,14,3eqg9i,35,41090,1,0,0,612,True,4
260383.019656072,39,6tbi23ghzwjc,Lavette,14,3eqg9i,6,23934,1,0,0,612,True,3
260383.027478419,39,6tbi23ghzwjc,Lavette,14,3eqg9i,10,6601,1,0,0,612,True,2
260383.035231824,39,6tbi23ghzwjc,Lavette,14,3eqg9i,41,45597,1,0,0,612,True,1
260383.044806301,39,6tbi23ghzwjc,Lavette,14,3eqg9i,74,54362,1,0,0,612,True,0
260387.103531829,39,6tbi23ghzwjc,Lavette,14,3eqg9i,82,13565,2,0,0,100,True,0
260394.432822249,39,6tbi23ghzwjc,Lavette,14,3eqg9i,31,56432,1,0,0,612,True,1
260394.440339525,39,6tbi23ghzwjc,Lavette,14,3eqg9i,6,57533,1,0,0,612,True,0
260406.868163594,39,6tbi23ghzwjc,Lavette,16,3eqg9i,74,46926,2,0,0,100,True,3
260406.875838925,39,6tbi23ghzwjc,Lavette,16,3eqg9i,6,27053,1,0,0,612,True,2
260406.883296921,39,6tbi23ghzwjc,Lavette,16,3eqg9i,84,4355,1,0,0,612,True,1
260406.890647304,39,6tbi23ghzwjc,Lavette,16,3eqg9i,84,44409,1,0,0,612,True,0
260417.425523563,39,6tbi23ghzwjc,Lavette,16,3eqg9i,7,20757,2,0,0,100,True,1
260417.433248025,39,6tbi23ghzwjc,Lavette,16,3eqg9i,36,14914,2,0,0,100,True,0
260427.840927312,39,6tbi23ghzwjc,Lavette,17,3eqg9i,74,41871,2,0,0,100,True,1
260427.848614236,39,6tbi23ghzwjc,Lavette,17,3eqg9i,81,49116,2,0,0,100,True,0
260429.271750332,39,6tbi23ghzwjc,Lavette,18,3eqg9i,18,1229,2,0,0,100,True,3
260429.284282358,39,6tbi23ghzwjc,Lavette,18,3eqg9i,31,128,2,0,0,100,True,2
260429.292373926,39,6tbi23ghzwjc,Lavette,18,3eqg9i,41,45597,2,0,0,100,True,1
260429.301086359,39,6tbi23ghzwjc,Lavette,18,3eqg9i,74,54362,2,0,0,100,True,0
260444.652580895,39,6tbi23ghzwjc,Lavette,19,3eqg9i,41,47183,2,0,0,100,True,1
260444.659913329,39,6tbi23ghzwjc,Lavette,19,3eqg9i,81,46956,2,0,0,100,True,0
260450.15266548,39,6tbi23ghzwjc,Lavette,19,3eqg9i,6,47680,2,0,0,100,True,0
260452.802777185,39,6tbi23ghzwjc,Lavette,20,3eqg9i,81,56022,2,0,0,100,True,0
260454.68788213,39,6tbi23ghzwjc,Lavette,20,3eqg9i,31,57034,2,0,0,100,True,0
260460.232325923,39,6tbi23ghzwjc,Lavette,20,3eqg9i,84,4355,2,0,0,100,True,0
