t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260234.490689883,39,81n0ygxxg0vf,Annelle,2,2zqx27,30,34912,1,0,0,612,True,5
260234.498128884,39,81n0ygxxg0vf,Annelle,2,2zqx27,19,45952,1,0,0,612,True,4
260234.505441489,39,81n0ygxxg0vf,Annelle,2,2zqx27,53,1444,1,0,0,612,True,3
260234.513326766,39,81n0ygxxg0vf,Annelle,2,2zqx27,44,22137,1,0,0,612,True,2
260234.520287898,39,81n0ygxxg0vf,Annelle,2,2zqx27,20,64015,1,0,0,612,True,1
260234.530661889,39,81n0ygxxg0vf,Annelle,2,2zqx27,0,41458,1,0,0,612,True,0
260244.589732944,39,81n0ygxxg0vf,Annelle,2,2zqx27,15,44286,1,0,0,612,True,2
260244.596859303,39,81n0ygxxg0vf,Annelle,2,2zqx27,72,45201,1,0,0,612,True,1
260244.603925457,39,81n0ygxxg0vf,Annelle,2,2zqx27,9,55779,1,0,0,612,True,0
260248.26278329,39,81n0ygxxg0vf,Annelle,3,2zqx27,2,61493,1,0,0,612,True,3
260248.297885841,39,81n0ygxxg0vf,Annelle,3,2zqx27,32,13479,1,0,0,612,True,2
260248.308759756,39,81n0ygxxg0vf,Annelle,3,2zqx27,6,30080,1,0,0,612,True,1
260248.322010093,39,81n0ygxxg0vf,Annelle,3,2zqx27,42,49360,1,0,0,612,True,0
260253.825697631,39,81n0ygxxg0vf,Annelle,3,2zqx27,85,15363,1,0,0,612,True,2
260253.83324623,39,81n0ygxxg0vf,Annelle,3,2zqx27,77,9742,1,0,0,612,True,1
260253.840537045,39,81n0ygxxg0vf,Annelle,3,2zqx27,70,47979,1,0,0,612,True,0
260255.527264005,39,81n0ygxxg0vf,Annelle,3,2zqx27,88,40717,1,0,0,612,True,0
260299.746506922,39,81n0ygxxg0vf,Annelle,7,2zqx27,4,47874,1,0,0,612,True,0
260311.046656264,39,81n0ygxxg0vf,Annelle,7,2zqx27,0,41458,2,0,0,100,True,6
260311.053914671,39,81n0ygxxg0vf,Annelle,7,2zqx27,57,4988,2,0,0,100,True,5
260311.061174142,39,81n0ygxxg0vf,Annelle,7,2zqx27,52,3527,2,0,0,100,True,4
260311.068397887,39,81n0ygxxg0vf,Annelle,7,2zqx27,61,4186,2,0,0,100,True,3
260311.075588111,39,81n0ygxxg0vf,Annelle,7,2zqx27,44,22137,2,0,0,100,True,2
260311.082802498,39,81n0ygxxg0vf,Annelle,7,2zqx27,20,64015,2,0,0,100,True,1
260311.089993639,39,81n0ygxxg0vf,Annelle,7,2zqx27,67,4186,1,0,0,612,True,0
260315.55374416,39,81n0ygxxg0vf,Annelle,8,2zqx27,29,58703,1,0,0,612,True,0
260322.143124694,39,81n0ygxxg0vf,Annelle,8,2zqx27,59,23533,1,0,0,612,True,2
260322.150885797,39,81n0ygxxg0vf,Annelle,8,2zqx27,82,47068,2,0,0,100,True,1
260322.158962393,39,81n0ygxxg0vf,Annelle,8,2zqx27,98,46072,1,0,0,612,True,0
260333.978142745,39,81n0ygxxg0vf,Annelle,10,2zqx27,97,42224,1,0,0,612,True,2
260333.985409256,39,81n0ygxxg0vf,Annelle,10,2zqx27,47,17614,1,0,0,612,True,1
260333.992742225,39,81n0ygxxg0vf,Annelle,10,2zqx27,95,43054,1,0,0,612,True,0
260341.144905052,39,81n0ygxxg0vf,Annelle,10,2zqx27,15,44286,2,0,0,100,True,3
260341.152570463,39,81n0ygxxg0vf,Annelle,10,2zqx27,3,43120,2,0,0,100,True,2
260341.160224212,39,81n0ygxxg0vf,Annelle,10,2zqx27,94,21431,2,0,0,100,True,1
260341.167840658,39,81n0ygxxg0vf,Annelle,10,2zqx27,96,2759,2,0,0,100,True,0
260345.562598858,39,81n0ygxxg0vf,Annelle,11,2zqx27,66,6136,1,0,0,612,True,1
260345.583074994,39,81n0ygxxg0vf,Annelle,11,2zqx27,84,30770,2,0,0,100,True,0
