t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260244.491799444,39,a156siuqkk5q,Elinor,2,mihj8m,4,63950,1,0,612,0,True,1
260244.498746077,39,a156siuqkk5q,Elinor,2,mihj8m,4,63950,2,100,0,0,True,1
260244.506252542,39,a156siuqkk5q,Elinor,2,mihj8m,67,14907,1,0,612,0,True,0
260244.515136147,39,a156siuqkk5q,Elinor,2,mihj8m,67,14907,2,100,0,0,True,0
260247.881637941,39,a156siuqkk5q,Elinor,2,mihj8m,14,47213,1,0,612,0,True,2
260247.890288572,39,a156siuqkk5q,Elinor,2,mihj8m,14,47213,2,100,0,0,True,2
260247.897879842,39,a156siuqkk5q,Elinor,2,mihj8m,50,24756,1,0,612,0,True,1
260247.905542267,39,a156siuqkk5q,Elinor,2,mihj8m,50,24756,2,100,0,0,True,1
260247.912961785,39,a156siuqkk5q,Elinor,2,mihj8m,34,3697,1,0,612,0,True,0
260247.9203785,39,a156siuqkk5q,Elinor,2,mihj8m,34,3697,2,100,0,0,True,0
260253.372176631,39,a156siuqkk5q,Elinor,3,mihj8m,2,20169,1,0,612,0,True,4
260253.384802022,39,a156siuqkk5q,Elinor,3,mihj8m,2,20169,2,100,0,0,True,4
260253.393778105,39,a156siuqkk5q,Elinor,3,mihj8m,66,34533,1,0,612,0,True,3
260253.404382532,39,a156siuqkk5q,Elinor,3,mihj8m,66,34533,2,100,0,0,True,3
260253.414452294,39,a156siuqkk5q,Elinor,3,mihj8m,96,25056,1,0,612,0,True,2
260253.423295827,39,a156siuqkk5q,Elinor,3,mihj8m,96,25056,2,100,0,0,True,2
260253.434686893,39,a156siuqkk5q,Elinor,3,mihj8m,72,55458,1,0,612,0,True,1
260253.443636277,39,a156siuqkk5q,Elinor,3,mihj8m,72,55458,2,100,0,0,True,1
260253.454362601,39,a156siuqkk5q,Elinor,3,mihj8m,57,57754,1,0,612,0,True,0
260253.464872535,39,a156siuqkk5q,Elinor,3,mihj8m,57,57754,2,100,0,0,True,0
260290.681888639,39,a156siuqkk5q,Elinor,6,mihj8m,6,1626,1,0,612,0,True,2
260290.693668342,39,a156siuqkk5q,Elinor,6,mihj8m,6,1626,2,100,0,0,True,2
260290.702438933,39,a156siuqkk5q,Elinor,6,mihj8m,24,51120,1,0,612,0,True,1
260290.710596104,39,a156siuqkk5q,Elinor,6,mihj8m,24,51120,2,100,0,0,True,1
260290.718431497,39,a156siuqkk5q,Elinor,6,mihj8m,37,43024,1,0,612,0,True,0
260290.72962904,39,a156siuqkk5q,Elinor,6,mihj8m,37,43024,2,100,0,0,True,0
260297.587673038,39,a156siuqkk5q,Elinor,6,mihj8m,35,49359,1,0,612,0,True,1
260297.595444014,39,a156siuqkk5q,Elinor,6,mihj8m,35,49359,2,100,0,0,True,1
260297.603034408,39,a156siuqkk5q,Elinor,6,mihj8m,48,54001,1,0,612,0,True,0
260297.610699262,39,a156siuqkk5q,Elinor,6,mihj8m,48,54001,2,100,0,0,True,0
260305.015428017,39,a156siuqkk5q,Elinor,7,mihj8m,89,56185,1,0,612,0,True,0
260305.02317018,39,a156siuqkk5q,Elinor,7,mihj8m,89,56185,2,100,0,0,True,0
260309.802931569,39,a156siuqkk5q,Elinor,7,mihj8m,95,18310,1,0,612,0,True,1
260309.810533671,39,a156siuqkk5q,Elinor,7,mihj8m,95,18310,2,100,0,0,True,1
260309.818614939,39,a156siuqkk5q,Elinor,7,mihj8m,33,34448,1,0,612,0,True,0
260309.826320699,39,a156siuqkk5q,Elinor,7,mihj8m,33,34448,2,100,0,0,True,0
260320.72222323,39,a156siuqkk5q,Elinor,8,mihj8m,47,10687,1,0,612,0,True,1
260320.730451995,39,a156siuqkk5q,Elinor,8,mihj8m,47,10687,2,100,0,0,True,1
260320.738874256,39,a156siuqkk5q,Elinor,8,mihj8m,23,42831,1,0,612,0,True,0
260320.746468211,39,a156siuqkk5q,Elinor,8,mihj8m,23,42831,2,100,0,0,True,0
260326.466865573,39,a156siuqkk5q,Elinor,9,mihj8m,1,54107,1,0,612,0,True,3
260326.474617589,39,a156siuqkk5q,Elinor,9,mihj8m,1,54107,2,100,0,0,True,3
260326.482263332,39,a156siuqkk5q,Elinor,9,mihj8m,55,34246,1,0,612,0,True,2
260326.489887638,39,a156siuqkk5q,Elinor,9,mihj8m,55,34246,2,100,0,0,True,2
260326.497460348,39,a156siuqkk5q,Elinor,9,mihj8m,39,64109,1,0,612,0,True,1
260326.505183426,39,a156siuqkk5q,Elinor,9,mihj8m,39,64109,2,100,0,0,True,1
260326.512908359,39,a156siuqkk5q,Elinor,9,mihj8m,56,40040,1,0,612,0,True,0
260326.520580471,39,a156siuqkk5q,Elinor,9,mihj8m,56,40040,2,100,0,0,True,0
260334.560944687,39,a156siuqkk5q,Elinor,9,mihj8m,92,12466,1,0,612,0,True,0
260334.568708814,39,a156siuqkk5q,Elinor,9,mihj8m,92,12466,2,100,0,0,True,0
260338.031827094,39,a156siuqkk5q,Elinor,10,mihj8m,3,8644,1,0,612,0,True,0
260338.039526678,39,a156siuqkk5q,Elinor,10,mihj8m,3,8644,2,100,0,0,True,0
260343.083729439,39,a156siuqkk5q,Elinor,10,mihj8m,49,42278,1,0,612,0,True,0
260343.095506502,39,a156siuqkk5q,Elinor,10,mihj8m,49,42278,2,100,0,0,True,0
260349.330229188,39,a156siuqkk5q,Elinor,11,mihj8m,95,15017,1,0,612,0,True,0
260349.338937176,39,a156siuqkk5q,Elinor,11,mihj8m,95,15017,2,100,0,0,True,0
