t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260232.027221922,39,cnvkxeiyrz3w,Julianna,1,mihj8m,34,3697,1,0,0,612,True,3
260232.033904202,39,cnvkxeiyrz3w,Julianna,1,mihj8m,97,47017,1,0,0,612,True,2
260232.042898159,39,cnvkxeiyrz3w,Julianna,1,mihj8m,17,22658,1,0,0,612,True,1
260232.05031514,39,cnvkxeiyrz3w,Julianna,1,mihj8m,40,3721,1,0,0,612,True,0
260233.312793633,39,cnvkxeiyrz3w,Julianna,1,mihj8m,72,55458,1,0,0,612,True,2
260233.319966752,39,cnvkxeiyrz3w,Julianna,1,mihj8m,42,53261,1,0,0,612,True,1
260233.328442022,39,cnvkxeiyrz3w,Julianna,1,mihj8m,58,52368,1,0,0,612,True,0
260235.110417966,39,cnvkxeiyrz3w,Julianna,1,mihj8m,61,14046,1,0,0,612,True,0
260237.067729321,39,cnvkxeiyrz3w,Julianna,2,mihj8m,57,57754,1,0,0,612,True,0
260252.902221393,39,cnvkxeiyrz3w,Julianna,3,mihj8m,46,24585,1,0,0,612,True,1
260252.911023991,39,cnvkxeiyrz3w,Julianna,3,mihj8m,24,51120,1,0,0,612,True,0
260255.401231757,39,cnvkxeiyrz3w,Julianna,3,mihj8m,6,1626,1,0,0,612,True,1
260255.410202229,39,cnvkxeiyrz3w,Julianna,3,mihj8m,53,65131,1,0,0,612,True,0
260263.964923362,39,cnvkxeiyrz3w,Julianna,3,mihj8m,86,61081,2,0,0,100,True,1
260263.972372326,39,cnvkxeiyrz3w,Julianna,3,mihj8m,4,63950,2,0,0,100,True,0
260269.520961716,39,cnvkxeiyrz3w,Julianna,4,mihj8m,74,57872,1,0,0,612,True,0
260281.627730524,39,cnvkxeiyrz3w,Julianna,5,mihj8m,30,39350,2,0,0,100,True,0
260284.315620519,39,cnvkxeiyrz3w,Julianna,5,mihj8m,76,5800,2,0,0,100,True,1
260284.32348879,39,cnvkxeiyrz3w,Julianna,5,mihj8m,72,55458,2,0,0,100,True,0
260290.165024792,39,cnvkxeiyrz3w,Julianna,5,mihj8m,55,34246,1,0,0,612,True,1
260290.17268575,39,cnvkxeiyrz3w,Julianna,5,mihj8m,99,24758,1,0,0,612,True,0
260328.3341096,39,cnvkxeiyrz3w,Julianna,9,3eqg9i,65,8843,2,0,100,0,True,1
260328.341571292,39,cnvkxeiyrz3w,Julianna,9,3eqg9i,62,7445,2,0,100,0,True,0
260336.032722265,39,cnvkxeiyrz3w,Julianna,9,3eqg9i,70,16940,2,0,100,0,True,2
260336.040114908,39,cnvkxeiyrz3w,Julianna,9,3eqg9i,69,24781,2,0,100,0,True,1
260336.051842757,39,cnvkxeiyrz3w,Julianna,9,mihj8m,88,5015,1,0,0,612,True,0
260339.349849254,39,cnvkxeiyrz3w,Julianna,9,3eqg9i,83,29691,2,0,100,0,True,0
260351.695249945,39,cnvkxeiyrz3w,Julianna,11,mihj8m,19,48793,2,0,0,100,True,7
260351.703017267,39,cnvkxeiyrz3w,Julianna,11,mihj8m,73,30983,2,0,0,100,True,6
260351.71530897,39,cnvkxeiyrz3w,Julianna,11,3eqg9i,11,15829,2,0,100,0,True,5
260351.724618209,39,cnvkxeiyrz3w,Julianna,11,mihj8m,39,64109,2,0,0,100,True,4
260351.732787713,39,cnvkxeiyrz3w,Julianna,11,mihj8m,55,34246,2,0,0,100,True,3
260351.743824025,39,cnvkxeiyrz3w,Julianna,11,mihj8m,32,35178,2,0,0,100,True,2
260351.7518933,39,cnvkxeiyrz3w,Julianna,11,mihj8m,56,40040,2,0,0,100,True,1
260351.760512447,39,cnvkxeiyrz3w,Julianna,11,mihj8m,42,58138,1,0,0,612,True,0
