t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260282.088482199,39,cynnb90a0fjj,Randolph,5,3eqg9i,40,54469,1,0,612,0,True,0
260282.095867955,39,cynnb90a0fjj,Randolph,5,3eqg9i,40,54469,2,100,0,0,True,0
260299.818517324,39,cynnb90a0fjj,Randolph,7,3eqg9i,69,24781,1,0,612,0,True,0
260299.826211799,39,cynnb90a0fjj,Randolph,7,3eqg9i,69,24781,2,100,0,0,True,0
260311.098106858,39,cynnb90a0fjj,Randolph,7,3eqg9i,16,24793,1,0,612,0,True,1
260311.105212936,39,cynnb90a0fjj,Randolph,7,3eqg9i,16,24793,2,100,0,0,True,1
260311.112206417,39,cynnb90a0fjj,Randolph,7,3eqg9i,17,50010,1,0,612,0,True,0
260311.119532853,39,cynnb90a0fjj,Randolph,7,3eqg9i,17,50010,2,100,0,0,True,0
260322.166752411,39,cynnb90a0fjj,Randolph,8,3eqg9i,50,60085,1,0,612,0,True,2
260322.188720674,39,cynnb90a0fjj,Randolph,8,3eqg9i,50,60085,2,100,0,0,True,2
260322.196047108,39,cynnb90a0fjj,Randolph,8,3eqg9i,46,61056,1,0,612,0,True,1
260322.222811714,39,cynnb90a0fjj,Randolph,8,3eqg9i,46,61056,2,100,0,0,True,1
260322.231208945,39,cynnb90a0fjj,Randolph,8,3eqg9i,7,4820,1,0,612,0,True,0
260322.242860906,39,cynnb90a0fjj,Randolph,8,3eqg9i,7,4820,2,100,0,0,True,0
260350.15597375,39,cynnb90a0fjj,Randolph,11,3eqg9i,96,40502,1,0,612,0,True,0
260350.164533841,39,cynnb90a0fjj,Randolph,11,3eqg9i,96,40502,2,100,0,0,True,0
260354.805265823,39,cynnb90a0fjj,Randolph,11,3eqg9i,46,30481,1,0,612,0,True,0
260354.814105208,39,cynnb90a0fjj,Randolph,11,3eqg9i,46,30481,2,100,0,0,True,0
260360.712879324,39,cynnb90a0fjj,Randolph,12,3eqg9i,88,26470,1,0,612,0,True,0
260360.721742152,39,cynnb90a0fjj,Randolph,12,3eqg9i,88,26470,2,100,0,0,True,0
260371.017185065,39,cynnb90a0fjj,Randolph,13,3eqg9i,83,5048,1,0,612,0,True,0
260371.025816173,39,cynnb90a0fjj,Randolph,13,3eqg9i,83,5048,2,100,0,0,True,0
260373.607534962,39,cynnb90a0fjj,Randolph,13,3eqg9i,84,21314,1,0,612,0,True,0
260373.61756968,39,cynnb90a0fjj,Randolph,13,3eqg9i,84,21314,2,100,0,0,True,0
260402.85496512,39,cynnb90a0fjj,Randolph,16,3eqg9i,2,184,1,0,612,0,True,1
260402.862505706,39,cynnb90a0fjj,Randolph,16,3eqg9i,2,184,2,100,0,0,True,1
260402.870828279,39,cynnb90a0fjj,Randolph,16,3eqg9i,81,27417,1,0,612,0,True,0
260402.879251482,39,cynnb90a0fjj,Randolph,16,3eqg9i,81,27417,2,100,0,0,True,0
260404.914136139,39,cynnb90a0fjj,Randolph,16,3eqg9i,84,46057,1,0,612,0,True,1
260404.923276132,39,cynnb90a0fjj,Randolph,16,3eqg9i,84,46057,2,100,0,0,True,1
260404.931548462,39,cynnb90a0fjj,Randolph,16,3eqg9i,31,28580,1,0,612,0,True,0
260404.942761685,39,cynnb90a0fjj,Randolph,16,3eqg9i,31,28580,2,100,0,0,True,0
260424.40889285,39,cynnb90a0fjj,Randolph,18,3eqg9i,81,20771,1,0,612,0,True,1
260424.417615449,39,cynnb90a0fjj,Randolph,18,3eqg9i,81,20771,2,100,0,0,True,1
260424.425353916,39,cynnb90a0fjj,Randolph,18,3eqg9i,74,3542,1,0,612,0,True,0
260424.432917315,39,cynnb90a0fjj,Randolph,18,3eqg9i,74,3542,2,100,0,0,True,0
260435.665777924,39,cynnb90a0fjj,Randolph,19,3eqg9i,6,21901,1,0,612,0,True,0
260435.674351121,39,cynnb90a0fjj,Randolph,19,3eqg9i,6,21901,2,100,0,0,True,0
