t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260313.050866503,39,evcxb2hlsdgx,Athena,8,3p2278,6,17912,2,0,100,0,True,1
260313.058031347,39,evcxb2hlsdgx,Athena,8,3p2278,4,24233,2,0,100,0,True,0
260317.513700858,39,evcxb2hlsdgx,Athena,8,3p2278,47,43235,2,0,100,0,True,10
260317.522093303,39,evcxb2hlsdgx,Athena,8,3p2278,38,8457,2,0,100,0,True,9
260317.529847869,39,evcxb2hlsdgx,Athena,8,3p2278,43,6102,2,0,100,0,True,8
260317.536898766,39,evcxb2hlsdgx,Athena,8,3p2278,43,28086,2,0,100,0,True,7
260317.550505463,39,evcxb2hlsdgx,Athena,8,3p2278,10,45886,2,0,100,0,True,6
260317.560388434,39,evcxb2hlsdgx,Athena,8,3p2278,40,30637,2,0,100,0,True,5
260317.568416223,39,evcxb2hlsdgx,Athena,8,3p2278,85,12358,2,0,100,0,True,4
260317.576141284,39,evcxb2hlsdgx,Athena,8,3p2278,48,54189,2,0,100,0,True,3
260317.59086131,39,evcxb2hlsdgx,Athena,8,3p2278,28,65142,2,0,100,0,True,2
260317.600214523,39,evcxb2hlsdgx,Athena,8,3p2278,9,40016,2,0,100,0,True,1
260317.608529429,39,evcxb2hlsdgx,Athena,8,3p2278,70,1007,2,0,100,0,True,0
260322.630248509,39,evcxb2hlsdgx,Athena,8,3p2278,27,45482,2,0,100,0,True,4
260322.638195205,39,evcxb2hlsdgx,Athena,8,3p2278,75,36929,2,0,100,0,True,3
260322.645856679,39,evcxb2hlsdgx,Athena,8,3p2278,31,17996,2,0,100,0,True,2
260322.65340485,39,evcxb2hlsdgx,Athena,8,3p2278,97,34946,2,0,100,0,True,1
260322.660935923,39,evcxb2hlsdgx,Athena,8,3p2278,80,29604,2,0,100,0,True,0
260341.176250026,39,evcxb2hlsdgx,Athena,10,3p2278,11,36220,2,0,100,0,True,3
260341.183910351,39,evcxb2hlsdgx,Athena,10,3p2278,36,12694,2,0,100,0,True,2
260341.191558681,39,evcxb2hlsdgx,Athena,10,3p2278,80,5047,2,0,100,0,True,1
260341.199082797,39,evcxb2hlsdgx,Athena,10,3p2278,36,65123,2,0,100,0,True,0
260343.740717615,39,evcxb2hlsdgx,Athena,10,3p2278,16,40899,2,0,100,0,True,4
260343.748200547,39,evcxb2hlsdgx,Athena,10,3p2278,65,46170,2,0,100,0,True,3
260343.756119356,39,evcxb2hlsdgx,Athena,10,3p2278,51,38005,2,0,100,0,True,2
260343.76440735,39,evcxb2hlsdgx,Athena,10,3p2278,41,34275,2,0,100,0,True,1
260343.772208529,39,evcxb2hlsdgx,Athena,10,3p2278,26,28403,2,0,100,0,True,0
260345.591076336,39,evcxb2hlsdgx,Athena,11,3p2278,93,53345,2,0,100,0,True,3
260345.603876822,39,evcxb2hlsdgx,Athena,11,3p2278,22,35389,2,0,100,0,True,2
260345.611313589,39,evcxb2hlsdgx,Athena,11,3p2278,85,39045,2,0,100,0,True,1
260345.619190947,39,evcxb2hlsdgx,Athena,11,3p2278,73,48657,2,0,100,0,True,0
260346.965551222,39,evcxb2hlsdgx,Athena,11,3p2278,29,57892,2,0,100,0,True,0
260350.786313275,39,evcxb2hlsdgx,Athena,11,3p2278,37,7877,2,0,100,0,True,5
