t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260250.344996243,39,f2gfpij7bu7x,Sibyl,3,3p2278,24,31931,1,0,0,612,True,11
260250.352329042,39,f2gfpij7bu7x,Sibyl,3,3p2278,67,14625,1,0,0,612,True,10
260250.360296999,39,f2gfpij7bu7x,Sibyl,3,3p2278,76,49442,1,0,0,612,True,9
260250.367402868,39,f2gfpij7bu7x,Sibyl,3,3p2278,83,29686,1,0,0,612,True,8
260250.375281815,39,f2gfpij7bu7x,Sibyl,3,3p2278,85,39045,1,0,0,612,True,7
260250.382482998,39,f2gfpij7bu7x,Sibyl,3,3p2278,41,34275,1,0,0,612,True,6
260250.391362991,39,f2gfpij7bu7x,Sibyl,3,3p2278,5,13733,1,0,0,612,True,5
260250.398904741,39,f2gfpij7bu7x,Sibyl,3,3p2278,31,7850,1,0,0,612,True,4
260250.406254093,39,f2gfpij7bu7x,Sibyl,3,3p2278,0,14421,1,0,0,612,True,3
260250.414310115,39,f2gfpij7bu7x,Sibyl,3,3p2278,37,7877,1,0,0,612,True,2
260250.421505844,39,f2gfpij7bu7x,Sibyl,3,3p2278,45,24898,1,0,0,612,True,1
260250.429349766,39,f2gfpij7bu7x,Sibyl,3,3p2278,68,8074,1,0,0,612,True,0
260259.627317262,39,f2gfpij7bu7x,Sibyl,3,3p2278,54,8958,1,0,0,612,True,0
260265.462849635,39,f2gfpij7bu7x,Sibyl,4,3p2278,9,46151,1,0,0,612,True,0
260270.756113891,39,f2gfpij7bu7x,Sibyl,4,2zqx27,31,5007,1,0,612,0,True,6
260270.764311511,39,f2gfpij7bu7x,Sibyl,4,2zqx27,31,5007,2,100,0,0,True,6
260270.772406987,39,f2gfpij7bu7x,Sibyl,4,2zqx27,61,4186,1,0,612,0,True,5
260270.780742933,39,f2gfpij7bu7x,Sibyl,4,2zqx27,61,4186,2,100,0,0,True,5
260270.789315439,39,f2gfpij7bu7x,Sibyl,4,2zqx27,44,22137,1,0,612,0,True,4
260270.797590415,39,f2gfpij7bu7x,Sibyl,4,2zqx27,44,22137,2,100,0,0,True,4
260270.807747177,39,f2gfpij7bu7x,Sibyl,4,3p2278,13,39973,1,0,0,612,True,3
260270.816186758,39,f2gfpij7bu7x,Sibyl,4,3p2278,3,20133,1,0,0,612,True,2
260270.841793581,39,f2gfpij7bu7x,Sibyl,4,2zqx27,76,20981,1,0,612,0,True,1
260270.862590281,39,f2gfpij7bu7x,Sibyl,4,2zqx27,76,20981,2,100,0,0,True,1
260270.880517803,39,f2gfpij7bu7x,Sibyl,4,2zqx27,81,55380,1,0,612,0,True,0
260270.890037659,39,f2gfpij7bu7x,Sibyl,4,2zqx27,81,55380,2,100,0,0,True,0
260278.262237577,39,f2gfpij7bu7x,Sibyl,5,3p2278,6,17912,2,0,0,100,True,2
260278.270667116,39,f2gfpij7bu7x,Sibyl,5,3p2278,58,54005,2,0,0,100,True,1
260278.279085534,39,f2gfpij7bu7x,Sibyl,5,3p2278,4,58117,1,0,0,612,True,0
260282.103671419,39,f2gfpij7bu7x,Sibyl,5,3p2278,7,50265,1,0,0,612,True,0
260292.100521054,39,f2gfpij7bu7x,Sibyl,6,3p2278,20,15239,2,0,0,100,True,8
260292.111539139,39,f2gfpij7bu7x,Sibyl,6,3p2278,0,5910,1,0,0,612,True,7
260292.124804652,39,f2gfpij7bu7x,Sibyl,6,2zqx27,35,12127,1,0,612,0,True,6
260292.13220391,39,f2gfpij7bu7x,Sibyl,6,2zqx27,35,12127,2,100,0,0,True,6
260292.141862293,39,f2gfpij7bu7x,Sibyl,6,2zqx27,89,47677,1,0,612,0,True,5
260292.149465178,39,f2gfpij7bu7x,Sibyl,6,2zqx27,89,47677,2,100,0,0,True,5
260292.157668901,39,f2gfpij7bu7x,Sibyl,6,2zqx27,90,56468,1,0,612,0,True,4
260292.165548358,39,f2gfpij7bu7x,Sibyl,6,2zqx27,90,56468,2,100,0,0,True,4
260292.173596209,39,f2gfpij7bu7x,Sibyl,6,2zqx27,65,10998,1,0,612,0,True,3
260292.181005626,39,f2gfpij7bu7x,Sibyl,6,2zqx27,65,10998,2,100,0,0,True,3
260292.188902118,39,f2gfpij7bu7x,Sibyl,6,3p2278,49,33453,1,0,0,612,True,2
260292.196676623,39,f2gfpij7bu7x,Sibyl,6,3p2278,99,28951,1,0,0,612,True,1
260292.205079579,39,f2gfpij7bu7x,Sibyl,6,2zqx27,55,63835,1,0,612,0,True,0
260292.212855447,39,f2gfpij7bu7x,Sibyl,6,2zqx27,55,63835,2,100,0,0,True,0
260297.934569679,39,f2gfpij7bu7x,Sibyl,6,2zqx27,43,48276,1,0,612,0,True,8
260297.942629736,39,f2gfpij7bu7x,Sibyl,6,2zqx27,43,48276,2,100,0,0,True,8
260297.951216613,39,f2gfpij7bu7x,Sibyl,6,2zqx27,82,47068,1,0,612,0,True,7
260297.959124344,39,f2gfpij7bu7x,Sibyl,6,2zqx27,82,47068,2,100,0,0,True,7
260297.966772316,39,f2gfpij7bu7x,Sibyl,6,2zqx27,6,30080,1,0,612,0,True,6
