t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.606812337,39,fg6uox2hp8ma,Lorine,1,5gsg1w,18,4857,1,0,0,612,True,2
260224.614707362,39,fg6uox2hp8ma,Lorine,1,5gsg1w,39,30434,1,0,0,612,True,1
260224.626950411,39,fg6uox2hp8ma,Lorine,1,5gsg1w,24,30142,1,0,0,612,True,0
260225.683380784,39,fg6uox2hp8ma,Lorine,1,5gsg1w,97,15742,1,0,0,612,True,2
260225.690915697,39,fg6uox2hp8ma,Lorine,1,5gsg1w,77,27121,1,0,0,612,True,1
260225.698301732,39,fg6uox2hp8ma,Lorine,1,5gsg1w,63,52847,1,0,0,612,True,0
260226.353400753,39,fg6uox2hp8ma,Lorine,1,5gsg1w,33,53840,1,0,0,612,True,1
260226.36083935,39,fg6uox2hp8ma,Lorine,1,5gsg1w,61,42104,1,0,0,612,True,0
260226.748127531,39,fg6uox2hp8ma,Lorine,1,5gsg1w,34,28560,1,0,0,612,True,0
260227.448373501,39,fg6uox2hp8ma,Lorine,1,5gsg1w,0,59401,1,0,0,612,True,0
260285.46799058,39,fg6uox2hp8ma,Lorine,5,5gsg1w,70,59669,2,0,0,100,True,1
260285.478307801,39,fg6uox2hp8ma,Lorine,5,5gsg1w,39,30434,2,0,0,100,True,0
260293.586730845,39,fg6uox2hp8ma,Lorine,6,5gsg1w,17,45781,2,0,0,100,True,2
260293.606753481,39,fg6uox2hp8ma,Lorine,6,5gsg1w,59,18790,2,0,0,100,True,1
260293.614488988,39,fg6uox2hp8ma,Lorine,6,5gsg1w,13,13,2,0,0,100,True,0
260298.458408315,39,fg6uox2hp8ma,Lorine,6,5gsg1w,31,53767,1,0,0,612,True,0
260301.210101352,39,fg6uox2hp8ma,Lorine,7,5gsg1w,24,30142,2,0,0,100,True,0
260337.243814379,39,fg6uox2hp8ma,Lorine,10,5gsg1w,54,48673,1,0,0,612,True,2
260337.251139465,39,fg6uox2hp8ma,Lorine,10,5gsg1w,45,10165,1,0,0,612,True,1
260337.258801704,39,fg6uox2hp8ma,Lorine,10,5gsg1w,2,42765,1,0,0,612,True,0
260352.773432833,39,fg6uox2hp8ma,Lorine,11,5gsg1w,67,18832,1,0,0,612,True,1
260352.780938757,39,fg6uox2hp8ma,Lorine,11,5gsg1w,82,54344,1,0,0,612,True,0
260357.843713309,39,fg6uox2hp8ma,Lorine,11,5gsg1w,50,53738,2,0,0,100,True,0
