t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260231.305526262,39,gnyzetke596t,Magaly,1,5gsg1w,12,36498,1,0,0,612,True,0
260232.059409596,39,gnyzetke596t,Magaly,1,5gsg1w,98,18419,1,0,0,612,True,4
260232.066998229,39,gnyzetke596t,Magaly,1,5gsg1w,97,15742,1,0,0,612,True,3
260232.076042294,39,gnyzetke596t,Magaly,1,5gsg1w,77,27121,1,0,0,612,True,2
260232.08333594,39,gnyzetke596t,Magaly,1,5gsg1w,63,52847,1,0,0,612,True,1
260232.090620466,39,gnyzetke596t,Magaly,1,5gsg1w,70,59669,1,0,0,612,True,0
260235.118182151,39,gnyzetke596t,Magaly,1,5gsg1w,13,13,1,0,0,612,True,0
260322.570712869,39,gnyzetke596t,Magaly,8,5gsg1w,72,50399,2,0,0,100,True,0
260327.718996958,39,gnyzetke596t,Magaly,8,5gsg1w,74,56839,1,0,0,612,True,0
260332.478692131,39,gnyzetke596t,Magaly,9,5gsg1w,53,10464,2,0,0,100,True,1
260332.48631909,39,gnyzetke596t,Magaly,9,5gsg1w,20,28967,2,0,0,100,True,0
260338.806737888,39,gnyzetke596t,Magaly,9,5gsg1w,64,55260,1,0,0,612,True,1
260338.814371109,39,gnyzetke596t,Magaly,9,5gsg1w,86,29690,1,0,0,612,True,0
260351.821735564,39,gnyzetke596t,Magaly,11,5gsg1w,68,45899,1,0,0,612,True,0
260363.13949076,39,gnyzetke596t,Magaly,11,5gsg1w,82,54344,1,0,0,612,True,0
260372.12094052,39,gnyzetke596t,Magaly,12,5gsg1w,60,38648,2,0,0,100,True,1
260372.128277804,39,gnyzetke596t,Magaly,12,5gsg1w,22,50666,2,0,0,100,True,0
260386.000350933,39,gnyzetke596t,Magaly,14,5gsg1w,37,39378,1,0,0,612,True,7
260386.010898125,39,gnyzetke596t,Magaly,14,5gsg1w,5,59875,1,0,0,612,True,6
260386.018793706,39,gnyzetke596t,Magaly,14,5gsg1w,44,61995,1,0,0,612,True,5
260386.026627465,39,gnyzetke596t,Magaly,14,5gsg1w,15,20888,1,0,0,612,True,4
260386.03434611,39,gnyzetke596t,Magaly,14,5gsg1w,69,47241,1,0,0,612,True,3
260386.042051003,39,gnyzetke596t,Magaly,14,5gsg1w,36,8184,1,0,0,612,True,2
260386.050079659,39,gnyzetke596t,Magaly,14,5gsg1w,16,40835,1,0,0,612,True,1
