t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260246.049300956,39,go9eknt1fwi8,Kaylee,3,2zqx27,36,65207,1,0,0,612,True,8
260246.055688297,39,go9eknt1fwi8,Kaylee,3,2zqx27,51,37830,1,0,0,612,True,7
260246.06309221,39,go9eknt1fwi8,Kaylee,3,2zqx27,37,31762,1,0,0,612,True,6
260246.070353819,39,go9eknt1fwi8,Kaylee,3,2zqx27,94,21431,1,0,0,612,True,5
260246.077687069,39,go9eknt1fwi8,Kaylee,3,2zqx27,3,43120,1,0,0,612,True,4
260246.084905033,39,go9eknt1fwi8,Kaylee,3,2zqx27,43,48276,1,0,0,612,True,3
260246.092103056,39,go9eknt1fwi8,Kaylee,3,2zqx27,27,9506,1,0,0,612,True,2
260246.099296924,39,go9eknt1fwi8,Kaylee,3,2zqx27,96,2759,1,0,0,612,True,1
260246.106837806,39,go9eknt1fwi8,Kaylee,3,2zqx27,93,9489,1,0,0,612,True,0
260255.941983544,39,go9eknt1fwi8,Kaylee,3,2zqx27,17,2234,1,0,0,612,True,1
260255.950180493,39,go9eknt1fwi8,Kaylee,3,2zqx27,68,33453,1,0,0,612,True,0
260296.371864619,39,go9eknt1fwi8,Kaylee,7,2zqx27,50,64807,2,0,0,100,True,1
260296.379168481,39,go9eknt1fwi8,Kaylee,7,2zqx27,97,1427,1,0,0,612,True,0
260303.316150636,39,go9eknt1fwi8,Kaylee,7,2zqx27,99,43488,2,0,0,100,True,0
260310.931082329,39,go9eknt1fwi8,Kaylee,8,2zqx27,31,5007,2,0,0,100,True,2
260310.938564405,39,go9eknt1fwi8,Kaylee,8,2zqx27,81,55380,2,0,0,100,True,1
260310.946201047,39,go9eknt1fwi8,Kaylee,8,2zqx27,60,57643,1,0,0,612,True,0
260314.131908041,39,go9eknt1fwi8,Kaylee,8,2zqx27,47,52881,1,0,0,612,True,1
260314.139615435,39,go9eknt1fwi8,Kaylee,8,2zqx27,48,41488,1,0,0,612,True,0
260315.501553938,39,go9eknt1fwi8,Kaylee,8,2zqx27,63,41937,1,0,0,612,True,1
260315.508837491,39,go9eknt1fwi8,Kaylee,8,2zqx27,91,15336,1,0,0,612,True,0
