t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260247.041169946,39,gzxddysa1y58,Randolph,3,3eqg9i,94,9048,1,0,612,0,True,2
260247.048425636,39,gzxddysa1y58,Randolph,3,3eqg9i,94,9048,2,100,0,0,True,2
260247.056195128,39,gzxddysa1y58,Randolph,3,3eqg9i,62,7445,1,0,612,0,True,1
260247.064109322,39,gzxddysa1y58,Randolph,3,3eqg9i,62,7445,2,100,0,0,True,1
260247.071913345,39,gzxddysa1y58,Randolph,3,3eqg9i,68,52017,1,0,612,0,True,0
260247.079257224,39,gzxddysa1y58,Randolph,3,3eqg9i,68,52017,2,100,0,0,True,0
260251.916107932,39,gzxddysa1y58,Randolph,3,3eqg9i,71,34262,1,0,612,0,True,2
260251.923866479,39,gzxddysa1y58,Randolph,3,3eqg9i,71,34262,2,100,0,0,True,2
260251.932651688,39,gzxddysa1y58,Randolph,3,3eqg9i,75,26540,1,0,612,0,True,1
260251.944278375,39,gzxddysa1y58,Randolph,3,3eqg9i,75,26540,2,100,0,0,True,1
260251.955004437,39,gzxddysa1y58,Randolph,3,3eqg9i,93,47638,1,0,612,0,True,0
260251.964841674,39,gzxddysa1y58,Randolph,3,3eqg9i,93,47638,2,100,0,0,True,0
260281.044608126,39,gzxddysa1y58,Randolph,5,3eqg9i,29,62708,1,0,612,0,True,0
260281.054179186,39,gzxddysa1y58,Randolph,5,3eqg9i,29,62708,2,100,0,0,True,0
260288.601633595,39,gzxddysa1y58,Randolph,6,3eqg9i,86,14997,1,0,612,0,True,0
260288.61146579,39,gzxddysa1y58,Randolph,6,3eqg9i,86,14997,2,100,0,0,True,0
260296.8189583,39,gzxddysa1y58,Randolph,6,3eqg9i,60,57074,1,0,612,0,True,1
260296.827126881,39,gzxddysa1y58,Randolph,6,3eqg9i,60,57074,2,100,0,0,True,1
260296.835190334,39,gzxddysa1y58,Randolph,6,3eqg9i,13,19705,1,0,612,0,True,0
260296.84321394,39,gzxddysa1y58,Randolph,6,3eqg9i,13,19705,2,100,0,0,True,0
260303.82095857,39,gzxddysa1y58,Randolph,7,3eqg9i,23,26423,1,0,612,0,True,4
260303.828657567,39,gzxddysa1y58,Randolph,7,3eqg9i,23,26423,2,100,0,0,True,4
260303.836385501,39,gzxddysa1y58,Randolph,7,3eqg9i,53,34185,1,0,612,0,True,3
260303.844436184,39,gzxddysa1y58,Randolph,7,3eqg9i,53,34185,2,100,0,0,True,3
260303.852392643,39,gzxddysa1y58,Randolph,7,3eqg9i,45,18247,1,0,612,0,True,2
260303.860473541,39,gzxddysa1y58,Randolph,7,3eqg9i,45,18247,2,100,0,0,True,2
260303.868540002,39,gzxddysa1y58,Randolph,7,3eqg9i,83,29691,1,0,612,0,True,1
260303.876647171,39,gzxddysa1y58,Randolph,7,3eqg9i,83,29691,2,100,0,0,True,1
260303.884642148,39,gzxddysa1y58,Randolph,7,3eqg9i,38,36019,1,0,612,0,True,0
260303.892761487,39,gzxddysa1y58,Randolph,7,3eqg9i,38,36019,2,100,0,0,True,0
260308.986707482,39,gzxddysa1y58,Randolph,7,3eqg9i,56,60752,1,0,612,0,True,1
260308.994099528,39,gzxddysa1y58,Randolph,7,3eqg9i,56,60752,2,100,0,0,True,1
260309.001253162,39,gzxddysa1y58,Randolph,7,3eqg9i,8,12351,1,0,612,0,True,0
260309.008884999,39,gzxddysa1y58,Randolph,7,3eqg9i,8,12351,2,100,0,0,True,0
260320.111713023,39,gzxddysa1y58,Randolph,8,3eqg9i,73,11689,1,0,612,0,True,4
260320.118932105,39,gzxddysa1y58,Randolph,8,3eqg9i,73,11689,2,100,0,0,True,4
260320.127971421,39,gzxddysa1y58,Randolph,8,3eqg9i,32,23282,1,0,612,0,True,3
260320.137190094,39,gzxddysa1y58,Randolph,8,3eqg9i,32,23282,2,100,0,0,True,3
260320.15068392,39,gzxddysa1y58,Randolph,8,3eqg9i,97,21250,1,0,612,0,True,2
260320.162239245,39,gzxddysa1y58,Randolph,8,3eqg9i,97,21250,2,100,0,0,True,2
260320.171443318,39,gzxddysa1y58,Randolph,8,3eqg9i,25,48828,1,0,612,0,True,1
