t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260244.463000457,39,hcppfa86bjhb,Lorine,2,rqd2i7,69,10139,1,0,612,0,True,0
260244.469682696,39,hcppfa86bjhb,Lorine,2,rqd2i7,69,10139,2,100,0,0,True,0
260247.802288806,39,hcppfa86bjhb,Lorine,3,rqd2i7,39,38872,1,0,612,0,True,2
260247.81058073,39,hcppfa86bjhb,Lorine,3,rqd2i7,39,38872,2,100,0,0,True,2
260247.818184944,39,hcppfa86bjhb,Lorine,3,rqd2i7,0,52114,1,0,612,0,True,1
260247.825906638,39,hcppfa86bjhb,Lorine,3,rqd2i7,0,52114,2,100,0,0,True,1
260247.833563166,39,hcppfa86bjhb,Lorine,3,rqd2i7,1,33674,1,0,612,0,True,0
260247.841191269,39,hcppfa86bjhb,Lorine,3,rqd2i7,1,33674,2,100,0,0,True,0
260253.140230198,39,hcppfa86bjhb,Lorine,3,rqd2i7,94,55043,1,0,612,0,True,6
260253.167056783,39,hcppfa86bjhb,Lorine,3,rqd2i7,94,55043,2,100,0,0,True,6
260253.175896472,39,hcppfa86bjhb,Lorine,3,rqd2i7,78,49389,1,0,612,0,True,5
260253.187104505,39,hcppfa86bjhb,Lorine,3,rqd2i7,78,49389,2,100,0,0,True,5
260253.197516431,39,hcppfa86bjhb,Lorine,3,rqd2i7,37,55711,1,0,612,0,True,4
260253.206428363,39,hcppfa86bjhb,Lorine,3,rqd2i7,37,55711,2,100,0,0,True,4
260253.218965566,39,hcppfa86bjhb,Lorine,3,rqd2i7,86,41653,1,0,612,0,True,3
260253.227719808,39,hcppfa86bjhb,Lorine,3,rqd2i7,86,41653,2,100,0,0,True,3
260253.238149609,39,hcppfa86bjhb,Lorine,3,rqd2i7,18,56625,1,0,612,0,True,2
260253.249642284,39,hcppfa86bjhb,Lorine,3,rqd2i7,18,56625,2,100,0,0,True,2
260253.257190922,39,hcppfa86bjhb,Lorine,3,rqd2i7,75,53959,1,0,612,0,True,1
260253.268847955,39,hcppfa86bjhb,Lorine,3,rqd2i7,75,53959,2,100,0,0,True,1
260253.277763211,39,hcppfa86bjhb,Lorine,3,rqd2i7,8,17509,1,0,612,0,True,0
260253.289199537,39,hcppfa86bjhb,Lorine,3,rqd2i7,8,17509,2,100,0,0,True,0
260269.755350911,39,hcppfa86bjhb,Lorine,4,rqd2i7,3,30759,1,0,612,0,True,2
260269.763584899,39,hcppfa86bjhb,Lorine,4,rqd2i7,3,30759,2,100,0,0,True,2
260269.771553437,39,hcppfa86bjhb,Lorine,4,rqd2i7,85,64610,1,0,612,0,True,1
260269.779382651,39,hcppfa86bjhb,Lorine,4,rqd2i7,85,64610,2,100,0,0,True,1
260269.78697583,39,hcppfa86bjhb,Lorine,4,rqd2i7,13,64819,1,0,612,0,True,0
260269.794963659,39,hcppfa86bjhb,Lorine,4,rqd2i7,13,64819,2,100,0,0,True,0
260290.339728225,39,hcppfa86bjhb,Lorine,6,rqd2i7,48,14548,1,0,612,0,True,3
260290.36132963,39,hcppfa86bjhb,Lorine,6,rqd2i7,48,14548,2,100,0,0,True,3
