t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260224.666531123,39,j3mgxrxtbxev,Evelyne,1,sch4ov,60,11671,1,0,0,612,True,1
260224.673330142,39,j3mgxrxtbxev,Evelyne,1,sch4ov,84,9307,1,0,0,612,True,0
260225.766465057,39,j3mgxrxtbxev,Evelyne,1,sch4ov,28,64399,1,0,0,612,True,0
260226.391248702,39,j3mgxrxtbxev,Evelyne,1,sch4ov,13,3302,1,0,0,612,True,1
260226.398707626,39,j3mgxrxtbxev,Evelyne,1,sch4ov,1,55344,1,0,0,612,True,0
260226.778711554,39,j3mgxrxtbxev,Evelyne,1,sch4ov,86,37012,1,0,0,612,True,1
260226.786156137,39,j3mgxrxtbxev,Evelyne,1,sch4ov,91,41283,1,0,0,612,True,0
260226.954476695,39,j3mgxrxtbxev,Evelyne,1,sch4ov,12,11003,1,0,0,612,True,0
260228.395581523,39,j3mgxrxtbxev,Evelyne,1,sch4ov,21,54659,1,0,0,612,True,0
260231.282576495,39,j3mgxrxtbxev,Evelyne,1,sch4ov,29,15695,1,0,0,612,True,0
260233.271708409,39,j3mgxrxtbxev,Evelyne,1,sch4ov,44,18699,1,0,0,612,True,1
260233.280593442,39,j3mgxrxtbxev,Evelyne,1,sch4ov,20,21685,1,0,0,612,True,0
260235.06170843,39,j3mgxrxtbxev,Evelyne,1,sch4ov,70,53125,1,0,0,612,True,5
260235.069115744,39,j3mgxrxtbxev,Evelyne,1,sch4ov,42,38346,1,0,0,612,True,4
260235.077661148,39,j3mgxrxtbxev,Evelyne,1,sch4ov,37,57570,1,0,0,612,True,3
260235.084911396,39,j3mgxrxtbxev,Evelyne,1,sch4ov,19,8150,1,0,0,612,True,2
260235.093333567,39,j3mgxrxtbxev,Evelyne,1,sch4ov,25,41825,1,0,0,612,True,1
260235.10138434,39,j3mgxrxtbxev,Evelyne,1,sch4ov,55,14657,1,0,0,612,True,0
260237.008483613,39,j3mgxrxtbxev,Evelyne,2,sch4ov,99,43234,1,0,0,612,True,5
260237.016627909,39,j3mgxrxtbxev,Evelyne,2,sch4ov,66,9079,1,0,0,612,True,4
260237.023878809,39,j3mgxrxtbxev,Evelyne,2,sch4ov,92,4361,1,0,0,612,True,3
260237.031218847,39,j3mgxrxtbxev,Evelyne,2,sch4ov,90,49934,1,0,0,612,True,2
260237.038407326,39,j3mgxrxtbxev,Evelyne,2,sch4ov,41,34704,1,0,0,612,True,1
260237.045491067,39,j3mgxrxtbxev,Evelyne,2,sch4ov,89,27599,1,0,0,612,True,0
260237.761994197,39,j3mgxrxtbxev,Evelyne,2,sch4ov,37,34369,1,0,0,612,True,2
260237.769649178,39,j3mgxrxtbxev,Evelyne,2,sch4ov,31,46933,1,0,0,612,True,1
260237.777378244,39,j3mgxrxtbxev,Evelyne,2,sch4ov,77,3852,1,0,0,612,True,0
260238.726979989,39,j3mgxrxtbxev,Evelyne,2,sch4ov,76,31372,1,0,0,612,True,0
260240.755249484,39,j3mgxrxtbxev,Evelyne,2,sch4ov,26,2862,1,0,0,612,True,0
260241.717124945,39,j3mgxrxtbxev,Evelyne,2,sch4ov,73,1495,1,0,0,612,True,0
260242.677453603,39,j3mgxrxtbxev,Evelyne,2,sch4ov,23,7906,1,0,0,612,True,0
260247.552446748,39,j3mgxrxtbxev,Evelyne,2,sch4ov,68,29531,1,0,0,612,True,5
260247.560234701,39,j3mgxrxtbxev,Evelyne,2,sch4ov,18,30099,1,0,0,612,True,4
260247.567613796,39,j3mgxrxtbxev,Evelyne,2,sch4ov,20,8251,1,0,0,612,True,3
