t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260311.017963191,39,jsr0m1xjx48l,Bennie,7,sch4ov,33,19913,1,0,612,0,True,0
260311.024607189,39,jsr0m1xjx48l,Bennie,7,sch4ov,33,19913,2,100,0,0,True,0
260359.433542277,39,jsr0m1xjx48l,Bennie,12,sch4ov,19,25110,1,0,612,0,True,3
260359.440956365,39,jsr0m1xjx48l,Bennie,12,sch4ov,19,25110,2,100,0,0,True,3
260359.448610292,39,jsr0m1xjx48l,Bennie,12,sch4ov,27,28313,1,0,612,0,True,2
260359.456096973,39,jsr0m1xjx48l,Bennie,12,sch4ov,27,28313,2,100,0,0,True,2
260359.469281802,39,jsr0m1xjx48l,Bennie,12,sch4ov,28,56929,1,0,612,0,True,1
260359.47743402,39,jsr0m1xjx48l,Bennie,12,sch4ov,28,56929,2,100,0,0,True,1
260359.485244704,39,jsr0m1xjx48l,Bennie,12,sch4ov,32,62589,1,0,612,0,True,0
260359.493256938,39,jsr0m1xjx48l,Bennie,12,sch4ov,32,62589,2,100,0,0,True,0
260391.580668747,39,jsr0m1xjx48l,Bennie,15,sch4ov,66,4485,1,0,612,0,True,0
260391.588408186,39,jsr0m1xjx48l,Bennie,15,sch4ov,66,4485,2,100,0,0,True,0
260406.010279934,39,jsr0m1xjx48l,Bennie,16,sch4ov,12,44221,1,0,612,0,True,1
260406.017627054,39,jsr0m1xjx48l,Bennie,16,sch4ov,12,44221,2,100,0,0,True,1
260406.025095396,39,jsr0m1xjx48l,Bennie,16,sch4ov,94,27275,1,0,612,0,True,0
260406.032792926,39,jsr0m1xjx48l,Bennie,16,sch4ov,94,27275,2,100,0,0,True,0
