t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260287.423884735,39,jz3v69194eoa,Vicki,6,q84cv2,17,31005,1,0,0,612,True,3
260287.431381619,39,jz3v69194eoa,Vicki,6,q84cv2,7,11680,1,0,0,612,True,2
260287.43982707,39,jz3v69194eoa,Vicki,6,q84cv2,77,37186,1,0,0,612,True,1
260287.44793915,39,jz3v69194eoa,Vicki,6,q84cv2,29,57102,1,0,0,612,True,0
260301.44675074,39,jz3v69194eoa,Vicki,7,q84cv2,20,40447,1,0,0,612,True,0
260310.761207988,39,jz3v69194eoa,Vicki,7,q84cv2,91,34817,2,0,0,100,True,3
260310.769779915,39,jz3v69194eoa,Vicki,7,q84cv2,92,34572,2,0,0,100,True,2
260310.777784335,39,jz3v69194eoa,Vicki,7,q84cv2,33,34412,2,0,0,100,True,1
260310.785502542,39,jz3v69194eoa,Vicki,7,q84cv2,11,3382,1,0,0,612,True,0
260315.2076135,39,jz3v69194eoa,Vicki,8,q84cv2,64,47632,2,0,0,100,True,3
260315.215409679,39,jz3v69194eoa,Vicki,8,q84cv2,56,4915,2,0,0,100,True,2
260315.22308581,39,jz3v69194eoa,Vicki,8,q84cv2,0,47007,2,0,0,100,True,1
260315.230627919,39,jz3v69194eoa,Vicki,8,q84cv2,22,15761,2,0,0,100,True,0
260337.277461397,39,jz3v69194eoa,Vicki,10,q84cv2,48,40405,1,0,0,612,True,2
260337.287366135,39,jz3v69194eoa,Vicki,10,q84cv2,99,11223,1,0,0,612,True,1
260337.295216328,39,jz3v69194eoa,Vicki,10,q84cv2,96,20277,1,0,0,612,True,0
260343.80319307,39,jz3v69194eoa,Vicki,10,q84cv2,60,52800,2,0,0,100,True,0
260347.040455299,39,jz3v69194eoa,Vicki,10,q84cv2,87,59670,1,0,0,612,True,0
260350.910994239,39,jz3v69194eoa,Vicki,11,q84cv2,88,30962,2,0,0,100,True,5
260350.920267975,39,jz3v69194eoa,Vicki,11,q84cv2,65,13828,2,0,0,100,True,4
260350.931100087,39,jz3v69194eoa,Vicki,11,q84cv2,0,64421,2,0,0,100,True,3
260350.939642815,39,jz3v69194eoa,Vicki,11,q84cv2,81,7953,2,0,0,100,True,2
260350.950542265,39,jz3v69194eoa,Vicki,11,q84cv2,49,20312,2,0,0,100,True,1
260350.958574507,39,jz3v69194eoa,Vicki,11,q84cv2,8,30664,2,0,0,100,True,0
260352.793188601,39,jz3v69194eoa,Vicki,11,q84cv2,35,11391,1,0,0,612,True,0
260357.851302137,39,jz3v69194eoa,Vicki,11,q84cv2,57,33112,2,0,0,100,True,0
260362.808357351,39,jz3v69194eoa,Vicki,12,q84cv2,31,21623,1,0,0,612,True,3
260362.81607992,39,jz3v69194eoa,Vicki,12,q84cv2,80,13470,1,0,0,612,True,2
260362.823761216,39,jz3v69194eoa,Vicki,12,q84cv2,79,36570,1,0,0,612,True,1
260362.831442198,39,jz3v69194eoa,Vicki,12,q84cv2,30,16559,1,0,0,612,True,0
260364.925189181,39,jz3v69194eoa,Vicki,12,q84cv2,90,11904,2,0,0,100,True,0
260371.581286605,39,jz3v69194eoa,Vicki,12,q84cv2,39,29411,2,0,0,100,True,0
260390.14733099,39,jz3v69194eoa,Vicki,14,q84cv2,75,13398,2,0,0,100,True,0
260394.448337025,39,jz3v69194eoa,Vicki,14,q84cv2,20,15263,1,0,0,612,True,0
260411.49306336,39,jz3v69194eoa,Vicki,16,q84cv2,54,50765,2,0,0,100,True,0
260413.444589712,39,jz3v69194eoa,Vicki,16,q84cv2,34,51472,2,0,0,100,True,0
260416.039040322,39,jz3v69194eoa,Vicki,16,q84cv2,72,35849,2,0,0,100,True,3
260416.046415038,39,jz3v69194eoa,Vicki,16,q84cv2,41,28624,1,0,0,612,True,2
260416.053880595,39,jz3v69194eoa,Vicki,16,q84cv2,34,36685,1,0,0,612,True,1
260416.061476226,39,jz3v69194eoa,Vicki,16,q84cv2,2,36130,1,0,0,612,True,0
260417.440898163,39,jz3v69194eoa,Vicki,16,q84cv2,25,7070,1,0,0,612,True,2
260417.448377588,39,jz3v69194eoa,Vicki,16,q84cv2,13,46612,1,0,0,612,True,1
260417.45580304,39,jz3v69194eoa,Vicki,16,q84cv2,18,25068,1,0,0,612,True,0
260418.744363807,39,jz3v69194eoa,Vicki,17,q84cv2,34,49497,1,0,0,612,True,1
260418.751910576,39,jz3v69194eoa,Vicki,17,q84cv2,10,7753,1,0,0,612,True,0
260420.26189956,39,jz3v69194eoa,Vicki,17,q84cv2,76,2871,2,0,0,100,True,0
260425.841630996,39,jz3v69194eoa,Vicki,17,q84cv2,1,51683,2,0,0,100,True,0
260427.856029089,39,jz3v69194eoa,Vicki,17,q84cv2,58,43452,1,0,0,612,True,1
260427.863671755,39,jz3v69194eoa,Vicki,17,q84cv2,71,47150,1,0,0,612,True,0
260445.363295217,39,jz3v69194eoa,Vicki,19,q84cv2,10,13451,2,0,0,100,True,1
260445.372563728,39,jz3v69194eoa,Vicki,19,q84cv2,66,47429,2,0,0,100,True,0
260447.432227696,39,jz3v69194eoa,Vicki,19,q84cv2,80,4728,2,0,0,100,True,0
260448.778484124,39,jz3v69194eoa,Vicki,19,q84cv2,10,7753,2,0,0,100,True,3
260448.786151664,39,jz3v69194eoa,Vicki,19,q84cv2,23,22583,2,0,0,100,True,2
260448.79376978,39,jz3v69194eoa,Vicki,19,q84cv2,13,29036,2,0,0,100,True,1
260448.801338143,39,jz3v69194eoa,Vicki,19,q84cv2,18,25068,2,0,0,100,True,0
260462.077418259,39,jz3v69194eoa,Vicki,21,q84cv2,13,8624,1,0,0,612,True,0
260468.168635307,39,jz3v69194eoa,Vicki,21,q84cv2,23,31787,2,0,0,100,True,0
260477.619961752,39,jz3v69194eoa,Vicki,22,q84cv2,41,17396,2,0,0,100,True,0
260478.258628504,39,jz3v69194eoa,Vicki,22,q84cv2,72,3252,2,0,0,100,True,2
260478.266601526,39,jz3v69194eoa,Vicki,22,q84cv2,13,8624,2,0,0,100,True,1
260478.273880224,39,jz3v69194eoa,Vicki,22,q84cv2,18,15369,2,0,0,100,True,0
260481.425748519,39,jz3v69194eoa,Vicki,22,q84cv2,18,14684,2,0,0,100,True,0
260485.408283266,39,jz3v69194eoa,Vicki,23,q84cv2,41,4724,2,0,0,100,True,0
260490.430893648,39,jz3v69194eoa,Vicki,23,q84cv2,41,8525,2,0,0,100,True,0
