t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260237.725678057,39,kywgper754qg,Vickey,2,3eqg9i,51,38212,1,0,0,612,True,1
260237.732310901,39,kywgper754qg,Vickey,2,3eqg9i,95,12662,1,0,0,612,True,0
260238.632645136,39,kywgper754qg,Vickey,2,3eqg9i,89,22456,1,0,0,612,True,3
260238.640124693,39,kywgper754qg,Vickey,2,3eqg9i,62,7445,1,0,0,612,True,2
260238.647701347,39,kywgper754qg,Vickey,2,3eqg9i,68,52017,1,0,0,612,True,1
260238.65522563,39,kywgper754qg,Vickey,2,3eqg9i,76,29190,1,0,0,612,True,0
260240.665798986,39,kywgper754qg,Vickey,2,3eqg9i,52,49014,1,0,0,612,True,1
260240.673112177,39,kywgper754qg,Vickey,2,3eqg9i,48,13965,1,0,0,612,True,0
260244.315944078,39,kywgper754qg,Vickey,2,3eqg9i,87,64334,1,0,0,612,True,0
260324.333227587,39,kywgper754qg,Vickey,9,3eqg9i,80,44714,2,0,0,100,True,0
260332.664232822,39,kywgper754qg,Vickey,9,3eqg9i,27,18697,2,0,0,100,True,2
260332.671857996,39,kywgper754qg,Vickey,9,3eqg9i,50,60085,2,0,0,100,True,1
260332.679575565,39,kywgper754qg,Vickey,9,3eqg9i,46,61056,2,0,0,100,True,0
260335.632326679,39,kywgper754qg,Vickey,9,3eqg9i,28,62602,2,0,0,100,True,0
260348.188390603,39,kywgper754qg,Vickey,11,3eqg9i,49,45249,1,0,0,612,True,1
260348.196159687,39,kywgper754qg,Vickey,11,3eqg9i,66,38930,1,0,0,612,True,0
260361.392187016,39,kywgper754qg,Vickey,12,3eqg9i,53,29571,1,0,0,612,True,0
260362.986702286,39,kywgper754qg,Vickey,12,3eqg9i,84,21314,1,0,0,612,True,1
260362.994523149,39,kywgper754qg,Vickey,12,3eqg9i,82,13565,1,0,0,612,True,0
260367.180950935,39,kywgper754qg,Vickey,12,3eqg9i,86,15281,2,0,0,100,True,1
260367.192229005,39,kywgper754qg,Vickey,12,3eqg9i,49,45249,2,0,0,100,True,0
260391.572598517,39,kywgper754qg,Vickey,15,3eqg9i,36,14914,1,0,0,612,True,0
260398.949001352,39,kywgper754qg,Vickey,15,3eqg9i,61,18726,2,0,0,100,True,0
260426.860196514,39,kywgper754qg,Vickey,18,3eqg9i,84,9006,1,0,0,612,True,8
260426.868789405,39,kywgper754qg,Vickey,18,3eqg9i,6,23934,1,0,0,612,True,7
260426.876793957,39,kywgper754qg,Vickey,18,3eqg9i,81,56022,1,0,0,612,True,6
260426.884654308,39,kywgper754qg,Vickey,18,3eqg9i,74,4517,1,0,0,612,True,5
260426.892481749,39,kywgper754qg,Vickey,18,3eqg9i,31,8482,1,0,0,612,True,4
260426.900304915,39,kywgper754qg,Vickey,18,3eqg9i,81,45370,1,0,0,612,True,3
260426.908081849,39,kywgper754qg,Vickey,18,3eqg9i,84,10908,1,0,0,612,True,2
260426.91578499,39,kywgper754qg,Vickey,18,3eqg9i,6,21901,1,0,0,612,True,1
260426.923292437,39,kywgper754qg,Vickey,18,3eqg9i,41,22965,1,0,0,612,True,0
260432.176248099,39,kywgper754qg,Vickey,18,3eqg9i,41,47183,2,0,0,100,True,3
260432.184368457,39,kywgper754qg,Vickey,18,3eqg9i,81,46956,2,0,0,100,True,2
260432.192071986,39,kywgper754qg,Vickey,18,3eqg9i,31,30418,2,0,0,100,True,1
260432.199906121,39,kywgper754qg,Vickey,18,3eqg9i,84,11261,2,0,0,100,True,0
