t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260298.506606016,39,l2n1845uuehd,Lorine,7,rqd2i7,77,9831,1,0,612,0,True,0
260298.518038889,39,l2n1845uuehd,Lorine,7,rqd2i7,77,9831,2,100,0,0,True,0
260306.053471803,39,l2n1845uuehd,Lorine,7,rqd2i7,99,21109,1,0,612,0,True,1
260306.060790193,39,l2n1845uuehd,Lorine,7,rqd2i7,99,21109,2,100,0,0,True,1
260306.067841704,39,l2n1845uuehd,Lorine,7,rqd2i7,15,43214,1,0,612,0,True,0
260306.074893209,39,l2n1845uuehd,Lorine,7,rqd2i7,15,43214,2,100,0,0,True,0
260321.52015245,39,l2n1845uuehd,Lorine,9,rqd2i7,90,16239,1,0,612,0,True,4
260321.527896483,39,l2n1845uuehd,Lorine,9,rqd2i7,90,16239,2,100,0,0,True,4
260321.535536071,39,l2n1845uuehd,Lorine,9,rqd2i7,58,24454,1,0,612,0,True,3
260321.545243633,39,l2n1845uuehd,Lorine,9,rqd2i7,58,24454,2,100,0,0,True,3
260321.553663922,39,l2n1845uuehd,Lorine,9,rqd2i7,60,35609,1,0,612,0,True,2
260321.561430736,39,l2n1845uuehd,Lorine,9,rqd2i7,60,35609,2,100,0,0,True,2
260321.5700481,39,l2n1845uuehd,Lorine,9,rqd2i7,41,46002,1,0,612,0,True,1
260321.577798741,39,l2n1845uuehd,Lorine,9,rqd2i7,41,46002,2,100,0,0,True,1
260321.585435273,39,l2n1845uuehd,Lorine,9,rqd2i7,45,13706,1,0,612,0,True,0
260321.593116924,39,l2n1845uuehd,Lorine,9,rqd2i7,45,13706,2,100,0,0,True,0
260327.155162944,39,l2n1845uuehd,Lorine,9,rqd2i7,27,39600,1,0,612,0,True,1
260327.163298114,39,l2n1845uuehd,Lorine,9,rqd2i7,27,39600,2,100,0,0,True,1
260327.17187317,39,l2n1845uuehd,Lorine,9,rqd2i7,62,10971,1,0,612,0,True,0
260327.179380422,39,l2n1845uuehd,Lorine,9,rqd2i7,62,10971,2,100,0,0,True,0
